Titre,Auteur,Nbr_pages
31_part1,docteur Maurice HERCZEGHY,150
27_L'hygi,Dr DAVID,385
27_L'hygi,Dr E. Monin,385
27_L'hygi,professeur allemand cite,385
27_L'hygi,professeur Jam. Cardwell,385
27_L'hygi,professeur Bouchardat,385
27_L'hygi,docteur Kutp,385
27_L'hygi,docteur Lambert (deHaguenau),385
13_part_1,Dr BROCHARD,86
21_part2, M Herin,88
29_L'hygi, Dr Sabouraud,38
29_L'hygi,Docteur Léon Bizard,38
29_L'hygi,Dr Passot,38
29_L'hygi,Dr Sabouraud,38
41_Petit_,Dr Jouin,50
18_Hygiè,docteur Fiecuner,78
18_Hygiè,M Eugene,78
18_Hygiè,docteur Rousset,78
18_Hygiè,docteur Kettoge,78
11_part_1,docteur Howe,143
11_part_1,professeur J.-B.Fonssagrives,143
32_La_gym,docteur Mandl,841
32_La_gym,docteur Rouhet,841
32_La_gym,docteur Gallard,841
32_La_gym,docteur Thulié,841
32_La_gym,docteur F. Voisin,841
32_La_gym,docteur Schenstrom,841
32_La_gym,docteur Moura,841
32_La_gym,docteur Briquet,841
32_La_gym,docteur Luton,841
32_La_gym,docteur Jaeger,841
32_La_gym,docteur Meding,841
32_La_gym,professeur Marey,841
32_La_gym,docteur Fonssagrives,841
32_La_gym,docteur Delasiauve,841
32_La_gym,docteur B. A.Morel841
32_La_gym,docteur Burg,841
32_La_gym,docteur Schreber,841
32_La_gym,docteur Chancerel,841
32_La_gym,docteur Bricheteau,841
32_La_gym,docteur Schenstrom,841
32_La_gym,docteur Proust,841
32_La_gym,Mme Adéle de Por,841
32_La_gym,docteur Oré,841
32_La_gym,docteur Rouhet,841
32_La_gym,docteur Belhomme,841
32_La_gym,docteur Bally,841
32_La_gym,docteur Berthier,841
32_La_gym,docteur Gallard ,841
32_La_gym,docteur Fonssagrives,841
32_La_gym,docteur Durand-Fardel,841
32_La_gym,docteur E. Darin,841
32_La_gym,docteur Durand Fardel,841
32_La_gym,docteur Galippe,841
32_La_gym,professeur Marey ,841
32_La_gym,docteur Schreber de Leip-,841
32_La_gym,professeur Sappey,841
32_La_gym,docteur Desnos,841
32_La_gym,docteur Carlet,841
32_La_gym,professeur Gubler,841
32_La_gym,professeur Ph. Bérard,841
32_La_gym,docteur Fleury,841
32_La_gym,docteur Van Gelder,841
32_La_gym,docteur Fonssagrives,841
32_La_gym,docteur Bouilly (1) a,841
32_La_gym,"docteur Bouvier, contient un",841
32_La_gym,professeur Piorry,841
32_La_gym,Madame Diane de Foixr,841
32_La_gym,docteur Boudet,841
32_La_gym,docteur J. Guérin,841
32_La_gym,docteur Gaillard (de Poitiers),841
32_La_gym,docteur Parrot,841
32_La_gym,docteur Rider,841
32_La_gym,docteur Jules Simon,841
32_La_gym,docteur Dally,841
32_La_gym,professeur Brouardel841
32_La_gym,docteur Lacassagne,841
32_La_gym,docteur Lagneau,841
32_La_gym,professeur Verneuil ,841
32_La_gym,docteur Rouhet,841
32_La_gym,docteur Dally ,841
32_La_gym,docteur Oré,841
32_La_gym,docteur Hillairet,841
32_La_gym,docteur Fonssagrives,841
22_part3,docteur Tanchou,96
05_Consei,docteur Perrin,252
05_Consei,docteur Farr,252
05_Consei,docteur Gaillard,252
05_Consei,docteur Gaillard,252
