Titre,Années
21_part3,1979
31_part1,1845
31_part1,1864
31_part1,"1850, 1860"
31_part1,1844
31_part1,"1815, 1884, 1864, 1978, 1978"
31_part1,1860
27_L'hygi,1885
27_L'hygi,1886
27_L'hygi,"1856, 1928, 1978, 1978"
27_L'hygi,1834
27_L'hygi,1880
27_L'hygi,1720
27_L'hygi,1887
27_L'hygi,1895
27_L'hygi,1892
27_L'hygi,1886
27_L'hygi,1889
27_L'hygi,1890
27_L'hygi,1853
27_L'hygi,1891
13_part_1,"1866, 1867"
13_part_1,1866
13_part_1,"1866, 1868, 1870, 1877"
13_part_1,"1810, 1842, 1862, 1849"
13_part_1,1866
13_part_1,1884
13_part_1,"1810, 1883, 1899, 1978, 1978"
13_part_1,"1878, 1874"
13_part_1,1898
29_L'hygi,"1872, 1942, 1923, 1978, 1978"
29_L'hygi,1923
25_part2,"1833, 1855"
25_part2,1867
25_part2,1871
25_part2,1881
25_part2,1874
25_part2,1770
25_part2,"1700, 1800"
25_part2,1870
25_part2,1865
25_part2,1870
25_part2,1855
41_Petit_,"1880, 1978, 1978"
18_Hygiè,1803
18_Hygiè,"1850, 1851"
18_Hygiè,1841
18_Hygiè,"1857, 1978, 1978"
18_Hygiè,1857
18_Hygiè,1847
11_part_1,1792
11_part_1,"1823, 1884, 1867, 1978, 1978"
11_part_1,"1838, 1857"
11_part_1,1834
11_part_1,1844
11_part_1,"1769, 1842, 1853"
11_part_1,1866
11_part_1,1853
11_part_1,1867
11_part_1,1824
32_La_gym,1879
32_La_gym,1803
32_La_gym,1831
32_La_gym,"1868, 1869, 1881, 1881, 1880, 1879"
32_La_gym,"1861, 1862"
32_La_gym,1849
32_La_gym,"1849, 1880"
32_La_gym,"1818, 1812"
32_La_gym,1880
32_La_gym,1837
32_La_gym,1877
32_La_gym,1884
32_La_gym,"1869, 1872, 1871, 1868"
32_La_gym,1880
32_La_gym,"1824, 1842"
32_La_gym,1861
32_La_gym,1883
32_La_gym,"1873, 1881"
32_La_gym,1819
32_La_gym,1886
32_La_gym,"1870, 1874"
32_La_gym,"1868, 1868"
32_La_gym,1882
32_La_gym,"1889, 1878"
32_La_gym,1882
32_La_gym,"1799, 1801"
32_La_gym,1867
32_La_gym,1880
32_La_gym,"1818, 1815"
32_La_gym,1839
32_La_gym,"1723, 1744, 1828, 1863"
32_La_gym,"1814, 1874"
32_La_gym,1862
32_La_gym,1824
32_La_gym,"1874, 1880, 1880"
32_La_gym,1869
32_La_gym,"1700, 1706, 1707, 1741"
32_La_gym,1882
32_La_gym,1862
32_La_gym,1868
32_La_gym,1868
32_La_gym,"1819, 1884"
32_La_gym,"1868, 1883"
32_La_gym,1838
32_La_gym,1883
32_La_gym,1841
32_La_gym,"1831, 1868"
32_La_gym,1859
32_La_gym,1857
32_La_gym,"1854, 1868, 1864"
32_La_gym,"1868, 1864, 1865, 1868"
32_La_gym,"1881, 1866"
32_La_gym,1883
32_La_gym,"1864, 1883"
32_La_gym,1880
32_La_gym,1880
32_La_gym,1873
32_La_gym,"1882, 1882"
32_La_gym,1814
32_La_gym,1868
32_La_gym,1883
32_La_gym,1860
32_La_gym,"1817, 1824"
32_La_gym,"1782, 1787, 1766"
32_La_gym,"1774, 1837, 1832, 1853, 1888"
32_La_gym,"1866, 1836"
32_La_gym,1860
32_La_gym,1866
32_La_gym,"1779, 1819"
32_La_gym,1861
32_La_gym,1852
32_La_gym,1835
32_La_gym,1814
32_La_gym,1843
32_La_gym,"1786, 1878, 1849"
32_La_gym,"1721, 1750, 1750, 1750, 1750, 1881"
32_La_gym,1820
32_La_gym,1872
32_La_gym,1880
32_La_gym,1881
32_La_gym,1881
32_La_gym,1882
32_La_gym,1804
32_La_gym,1872
32_La_gym,1877
32_La_gym,1831
32_La_gym,"1854, 1887, 1879"
32_La_gym,1882
32_La_gym,"1876, 1865"
32_La_gym,"1833, 1829"
32_La_gym,1862
32_La_gym,"1819, 1866"
32_La_gym,1883
32_La_gym,1846
32_La_gym,"1775, 1800, 1820, 1848, 1849, 1854, 1850, 1868, 1868, 1868, 1868, 1868, 1882, 1775, 1800"
32_La_gym,"1867, 1864"
32_La_gym,1882
32_La_gym,"1837, 1837, 1833, 1887"
32_La_gym,1881
32_La_gym,1879
32_La_gym,"1880, 1875"
32_La_gym,"1878, 1876"
32_La_gym,"1879, 1883, 1884"
32_La_gym,"1883, 1883"
32_La_gym,1882
32_La_gym,"1813, 1819"
32_La_gym,"1813, 1810, 1880"
32_La_gym,1819
32_La_gym,"1824, 1864"
32_La_gym,"1701, 1703, 1780, 1793"
32_La_gym,1790
32_La_gym,1884
32_La_gym,"1880, 1881"
32_La_gym,"1865, 1887"
32_La_gym,1791
32_La_gym,"1801, 1805, 1814"
32_La_gym,"1818, 1815"
32_La_gym,"1862, 1879"
32_La_gym,"1876, 1874"
32_La_gym,1880
32_La_gym,1757
32_La_gym,1836
32_La_gym,"1880, 1881, 1882"
32_La_gym,"1870, 1881"
32_La_gym,"1878, 1878"
32_La_gym,"1760, 1819, 1826, 1883"
32_La_gym,"1854, 1868, 1870"
32_La_gym,"1882, 1870"
32_La_gym,1882
32_La_gym,1821
32_La_gym,1883
32_La_gym,"1854, 1876"
32_La_gym,"1869, 1819"
32_La_gym,1882
32_La_gym,1882
32_La_gym,1883
32_La_gym,"1859, 1866"
32_La_gym,"1867, 1867"
32_La_gym,"1793, 1799"
32_La_gym,"1797, 1818, 1866"
32_La_gym,"1848, 1847, 1848, 1823, 1833, 1877, 1837, 1838, 1846, 1848, 1843"
32_La_gym,"1877, 1878"
32_La_gym,1861
32_La_gym,1879
32_La_gym,"1878, 1876, 1876, 1882"
32_La_gym,"1882, 1882"
32_La_gym,"1882, 1883"
32_La_gym,1852
32_La_gym,"1883, 1882, 1883, 1883, 1884"
32_La_gym,"1876, 1884"
32_La_gym,"1878, 1878"
32_La_gym,1877
32_La_gym,"1873, 1868"
32_La_gym,1878
32_La_gym,"1780, 1749, 1769, 1782, 1780"
32_La_gym,1862
32_La_gym,1883
32_La_gym,1884
32_La_gym,1837
32_La_gym,"1882, 1883"
32_La_gym,1877
32_La_gym,"1842, 1867, 1844, 1880"
32_La_gym,"1837, 1845, 1847, 1847"
32_La_gym,1884
32_La_gym,"1880, 1881, 1882, 1883, 1884, 1876, 1859, 1870, 1838, 1870, 1872, 1873, 1877, 1863, 1864, 1875, 1877, 1873"
32_La_gym,1883
32_La_gym,1858
32_La_gym,1819
32_La_gym,"1882, 1879"
32_La_gym,1782
32_La_gym,"1867, 1868, 1873, 1881, 1880, 1880"
32_La_gym,"1858, 1854, 1858, 1884, 1984"
32_La_gym,1882
32_La_gym,"1821, 1838"
32_La_gym,1882
32_La_gym,1843
32_La_gym,"1853, 1877"
32_La_gym,"1847, 1850, 1848, 1854"
32_La_gym,1881
32_La_gym,"1870, 1872, 1881, 1879, 1862"
32_La_gym,1824
32_La_gym,1851
32_La_gym,1879
32_La_gym,"1775, 1800, 1820, 1848, 1849, 1854, 1850, 1868, 1868, 1868, 1868, 1882"
32_La_gym,"1872, 1873"
32_La_gym,"1883, 1883"
32_La_gym,"1874, 1881"
32_La_gym,1881
32_La_gym,1866
32_La_gym,1882
32_La_gym,1883
32_La_gym,1819
32_La_gym,1839
32_La_gym,1741
32_La_gym,"1700, 1708"
32_La_gym,1873
32_La_gym,1884
32_La_gym,"1880, 1883"
32_La_gym,"1879, 1836"
32_La_gym,1831
32_La_gym,1797
32_La_gym,1882
32_La_gym,"1880, 1880"
32_La_gym,1881
32_La_gym,"1793, 1882"
32_La_gym,1819
32_La_gym,1840
32_La_gym,1868
32_La_gym,1847
32_La_gym,1869
32_La_gym,"1842, 1870"
32_La_gym,1862
32_La_gym,1864
32_La_gym,1880
32_La_gym,1789
32_La_gym,1880
32_La_gym,1879
32_La_gym,1880
32_La_gym,1880
32_La_gym,1874
32_La_gym,"1800, 1809"
32_La_gym,"1858, 1839, 1843, 1862, 1852, 1852, 1880, 1884"
32_La_gym,1819
32_La_gym,"1851, 1889"
32_La_gym,"1854, 1880, 1881, 1888, 1867, 1884"
32_La_gym,1883
32_La_gym,1742
32_La_gym,1870
32_La_gym,1868
32_La_gym,"1828, 1840, 1842, 1840, 1806"
32_La_gym,1884
32_La_gym,1884
32_La_gym,"1889, 1848, 1861, 1843, 1863, 1863, 1864, 1868"
32_La_gym,1850
32_La_gym,"1868, 1862, 1866, 1863, 1865, 1868, 1825, 1861, 1866, 1868"
32_La_gym,1868
32_La_gym,"1850, 1882"
32_La_gym,1884
32_La_gym,1863
32_La_gym,1740
32_La_gym,1742
32_La_gym,"1868, 1868"
32_La_gym,1847
32_La_gym,"1869, 1868"
32_La_gym,1812
32_La_gym,"1828, 1830"
32_La_gym,1838
32_La_gym,"1868, 1804"
32_La_gym,"1868, 1842, 1863, 1868"
32_La_gym,"1881, 1883, 1882"
32_La_gym,"1853, 1858"
32_La_gym,1870
32_La_gym,1882
32_La_gym,1758
32_La_gym,1889
32_La_gym,1883
32_La_gym,"1847, 1868, 1866"
32_La_gym,"1868, 1868"
32_La_gym,1870
32_La_gym,1784
32_La_gym,"1863, 1863, 1810, 1819, 1831"
32_La_gym,"1876, 1884"
32_La_gym,1878
32_La_gym,"1825, 1831, 1831"
32_La_gym,1879
32_La_gym,"1880, 1881, 1882, 1882, 1870"
32_La_gym,"1868, 1868"
32_La_gym,"1854, 1868, 1833, 1880, 1884, 1865, 1867, 1856, 1867, 1887, 1889, 1859, 1861, 1861, 1862"
32_La_gym,"1766, 1772"
32_La_gym,1858
32_La_gym,1882
32_La_gym,"1861, 1882, 1882"
32_La_gym,"1828, 1843"
32_La_gym,1816
32_La_gym,"1868, 1862, 1864, 1868, 1848, 1868, 1868"
32_La_gym,"1868, 1868, 1868"
32_La_gym,1877
32_La_gym,1865
32_La_gym,1760
32_La_gym,1868
32_La_gym,"1868, 1868"
32_La_gym,1882
32_La_gym,1843
32_La_gym,1882
32_La_gym,1882
32_La_gym,"1868, 1883"
32_La_gym,"1866, 1883"
32_La_gym,1867
32_La_gym,"1868, 1842, 1847, 1868"
32_La_gym,"1882, 1866, 1868, 1881, 1819"
32_La_gym,"1819, 1830, 1849"
32_La_gym,1819
22_part3,1839
22_part3,1850
05_Consei,"1877, 1978, 1978"
05_Consei,"1863, 1872"
05_Consei,"1876, 1877"
01_Biblio,"1878, 1960, 1972"
20_part2,"1808, 1911"
20_part2,"1895, 1905"
14_part1,1834
14_part1,"1978, 1978"
14_part1,1858
14_part1,1858
14_part1,1844
14_part1,"1852, 1857"
14_part1,1858
14_part1,1858
14_part1,"1790, 1762, 1812, 1832"
14_part1,"1833, 1834"
43_part2,1940
30_part1,"1911, 1978, 1978"
15_Histoi,"1761, 1745"
15_Histoi,"1832, 1849"
15_Histoi,1836
15_Histoi,1833
15_Histoi,1830
15_Histoi,1834
15_Histoi,1790
15_Histoi,"1789, 1849, 1790"
15_Histoi,1854
20_part3,1908
20_part3,1921
34_part1,1881
34_part1,"1882, 1978, 1978"
09_part1,1791
09_part1,"1816, 1886, 1854, 1978, 1978"
09_part1,"1850, 1853"
09_part1,"1832, 1849"
09_part1,1847
09_part1,1747
26_part2,"1778, 1823"
26_part2,1882
26_part2,"1791, 1856, 1874"
26_part2,1887
26_part2,1843
26_part2,1858
10_part1,1855
10_part1,"1816, 1864, 1853, 1978, 1978"
10_part1,1854
10_part1,1854
10_part1,1850
10_part1,1854
10_part1,1853
40_Médec,"1856, 1928, 1905, 1978, 1978"
40_Médec,1868
40_Médec,1830
40_Médec,1845
40_Médec,1837
42_Pour_l,1885
42_Pour_l,"1856, 1928, 1914, 1978, 1978"
03_Biblio,"1878, 1960, 1972"
03_Biblio,1988
24_part2,1876
24_part2,1879
24_part2,"1877, 1872"
07_Consei,1844
07_Consei,1859
07_Consei,"1859, 1978, 1978"
07_Consei,"1857, 1824"
07_Consei,1859
07_Consei,"1844, 1850, 1852"
07_Consei,"1845, 1850"
07_Consei,1859
19_part2,1911
26_part3,1853
26_part3,"1876, 1885"
26_part3,1867
26_part3,1884
26_part3,"1842, 1882"
26_part3,"1822, 1866"
26_part3,1883
26_part3,1887
26_part3,1888
36_part1,1865
36_part1,"1873, 1978, 1978"
