Mot,Occurences
enfant,5104
femme,2670
lait,2282
hygiene,1859
malade,1442
mere,1335
jour,1182
mois,1147
temps,1130
cause,1003
dire,1002
corps,981
maladie,929
point,922
soins,905
grossesse,860
medecin,840
tuberculose,821
petit,816
contre,811
donner,807
enfants,792
traitement,769
sang,741
entre,741
mieux,736
donne,733
malades,712
partie,695
grand,694
heures,687
maladies,674
peau,668
jeunes,665
sante,663
grande,652
forme,649
bebe,646
docteur,645
assez,627
jamais,618
prendre,617
puis,614
jusqu,612
heure,606
possible,601
tete,590
moment,584
nourrice,582
premiere,579
service,578
sein,568
general,566
celui,565
trouve,564
jeune,549
premiers,546
usage,544
ecole,541
alimentation,536
accouchement,535
nombre,532
moyen,531
parfois,524
premier,520
jours,519
lieu,517
necessaire,517
bain,517
lorsque,511
bonne,508
reste,502
tion,500
eviter,499
allaitement,496
paris,492
generale,491
meres,484
presque,483
nouveau,479
enfin,479
conditions,477
cependant,476
genitale,475
besoin,474
uterus,468
vers,467
part,466
bras,460
petite,458
travail,452
lorsqu,450
femmes,448
personnes,444
rien,443
regime,443
mettre,437
place,437
systeme,437
froid,435
grammes,433
regles,432
livre,432
aliments,428
troubles,428
suite,425
done,424
pratique,424
exemple,423
enfance,418
bouche,411
main,409
voir,409
couche,407
celles,407
corset,406
poids,404
devient,403
produit,400
question,395
seul,395
temperature,390
plusieurs,387
liquide,384
simple,384
organes,381
pres,381
linge,380
autant,380
fort,379
quelque,378
facon,377
porte,374
facile,374
famille,371
contraire,371
certains,371
operation,370
laisser,369
france,369
quantite,367
petits,362
existe,362
maniere,361
viande,361
tres,361
exercice,357
effet,356
apres,356
causes,356
nuit,353
biberon,353
repas,352
arrive,350
chambre,348
gauche,347
bout,345
soin,342
homme,339
proprete,338
droit,336
sorte,336
action,335
tetee,333
deja,333
nourrisson,331
ventre,328
tuberculeux,328
ensuite,327
eleves,327
raison,325
selon,323
chaleur,321
personne,316
facilement,315
laquelle,314
naissance,314
annee,313
abord,311
page,311
aucun,309
difficile,309
cours,307
nurse,307
dessus,306
dela,306
droite,303
scoliose,302
ailleurs,301
fille,301
quelquefois,300
seule,300
education,300
developpement,299
prophylaxie,298
cing,297
rouge,297
tenir,296
sterilite,296
vetements,295
personnel,295
certaines,294
dents,293
aucune,291
tard,288
bassin,288
chose,285
suivant,285
telle,284
aliment,284
repos,284
vagin,284
vient,283
afin,283
table,282
danger,281
prend,281
longtemps,280
garde,279
mesure,279
mains,278
savoir,278
fatigue,277
periode,275
force,274
epoque,274
lair,273
membres,273
marche,273
toile,272
respiration,271
agit,270
chaude,270
gros,270
accidents,270
yeux,269
propre,268
veut,268
passe,267
rendre,266
couches,265
ceinture,265
face,264
filles,264
voit,264
