Mot,Occurences
enfant,394
scoliose,297
gauche,271
droite,219
lombaire,177
corset,171
dorsale,158
attitude,122
cete,113
colonne,109
courbure,109
cyphose,106
bras,104
deviation,101
exercices,94
membre,88
droit,87
traitement,79
tronc,77
convexite,74
mois,74
vertebrale,71
planche,69
fille,66
temps,62
bassin,59
gibbosite,59
corps,59
lordose,59
epaule,58
tete,57
fort,56
point,50
appareil,50
forme,50
table,49
porte,48
totale,47
degre,47
redressement,47
thorax,46
position,45
general,43
ligne,43
deviations,43
inferieur,42
trouve,42
pied,42
jusqu,41
lorsque,41
exercice,40
raccourcissement,40
dire,39
region,39
voit,38
deformation,37
mouvements,37
gymnastique,37
courbures,36
lorenz,36
figure,36
cervicale,36
enfants,35
centimetres,35
muscles,35
cause,35
mouvement,35
suite,34
jambe,34
amovible,33
siege,33
figures,33
maniere,33
inamovible,33
tard,33
enfin,32
entre,32
grande,31
vertebre,31
lorsqu,31
torsion,30
faible,30
deja,30
nombre,30
legere,30
partie,30
laterale,29
respiratoire,29
bonne,29
taille,29
niveau,29
sens,29
flexion,29
assis,29
cervico,29
ventre,29
scoliotiques,28
hausse,28
pres,28
face,28
voir,28
contraire,28
certain,27
ailleurs,27
bout,27
centimetre,27
dorso,27
presque,27
arriere,27
premiere,27
suspension,26
barre,26
possible,26
oblique,25
plusieurs,25
contre,25
membres,25
extension,25
epaules,25
chaise,24
effort,24
reste,24
agit,24
aide,24
afin,24
durant,24
jeune,24
haut,24
orthopedique,23
plan,23
posterieure,23
mobile,23
poitrine,23
effet,23
scoliotique,23
generale,23
classe,22
barwell,22
developpement,22
dela,22
rond,22
applique,22
considerable,22
assez,22
grand,22
apophyses,22
station,21
assise,21
thoracique,21
tenir,21
suivant,21
vers,21
appareils,21
appui,21
hanche,21
causes,21
presente,21
port,20
ceinture,20
respiration,20
court,20
parfois,20
completement,20
decubitus,20
quelque,20
famille,20
place,20
debout,20
graves,20
saillie,20
amplitude,19
puis,19
examen,19
rare,19
concavite,19
long,19
compte,19
hauteur,19
main,19
egalement,18
existe,18
platre,18
jeunes,18
lombo,18
atrophie,18
mains,18
terre,18
petits,18
compensation,18
devie,18
mieux,18
difference,18
attitudes,17
cote,17
facile,17
fortement,17
absolument,17
constate,17
poids,17
seule,17
epine,17
iliaque,17
tres,17
mobilite,17
paradoxale,17
enfance,17
peine,17
filles,17
omoplate,17
repos,17
direction,17
dossier,17
marche,16
rendre,16
pression,16
cetes,16
courte,16
mediane,16
conditions,16
hancher,16
chute,16
loin,16
alphabetique,15
devies,15
base,15
longtemps,15
jours,15
facon,15
jour,15
seul,15
redresse,15
inferieurs,15
corrige,15
vertebres,15
sacrum,15
abord,15
redresser,15
garcon,15
rien,15
cyphotiques,15
aucune,15
