Word,Count
douze,33
premiers,3
mois,63
bebe,25
fermez,3
rideaux,3
ouvrez,2
fenétre,4
permettrez,1
déyelopper,1
mons,1
petit,40
vers,25
lequel,7
tendront,1
désormais,2
efforts,3
espérances,1
joies,1
telle,9
installation,3
cité,2
nursery,1
élégante,5
ployant,1
nouveau,3
style,2
gracieux,3
approprié,2
coin,1
home,1
question,9
gout,4
sonnel,1
dépend,2
lemplacement,1
dispose,1
importe,5
retenir,3
local,2
salubre,1
propre,18
vhygiéne,2
facteur,2
important,1
santé,29
physique,18
enfant,82
mode,12
partir,10
deuxiéme,7
corps,38
aucun,14
soutien,3
exposer,1
mille,6
inconvénients,1
graves,4
laisser,14
liberté,2
absolue,5
mouvement,18
tard,19
bébé,50
essaiera,1
marcher,8
faudra,3
modifier,3
toilette,17
raccourcir,1
robe,8
jupon,2
remplacer,8
chaussons,2
souliers,2
cuir,5
souple,8
lieu,10
lange,10
porter,15
pantalons,1
toile,6
fine,7
tenu,6
grand,29
propreté,17
rester,12
longtemps,12
mouillé,2
done,26
nécessaire,23
couches,1
assez,13
nombre,6
douzaines,1
chambre,10
maintenue,5
pérature,2
réguliére,1
pourra,4
temps,32
jour,53
libre,8
suffisamment,2
couvert,3
prévenir,3
contre,31
froid,5
belle,25
saison,5
besoin,27
téte,22
couverte,3
cuance,1
part,9
fant,3
changé,2
disait,2
professeur,4
bouchut,1
normal,3
foule,4
arriver,4
etre,1
fréle,4
défense,2
nait,3
tance,4
suffisante,4
impressions,1
premiére,24
année,21
dure,5
passer,12
statistiques,1
néfastes,2
indiquent,4
hélas,1
combien,3
succombent,1
lutter,2
danger,14
prémunir,1
influences,1
morbides,1
préoccupation,1
maman,14
attente,1
préparer,1
apportera,1
soins,1
minutieux,1
assidus,1
tendres,1
layette,6
heures,3
utile,9
changer,7
ensuite,15
aussitét,2
éveillé,3
nourrisson,11
effet,9
salit,2
fréquemment,1
souillé,2
déterminerait,1
ulcérations,1
peau,39
soin,41
éviter,14
environ,5
tétée,12
repas,11
dance,1
endormir,3
empécher,6
moyenne,2
huit,4
neuf,3
abstenir,1
nuit,11
toutefois,6
exige,8
croyez,3
mesdames,3
difficile,8
rendre,5
detrés,1
bonne,31
heure,29
habitue,2
sitot,1
plusieurs,8
journée,4
coucher,7
tient,9
quelque,22
vase,1
jusqu,19
quil,10
soulagé,2
méthode,15
précieuse,4
points,1
lement,6
dormant,1
trouve,3
habitude,13
puisqu,3
contact,1
évite,1
salir,1
grande,28
quantité,3
linge,13
démailloté,1
lavé,3
froide,11
tiéde,6
hiver,8
atta,1
rind,1
lereke,1
vient,9
naitre,6
déposé,1
chaud,12
pansements,1
usage,8
terminés,1
donne,16
premier,54
bain,42
barn,1
enduire,1
légérement,9
vaseline,4
essuyer,2
soigneusement,3
plonger,1
faute,6
thermométre,2
évaluer,1
température,10
plongeant,1
coude,2
impression,3
ressentie,1
agréable,9
maintenu,4
moyen,28
doigts,3
main,26
gauche,3
placés,1
fourche,1
derriére,5
boule,1
ouate,5
hydrophile,3
formant,3
éponge,1
frictionnera,1
droite,7
durée,6
varie,1
cing,5
minutes,1
garder,7
