Mot,Occurences
femme,131
beaute,67
culture,49
cheveux,46
jamais,37
toilette,34
poudre,32
conquete,32
visage,26
peau,25
temps,23
jeune,22
grand,22
celui,22
mieux,22
point,21
chevelure,21
dire,20
assez,20
puis,19
lorsqu,19
laquelle,19
entre,18
yeux,18
rien,18
soins,16
presque,16
contre,16
personne,16
annees,15
soir,15
mode,15
donne,14
petite,14
certain,14
possible,14
main,14
selon,14
cependant,14
jour,14
procede,14
bonne,13
afin,13
teinture,13
donner,13
duvet,13
personnes,13
parfois,13
monde,13
laisser,13
prendre,13
sait,13
sante,13
produit,13
reste,13
aujourd,13
postiche,13
prix,12
petit,12
corps,12
gras,12
mettre,12
choses,12
passe,12
besoin,12
toutefois,11
moyen,11
quelque,11
contraire,11
necessaire,11
done,11
figure,11
petits,11
chose,11
vaut,11
teint,11
tard,11
docteur,11
paris,11
jours,11
aucun,10
tient,10
nuit,10
autant,10
epiderme,10
soin,10
veritable,10
agit,10
coquetterie,10
voir,10
trouve,10
raison,10
fort,10
effet,10
jeunesse,10
tete,10
bain,10
maison,9
hlle,9
grande,9
dela,9
moment,9
transpiration,9
lieu,9
exercice,9
porte,9
permet,9
danger,9
lorsque,9
sorte,9
absolument,9
aucune,9
seule,9
cause,9
sachet,9
belle,9
vraiment,9
femmes,9
repos,9
conserve,9
partie,9
suite,8
methode,8
procure,8
legerement,8
sortir,8
doux,8
quelconque,8
durant,8
forme,8
place,8
general,8
voici,8
matin,8
reussit,8
tion,8
loin,8
suffit,8
part,8
bouche,8
renoncer,8
longtemps,8
aide,8
saurait,8
devient,8
mois,8
robe,7
simple,7
permis,7
pouvoir,7
pense,7
celles,7
existe,7
exemple,7
rouge,7
enlever,7
cologne,7
chaude,7
taches,7
certaines,7
bains,7
faite,7
hygiene,7
tort,7
repas,7
facon,7
lequel,7
resultat,7
telle,7
premiere,7
plusieurs,7
trouver,7
alcool,7
electricite,7
remplacer,7
laisse,7
pres,7
consiste,7
ensuite,7
taille,7
usage,7
veux,7
deja,7
malgre,7
vaseline,7
impose,7
blanc,7
croire,7
coiffure,7
produits,7
maladie,7
jusqu,7
parle,7
fagon,7
grace,7
quoi,7
sert,6
frais,6
conserver,6
secret,6
devant,6
propre,6
chauds,6
destruction,6
ombre,6
formule,6
rare,6
embonpoint,6
