Mot,Occurences
tuberculose,721
hygiene,420
tuberculeux,298
prophylaxie,245
ecole,233
malade,211
contre,201
enfant,193
enfants,189
paris,184
assistance,172
maladie,159
lutte,152
congres,149
famille,145
antituberculeuses,142
france,139
antituberculeuse,128
societe,127
medecin,125
contagion,119
ville,117
desinfection,116
malades,115
travail,105
alcool,104
jour,103
cause,102
service,101
deces,101
publique,100
dispensaire,99
nombre,98
sanatorium,97
existe,92
action,91
partie,90
lait,89
mortalite,89
bacille,89
pays,88
femmes,88
conditions,88
croix,87
voir,86
mesures,85
1907,84
sanatoria,84
grand,84
1908,81
1905,80
scolaire,80
rouge,79
entre,79
education,79
question,78
temps,78
ouvrier,78
habitants,78
sante,77
sanitaire,77
point,76
commission,75
exemple,72
organisme,72
part,70
tuber,70
tuberculeuse,69
1906,68
1909,67
maison,67
rapport,66
tion,66
campagne,66
statistique,66
lits,64
grande,62
declaration,61
medicale,61
certains,60
koch,60
ouvriers,60
sociale,60
femme,59
viande,59
hommes,59
logis,58
cours,58
poussieres,57
eleves,57
armee,57
obligatoire,56
villes,56
actuellement,55
permanente,55
mois,55
terre,55
1910,55
fort,54
alimentation,54
angleterre,54
maladies,54
cree,53
dire,53
certaines,53
allemagne,53
reste,53
etat,52
necessaire,52
privee,52
maisons,52
marche,52
ceuvre,52
faite,51
mere,51
francs,51
cure,51
bacilles,51
heures,50
terrain,48
medecine,48
ecoles,48
donne,47
premier,47
logement,46
trouve,46
homme,46
tubercu,45
secours,45
1904,45
linge,45
ceuvres,45
creation,45
produit,45
parmi,45
pauvres,45
eviter,45
durant,44
annee,44
pres,43
enseignement,43
atelier,43
donner,43
place,43
publics,43
cependant,43
danger,43
populaire,42
alcoolisme,42
prendre,42
pulmonaire,42
lyon,42
individus,41
jamais,41
general,41
celui,41
misere,41
culose,41
1000,41
parents,41
medecins,40
grace,40
preservation,40
societes,40
bienfaisance,40
saint,40
population,40
grandes,39
conseil,39
hepital,39
1902,39
jardin,39
comite,39
heure,39
premiere,38
chap,38
crachats,38
familles,38
medical,38
pouvoirs,38
moment,37
contagieux,37
public,37
antituberculeux,37
locaux,37
reforme,37
domicile,36
soins,36
gens,36
marine,36
pratique,35
ressources,35
berlin,35
generale,35
colonies,35
habitations,35
bureaux,34
bonne,34
proprete,34
amerique,34
laquelle,34
bureau,34
jeux,34
milieu,34
diverses,33
dispensaires,33
examen,33
jusqu,33
moyen,33
grammes,33
sanitaires,33
rele,33
devraient,33
deja,33
longtemps,33
evolution,33
lieu,33
suite,33
maniere,32
plusieurs,32
1903,32
foyer,32
partout,32
vacances,32
petit,31
porte,31
indigents,31
1900,31
corps,31
ministere,31
autant,31
animaux,31
individu,31
possible,31
compte,31
traitement,31
classe,31
maitre,31
projet,30
1912,30
lutter,30
suivant,30
lumiere,30
difficile,30
augmente,30
ligue,30
insalubre,30
presque,30
resultats,30
sains,30
privees,30
association,30
asile,30
charge,30
landouzy,30
prix,30
bain,30
grancher,30
infection,30
pourrait,29
chapitre,29
suisse,29
malgre,29
hepitaux,29
facile,29
utile,28
ouvert,28
pauvre,28
siecle,28
considerable,28
demande,28
guerre,28
conference,28
periode,28
marin,28
contamination,27
avril,27
propre,27
salaire,27
enfin,27
petits,27
diagnostic,27
surpeuple,27
pain,27
nombreuses,27
resistance,27
etablir,27
infirmieres,27
rien,27
nurse,27
temperature,27
chiffre,27
presse,27
lose,26
assez,26
obligation,26
jeunes,26
peuple,26
phtisie,26
particulier,26
inspection,26
soigner,26
adultes,26
metier,26
revue,26
mars,26
physique,26
masson,26
habitation,26
crachoir,26
forme,25
facilement,25
frais,25
propos,25
repos,25
mains,25
tuberculeuses,25
cete,25
isolement,25
lois,25
nombreux,25
epoque,25
soldats,25
frequente,24
surveillance,24
colonie,24
contamine,24
creer,24
contraire,24
obtenir,24
chambre,24
aeration,24
agents,24
application,24
fievre,24
somme,24
parfois,24
visite,24
efforts,24
necessaires,24
juillet,24
surmenage,24
realite,24
ganglions,24
interet,23
octobre,23
suede,23
chacun,23
annees,23
conta,23
marins,23
vente,23
1890,23
cesse,23
membres,23
aucun,23
atteints,23
gros,23
froid,23
communes,23
londres,23
atteint,22
garde,22
favorable,22
municipalites,22
etabli,22
depense,22
devient,22
1899,22
etranger,22
litre,22
certificat,22
millions,22
ecoliers,22
aucune,22
etude,22
developpement,22
metres,22
monde,22
militaire,22
lesions,22
moyens,22
personne,22
culture,22
predisposes,22
ailleurs,22
organisations,21
vers,21
mesure,21
grossesse,21
ouvriere,21
diminue,21
dangereux,21
poumon,21
contagieuses,21
italie,21
boissons,21
bois,21
debiles,21
classes,21
organisation,21
puis,21
salubrite,21
mettre,21
sang,21
passe,21
economique,21
rendre,21
employes,21
soldat,21
importance,21
causes,21
personnes,20
tions,20
soleil,20
livre,20
realiser,20
populaires,20
facon,20
reglements,20
usage,20
absinthe,20
village,20
filles,20
vote,20
sejour,20
10000,20
climat,20
mort,20
parait,20
aliments,20
belgique,20
local,20
travailleurs,20
malheureusement,20
1911,20
incurables,20
ravages,20
organise,19
mieux,19
academie,19
effort,19
mouvement,19
type,19
morbidite,19
viennent,19
sain,19
travaux,19
tard,19
personnel,19
hygienique,19
existence,19
semaine,19
york,19
decembre,19
consultation,19
piece,19
effet,19
culeux,19
danemark,19
paysan,19
depistage,19
municipalite,19
tete,19
besoin,19
jardins,19
juin,19
tres,19
contamines,19
douche,19
soir,19
nationale,19
raison,19
petites,19
alcooliques,19
agent,19
fonde,19
militaires,18
vite,18
instituteurs,18
bouche,18
dernier,18
jules,18
fondee,18
camp,18
fenetres,18
plein,18
regime,18
conseils,18
bons,18
bains,18
prises,18
stockholm,18
frequemment,18
vivent,18
celles,18
convalescence,18
rendu,18
mise,18
foyers,18
pourraient,18
directe,18
libre,18
premiers,18
idees,18
seine,18
ration,18
fagon,18
autour,18
instruire,18
divers,18
giene,18
toux,18
construction,18
cube,18
conferences,17
cite,17
rapporte,17
voici,17
phtisique,17
internationale,17
mariage,17
libres,17
argent,17
repas,17
fevrier,17
provoque,17
sauf,17
pris,17
bruxelles,17
active,17
professionnelles,17
volonte,17
ouverte,17
questions,17
historique,17
casier,17
realise,17
bord,17
petite,17
occasion,17
demi,17
chiffres,17
journee,17
lesquels,17
maitres,17
matin,17
espace,17
inspecteur,17
section,16
contagieuse,16
sale,16
vetements,16
initiative,16
etrangers,16
vienne,16
generalement,16
complete,16
places,16
cuisine,16
midi,16
directeur,16
office,16
norvege,16
presente,16
saine,16
voies,16
constitue,16
ceci,16
berculose,16
alimentaire,16
defense,16
jeune,16
ouvertes,16
influence,16
emploi,16
rome,16
latente,16
rare,16
nancy,16
tente,16
eleve,16
germes,16
etablissement,16
travaillent,16
interieur,16
guerison,16
ateliers,16
milieux,16
occupe,16
cafe,16
boisson,16
precoce,16
livres,16
prennent,15
reformes,15
francais,15
lequel,15
methode,15
seule,15
1898,15
instruction,15
nourrice,15
allaitement,15
these,15
exposition,15
microbes,15
vieux,15
menagere,15
observation,15
unis,15
siegfried,15
bourgeois,15
force,15
droit,15
viandes,15
scandinaves,15
nord,15
cing,15
jours,15
consommation,15
commerce,15
tient,15
speciale,15
concours,15
gene,15
liberte,15
progres,15
programme,15
villemin,15
laennec,15
telle,15
legumes,15
reglement,15
obtenu,15
garcons,15
traite,15
hdpital,15
continue,15
curabilite,15
chaux,15
meres,15
predispose,15
departement,15
lesquelles,15
manque,14
agricole,14
national,14
alcoolique,14
devant,14
hongrie,14
ques,14
tenu,14
alliance,14
fants,14
vivre,14
predisposition,14
recherches,14
portes,14
pasteur,14
pulmonaires,14
leon,14
heredite,14
servir,14
pouvoir,14
pourra,14
complet,14
comporte,14
aide,14
visites,14
laisser,14
etats,14
industriels,14
vache,14
russie,14
moyenne,14
caisse,14
institutions,14
espagne,14
emis,14
telles,14
frequence,14
cour,14
admis,14
1894,14
collectivite,14
agit,14
nulle,14
grands,14
chef,14
empecher,14
scolaires,14
devoir,14
capables,14
loyer,14
pouvant,14
rarement,14
quantite,14
charges,14
regle,14
surface,14
matiere,14
legislation,14
semble,14
succes,14
trouver,14
postes,14
trouvent,14
soumis,14
troubles,14
cellules,14
terrains,14
rapidement,14
mutualite,14
peau,14
ensemble,14
hygieniques,14
profession,14
litres,14
poids,14
indi,13
efficace,13
existait,13
quelquefois,13
vaches,13
veeu,13
constate,13
cabaret,13
prepare,13
particuligrement,13
voila,13
fatigue,13
contact,13
matieres,13
familiale,13
rouges,13
central,13
certaine,13
hollande,13
seul,13
irlande,13
surveiller,13
peine,13
idee,13
services,13
prives,13
opinion,13
necessite,13
atmosphere,13
institue,13
desinfecter,13
poussiere,13
developpe,13
assurer,13
assure,13
objets,13
soignes,13
infirmiere,13
apres,13
nuit,13
tance,13
possede,13
raisons,13
presence,13
vent,13
cher,13
municipal,13
bordeaux,13
industrie,13
provoquer,13
logements,13
sucre,13
inutile,13
novembre,13
assainissement,13
habitudes,13
auto,13
titre,13
experience,13
typhoide,13
important,13
quartier,13
activite,13
janvier,13
primaires,13
speciaux,13
commune,13
parisiens,13
applique,13
fiche,13
assistes,12
prend,12
ouvrir,12
mode,12
assis,12
ouvrieres,12
aider,12
procede,12
meurent,12
humide,12
anciens,12
leuse,12
entretien,12
disposition,12
bonnes,12
consomme,12
bovides,12
contaminent,12
nourriture,12
suspects,12
apprendre,12
ments,12
placer,12
suivi,12
derniere,12
phtisiques,12
suivre,12
grave,12
arrivee,12
ignorance,12
preparation,12
objet,12
exercices,12
retour,12
clinique,12
regions,12
restent,12
signaler,12
1896,12
importe,12
connaitre,12
etablissements,12
manuel,12
capable,12
microbe,12
condition,12
diminution,12
regles,12
salles,12
medicaments,12
disait,12
remedes,12
habitant,12
donnee,12
tenir,12
marseille,12
chambres,12
faudrait,12
bligny,12
nouvelle,11
etrangeres,11
blesses,11
naissance,11
vivement,11
effectue,11
creees,11
science,11
lair,11
occuper,11
pere,11
therapeutique,11
exercice,11
germe,11
antitubercu,11
specialement,11
depart,11
dela,11
provenant,11
charite,11
fonctionne,11
cantine,11
copenhague,11
vient,11
preserver,11
statistiques,11
differentes,11
leux,11
interessant,11
savoir,11
1901,11
entreprise,11
consiste,11
betes,11
memes,11
social,11
mancin,11
entree,11
choix,11
passer,11
enquete,11
ecrit,11
inspecteurs,11
officiers,11
modifications,11
evolue,11
curable,11
region,11
aujourd,11
serie,11
renseignements,11
bretagne,11
taire,11
portant,11
prevenir,11
chose,11
guerir,11
generalites,11
double,11
veritable,11
villages,11
fournir,11
diminuer,11
etudes,11
nurses,11
nation,11
infirmiers,11
aigue,11
interets,11
simple,11
deviennent,11
hemoptysie,11
tiers,11
centrale,11
phagocyte,11
immunite,11
primaire,11
aliment,11
avis,11
systeme,11
forces,11
chemin,11
prophylactique,11
1897,11
generaux,11
nuisible,11
individuelle,11
long,11
attention,11
influences,11
porcelainiers,11
importante,10
girard,10
stations,10
robin,10
portee,10
tuberculine,10
cuvres,10
dangereuses,10
menage,10
prophylactiques,10
propose,10
washington,10
americaine,10
armement,10
suivante,10
placement,10
domestiques,10
surveille,10
arrete,10
nourris,10
experiences,10
etablie,10
essaye,10
puisque,10
geneve,10
groupe,10
mourut,10
contenant,10
employe,10
organismes,10
esprit,10
resulte,10
agricoles,10
faculte,10
signale,10
contenus,10
globules,10
entendu,10
rapports,10
amelioration,10
pose,10
dernieres,10
suffit,10
egalement,10
nettoyer,10
papier,10
digestif,10
devoirs,10
semblables,10
carres,10
constituent,10
varie,10
precautions,10
repandre,10
preparer,10
riches,10
transport,10
chaleur,10
administration,10
special,10
pupilles,10
verite,10
reclame,10
fonction,10
desirer,10
donnes,10
faible,10
locataire,10
disparaitre,10
verre,10
2000,10
disparition,10
passent,10
faits,10
entourage,10
quelque,10
convalescents,10
champs,10
laisse,10
difficultes,10
lesion,10
meurt,10
calmettes,10
infectieux,10
compose,10
ordures,10
1880,10
detruire,10
loge,10
balayage,10
triage,10
propres,10
menageres,10
certain,10
entrer,10
jean,10
grippe,10
arrondissement,10
affection,10
roux,10
professions,10
ordre,9
anti,9
mangin,9
instruit,9
eduquer,9
protection,9
donnent,9
preferable,9
epreuve,9
international,9
bout,9
poumons,9
etroite,9
rang,9
francaise,9
compagnies,9
commence,9
alphabetique,9
deuxieme,9
fete,9
utiles,9
soupe,9
reaction,9
betail,9
theorie,9
conclusion,9
