Mot,Occurences
femme,523
grossesse,319
traitement,243
genitale,223
hygiene,219
accouchement,204
uterus,190
cause,173
enfant,160
dire,152
regles,149
sterilite,135
maladies,125
genital,122
troubles,120
systeme,115
vagin,107
operation,106
maladie,101
sang,99
causes,94
fecondation,87
mois,84
luterus,82
genitales,82
vulve,80
medecin,77
couches,75
ventre,73
moment,69
ceinture,68
question,66
suites,66
organes,63
ecoulement,63
menstruation,62
general,61
tumeur,61
bassin,61
lieu,59
amenorree,57
possible,56
done,56
apres,55
uterine,53
corps,53
tres,53
tantot,53
presentation,53
forme,52
puberte,51
hemorragie,51
point,51
pareil,50
menopause,50
tion,49
temps,49
sorte,48
effet,47
nerveux,47
moyens,46
contraire,46
mere,46
version,46
conception,45
organe,45
normal,45
fistule,45
gros,44
pessaire,44
fibrome,43
exemple,43
figure,43
assez,43
ovule,43
part,42
existe,42
deviation,42
matieres,42
cancer,41
malade,41
uterin,41
celui,41
nevralgie,41
savoir,41
jours,41
kystes,41
difficultes,41
auvard,40
place,40
deviations,40
douleurs,40
simple,39
contre,39
canal,39
enfin,39
prendre,39
mort,38
telle,38
arrive,38
quant,38
prolapsus,38
dysmenorree,38
produit,38
certains,37
parfois,37
epoque,36
injections,36
mieux,35
entre,35
ovaire,35
plusieurs,35
niveau,35
table,35
liquide,35
metrite,35
necessaire,34
avee,33
conditions,33
trompe,33
placenta,33
tete,33
couche,32
examen,32
nombre,31
difficile,31
cependant,31
volume,31
reste,31
seul,31
usage,31
ulerus,31
premier,31
donne,30
puis,30
puterus,30
main,30
genitaux,30
retour,30
delivrance,30
ulerine,30
devient,29
partie,29
gene,29
vessie,29
entend,29
bains,29
alphabetique,29
dechirure,29
rien,28
vient,28
suite,28
douleur,28
retention,28
urine,28
tions,28
facon,28
eviter,28
vaginale,28
role,28
injection,28
aucun,27
jusqu,27
generale,27
trouve,27
quoi,27
jour,27
diagnostic,27
egard,27
rapports,27
sexuels,27
position,27
kyste,27
danger,27
pourra,27
celles,27
enceinte,27
moyen,27
cordon,27
certaines,26
accou,26
parler,26
resultat,26
hemorragies,26
action,26
venfant,26
forceps,26
inflammation,25
conformation,25
toutefois,25
donner,25
intra,25
elre,25
perinee,25
foetus,25
peul,24
facile,24
relativement,24
completement,24
face,24
vaginal,24
normale,24
seins,24
divers,24
matrice,24
sage,24
temperament,24
constitue,24
presente,24
heures,24
degre,24
maternite,24
spermatozoide,24
recidive,23
regle,23
veut,23
quelque,23
agit,23
petit,23
expose,23
menorragie,23
vers,23
accouche,23
sante,23
sesse,23
siege,23
membranes,23
accidents,23
maniere,22
applique,22
produire,22
accoucheur,22
chement,22
consequence,22
grande,22
varices,22
voit,22
fausse,22
aucune,22
suivant,22
salpingo,22
ovarite,22
expulsion,22
artificielle,22
existence,21
sensation,21
indique,21
premiere,21
facilement,21
egalement,21
developpement,21
neurasthenie,21
rare,21
arriver,21
antisepsie,21
devenir,21
presque,21
fibromes,21
nouveau,21
produisent,21
diverses,21
cours,21
traite,21
qwil,21
massage,21
lait,21
gemellaire,21
guerir,20
medicaments,20
simplement,20
pratique,20
suffit,20
grand,20
chose,20
amene,20
besoin,20
homme,20
enfants,20
depend,20
laisser,20
autant,20
poche,20
muqueux,20
acide,20
vaccouchement,20
duree,20
geni,20
jamais,20
dechirures,20
fatigue,20
septicemie,20
exercice,20
enlever,19
consequences,19
pres,19
arriere,19
laquelle,19
rares,19
abord,19
frequentes,19
ulerin,19
tumeurs,19
ailleurs,19
lorsque,19
permettre,19
mariage,19
sterilile,19
soins,19
consiste,19
curage,19
parle,19
cesarienne,19
symptomes,18
influence,18
parmi,18
nerveuse,18
amener,18
bouche,18
voir,18
paroi,18
voici,18
appelle,18
signe,18
vaut,18
laccouchement,18
microbes,18
conseille,18
cellule,18
mouvements,18
douloureux,18
hydrotherapie,18
chloroforme,18
semaine,18
post,18
deformations,18
heure,17
quil,17
medicament,17
habituellement,17
humain,17
production,17
loperation,17
combien,17
autrement,17
petites,17
cing,17
inversion,17
cote,17
membres,17
extraction,17
designe,17
dant,17
aigue,17
vaginite,17
pelvi,17
seigle,16
periode,16
rectum,16
relative,16
guerison,16
fille,16
lulerus,16
compression,16
polypes,16
impossible,16
complete,16
source,16
medical,16
principales,16
tube,16
bout,16
partum,16
apparente,16
manceuvres,16
microbe,16
eaux,15
inconvenient,15
dent,15
grands,15
quwil,15
droit,15
compte,15
double,15
lenfant,15
jeune,15
solution,15
vuterus,15
devra,15
naissance,15
constituent,15
fond,15
variete,15
lorgane,15
embryon,15
mesure,15
aide,15
eprouve,15
nevralgies,15
propos,15
menstruelle,15
rupture,15
sysleme,15
formation,15
tenir,15
ordinaire,15
annexes,15
somme,14
cavite,14
avis,14
afin,14
tige,14
importance,14
expression,14
comprendre,14
interieur,14
quelquefois,14
vice,14
absolument,14
vent,14
sommet,14
lequel,14
force,14
resultats,14
modifications,14
faite,14
pouvoir,14
ulerines,14
fera,14
exposer,14
meme,14
conduite,14
pertes,14
bicyclette,14
ceuf,14
alimentation,14
telles,13
polype,13
porte,13
loin,13
coudure,13
flexion,13
situation,13
montre,13
deviennent,13
exactement,13
retreci,13
contact,13
livre,13
avortement,13
circulation,13
mettre,13
long,13
observe,13
chirurgie,13
derniers,13
puerperalite,13
presence,13
rapport,13
organisme,13
signes,13
premiers,13
cceur,13
meilleur,13
davantage,13
dela,13
grace,13
ovulation,13
frequente,13
constipation,13
recours,13
anneau,13
chambre,13
reprise,13
regime,13
symphyseotomie,13
salpingite,13
douloureuse,12
petite,12
puisse,12
fagon,12
retroflexion,12
miction,12
continue,12
hermaphrodisme,12
details,12
malformation,12
semaines,12
repos,12
tement,12
abdominale,12
malformations,12
doigt,12
nest,12
inutile,12
commence,12
ligament,12
trompes,12
mouvement,12
uterines,12
saurait,12
sperme,12
dependent,12
ensuite,12
permet,12
peau,12
echappe,12
vive,12
dessus,12
habitude,12
second,12
special,12
fort,12
habituelle,12
coton,12
imperforation,12
fistules,12
gravite,12
craindre,12
absolue,12
accouchements,12
maternel,12
chronique,12
ergot,11
electricite,11
operer,11
tissu,11
rendre,11
empecher,11
passe,11
sens,11
sexe,11
vivant,11
normales,11
mari,11
ration,11
conseiller,11
sanguine,11
personnes,11
communication,11
nombreuses,11
orifice,11
veines,11
outre,11
erreur,11
neuf,11
cetle,11
obstacle,11
ouvrir,11
certain,11
parties,11
vingt,11
existent,11
allaitement,11
autrefois,11
preference,11
personne,11
raison,11
ouverture,11
anus,11
points,11
prononcer,11
expliquer,11
trouble,11
mecanisme,11
connaitre,11
phenomene,11
quinze,11
grandes,11
inferieurs,11
bande,11
contenu,11
marche,11
cuisses,11
deuxieme,11
dirai,11
passage,11
douloureuses,11
