Word,Count
douze,40
premiers,3
mois,203
bebe,73
fermez,3
rideaux,9
ouvrez,2
fenétre,4
permettrez,1
déyelopper,1
mons,3
petit,178
vers,100
lequel,24
tendront,1
désormais,7
efforts,3
espérances,3
joies,1
telle,65
installation,3
cité,3
nursery,2
élégante,5
ployant,1
nouveau,15
style,2
gracieux,4
approprié,13
coin,3
home,2
question,51
gout,6
sonnel,1
dépend,19
lemplacement,1
dispose,3
importe,7
retenir,7
local,2
salubre,1
propre,49
vhygiéne,4
facteur,3
important,11
santé,63
physique,46
enfant,488
mode,20
partir,25
deuxiéme,16
corps,115
aucun,52
soutien,4
exposer,10
mille,18
inconvénients,1
graves,4
laisser,46
liberté,8
absolue,22
mouvement,52
tard,44
bébé,202
essaiera,1
marcher,19
faudra,22
modifier,7
toilette,45
raccourcir,1
robe,19
jupon,14
remplacer,17
chaussons,2
souliers,2
cuir,7
souple,12
lieu,70
lange,39
porter,30
pantalons,1
toile,32
fine,19
tenu,9
grand,94
propreté,30
rester,18
longtemps,32
mouillé,5
done,94
nécessaire,77
couches,1
assez,84
nombre,41
douzaines,1
chambre,34
maintenue,5
pérature,2
réguliére,12
pourra,49
temps,89
jour,245
libre,30
suffisamment,6
couvert,10
prévenir,10
contre,82
froid,38
belle,35
saison,10
besoin,67
téte,61
couverte,4
cuance,1
part,48
fant,32
changé,4
disait,3
professeur,11
bouchut,2
normal,27
foule,6
arriver,27
etre,5
fréle,7
défense,8
nait,6
tance,10
suffisante,18
impressions,1
premiére,69
année,47
dure,16
passer,28
statistiques,2
néfastes,2
indiquent,8
hélas,2
combien,27
succombent,2
lutter,4
danger,59
prémunir,1
influences,1
morbides,1
préoccupation,1
maman,35
attente,1
préparer,14
apportera,2
soins,1
minutieux,2
assidus,1
tendres,1
layette,15
heures,3
utile,25
changer,16
ensuite,31
aussitét,5
éveillé,5
nourrisson,36
effet,48
salit,3
fréquemment,2
souillé,2
déterminerait,1
ulcérations,3
peau,76
soin,117
éviter,66
environ,28
tétée,57
repas,30
dance,1
endormir,3
empécher,26
moyenne,20
huit,17
neuf,15
abstenir,6
nuit,46
toutefois,22
exige,13
croyez,3
mesdames,3
difficile,50
rendre,31
detrés,1
bonne,81
heure,134
habitue,2
sitot,1
plusieurs,40
journée,15
coucher,24
tient,21
quelque,55
vase,8
jusqu,84
quil,45
soulagé,2
méthode,16
précieuse,5
points,1
lement,25
dormant,3
trouve,51
habitude,36
puisqu,13
contact,9
évite,4
salir,3
grande,97
quantité,31
linge,21
démailloté,1
lavé,11
froide,29
tiéde,13
hiver,25
atta,1
rind,1
lereke,1
vient,37
naitre,10
déposé,5
chaud,40
pansements,2
usage,133
terminés,1
donne,59
premier,159
bain,92
barn,1
enduire,1
légérement,12
vaseline,14
essuyer,4
soigneusement,16
plonger,7
faute,16
thermométre,3
évaluer,1
température,44
plongeant,3
coude,3
impression,6
ressentie,2
agréable,16
maintenu,6
moyen,118
doigts,3
main,76
gauche,9
placés,1
fourche,1
derriére,12
boule,7
ouate,11
hydrophile,14
formant,6
éponge,11
frictionnera,1
droite,12
durée,19
varie,12
cing,18
minutes,1
garder,13
possible,99
assis,5
bras,44
position,26
assise,2
colonne,14
vertébrale,14
incurve,1
presque,84
femme,622
entoure,9
jambes,2
haut,26
tronec,1
principes,2
mére,207
facilement,35
observe,9
agit,29
malheureusement,14
suivis,1
lorsqu,62
étrangére,4
promenades,2
mieux,118
vaut,14
petite,134
voiture,12
sant,8
coussins,2
poussée,3
derricre,1
maniére,49
promener,4
mauvaise,25
oubliez,2
dangereux,17
mettre,55
portée,10
chose,83
pourrait,24
peinte,1
couleurs,1
base,15
plomb,2
porte,31
emparer,2
saurait,19
surveiller,21
veillez,1
laine,25
décide,1
frangaise,5
opére,7
facon,69
suivante,15
commence,30
entrer,12
mise,13
brassiére,30
puis,100
procédé,18
commode,10
consiste,15
introduire,3
manche,14
sortir,24
nure,2
saisissant,1
tire,5
passée,10
retourne,4
fagon,21
descende,1
aine,3
place,38
couche,62
triangulaire,1
laquelle,30
enveloppe,13
contenter,8
longue,31
large,22
long,32
enroule,2
jambe,35
chacun,18
cotés,1
replie,3
arriére,12
mité,1
utilisée,1
remonter,4
aisselles,8
roule,3
autour,19
laissant,7
bout,41
fixe,15
épingles,1
nourrice,99
fichu,12
tissu,30
bonnet,8
indispensable,33
dite,18
pléte,3
bese,1
vétu,3
recevyoir,1
baiser,2
berceau,41
laissera,5
dormir,8
couché,8
séché,6
poudré,2
méticuleusement,1
plis,8
forment,5
essuyé,4
oreilles,7
pesé,3
poids,46
noté,1
progression,3
normale,24
établir,8
procéderons,1
nombril,2
lavage,24
bouillie,27
enveloppé,2
bande,23
ceinture,65
flanelle,38
attachée,2
épingle,14
plate,1
troitette,1
éctre,1
dement,4
abaisse,2
vétements,2
secs,3
irriter,1
pouvoir,27
oter,1
suivant,44
choisira,2
vieille,5
caise,1
américaine,7
derniére,24
cieuse,3
demande,19
surveillance,10
mobe,1
selon,19
vetements,2
coton,12
maniere,6
manie,3
jeunes,1
excusable,1
somme,13
couve,1
adore,2
charmant,2
tableau,3
jeune,253
peine,33
remise,3
tions,1
faible,36
puisant,1
amour,9
maternel,25
forces,1
soutenir,17
cieux,3
fardeau,6
laisse,16
dorloter,1
content,1
désire,6
lhabituez,2
cependant,75
monde,31
procéder,5
retourner,2
literie,3
donner,119
importance,27
horizontale,6
élevée,6
étendu,2
incliné,3
coté,20
voudra,4
prendre,72
