Mot,Occurences
hygiene,185
point,85
ecole,84
enseignantes,75
eleves,62
temps,61
voix,55
sante,52
troubles,44
morale,43
celles,41
jeunes,41
normale,38
dire,37
travail,36
alimentaire,36
necessaire,36
enseignement,35
entre,34
ecoles,33
general,33
jour,33
professeurs,33
pratique,31
bonne,28
parfois,27
normales,27
celui,26
reste,26
question,26
prendre,26
mieux,26
grand,26
femme,25
vacances,25
aliments,25
cependant,24
nombre,24
tache,24
maitresses,24
usage,24
grande,24
regime,24
eleve,23
repas,23
jeune,22
education,22
cause,21
done,21
volonte,21
quelque,21
memes,20
giene,20
deja,20
maitresse,20
femmes,20
choix,19
chose,19
rendre,19
preparation,19
vetement,19
eviter,18
fatigue,18
tion,18
institutrices,18
manque,18
lumiere,18
toilette,18
personnes,18
heures,17
forces,17
habitudes,17
part,17
ensei,17
digestion,17
contre,16
donner,16
livre,16
necessite,16
filles,16
possible,16
conditions,16
compte,16
trouve,16
selon,16
famille,16
raison,16
force,16
nutrition,16
legumes,16
savoir,15
organes,15
vers,15
facilement,15
regles,15
effet,15
generalement,15
milieu,15
classe,15
veut,15
medecin,15
fort,15
ceuvre,15
trouble,15
genitale,15
besoin,14
certain,14
ressources,14
fonctions,14
mode,14
laquelle,14
exemple,14
individuelle,14
meme,14
fonction,13
certains,13
donne,13
systeme,13
plusieurs,13
chercher,13
grosse,13
institutrice,13
cuisine,13
porte,13
sens,13
fagon,13
entrer,13
sais,13
absolument,13
annees,13
enseignante,13
exercice,13
sortes,13
soin,13
choses,13
culture,13
facile,13
soir,13
simple,13
assurer,12
developpement,12
saine,12
educatrices,12
assez,12
mauvaise,12
parler,12
nerveux,12
jamais,12
facon,12
veiller,12
frais,12
quil,12
particulier,12
emploi,12
nuit,12
bains,12
defaut,12
intellectuelles,12
mariage,12
fille,12
accidents,11
mettre,11
station,11
longues,11
calme,11
voyage,11
ideal,11
convient,11
gnantes,11
coucher,11
aujourd,11
existence,11
vivre,11
large,11
intellectuelle,11
inconvenients,11
exigences,11
examen,11
indispensable,11
physique,11
internat,11
superieures,11
combien,11
matin,11
soleil,11
aeration,11
conserver,11
gens,11
maitre,11
enfants,11
essayer,11
aucune,11
gallica,11
tenir,11
sait,11
beurre,11
exercices,10
familles,10
ville,10
economie,10
ailleurs,10
auxquelles,10
chambre,10
directrice,10
voir,10
professeur,10
autant,10
jours,10
telles,10
rien,10
raisons,10
bonnes,10
tions,10
trouver,10
permanente,10
veux,10
entretien,10
effort,10
jusqu,10
bonheur,10
chacune,10
traitement,10
objet,10
constipation,10
contenus,10
alimentation,10
pratiques,10
viande,10
maison,9
passer,9
introduction,9
aller,9
ordres,9
annee,9
importance,9
voit,9
desir,9
etudes,9
indication,9
organisme,9
puis,9
pourrait,9
mauvais,9
laisse,9
cours,9
divers,9
largement,9
table,9
atmosphere,9
action,9
generale,9
creer,9
veritable,9
personne,9
enfant,9
complete,9
certaines,9
particulierement,9
dessus,9
ration,9
pain,9
dangers,8
prend,8
petit,8
maria,8
dupont,8
seul,8
preserver,8
pourra,8
demander,8
lhygiene,8
habitation,8
logement,8
appartement,8
experience,8
parti,8
respiratoire,8
pose,8
considerations,8
libre,8
extremement,8
causes,8
sons,8
entendre,8
necessaires,8
difficile,8
secondaire,8
primaires,8
grands,8
bouche,8
partie,8
dernier,8
forme,8
nourriture,8
celle,8
union,8
presque,8
formation,8
crainte,8
neces,8
pretexte,8
salle,8
midi,8
hygienique,8
pourront,8
surmont,8
rencontre,8
reutilisation,8
peau,8
boisson,8
besoins,8
corset,8
mouvement,7
excellent,7
moyen,7
gymnastique,7
lesquelles,7
arrive,7
mesure,7
ceuvres,7
professorale,7
sortie,7
quoi,7
esprit,7
fatiguees,7
ments,7
meilleure,7
conclusion,7
unes,7
trouvent,7
difficultes,7
oblige,7
desirable,7
vaut,7
attendre,7
fautes,7
dela,7
perdre,7
monde,7
profiter,7
repos,7
loin,7
songer,7
humeur,7
telle,7
nerveuse,7
danger,7
personnel,7
situation,7
droit,7
autrement,7
viennent,7
puisse,7
permet,7
lorsqu,7
propos,7
ordre,7
surmenage,7
tete,7
cure,7
habitude,7
tard,7
froid,7
graves,7
lorsque,7
cafe,7
gros,7
voulu,7
constituent,7
modeste,7
elever,7
recommande,7
lavage,7
quils,7
intestin,7
place,7
manifestations,7
genre,7
organe,7
entendu,7
sentiments,7
appareils,7
aliment,7
respiration,7
bras,7
parait,6
essentiel,6
poitrine,6
devenir,6
normal,6
garde,6
surveillance,6
fera,6
rapide,6
lieu,6
enthousiasme,6
apprendre,6
organiser,6
utile,6
lait,6
auxquels,6
remarque,6
sociale,6
budget,6
main,6
peine,6
sauf,6
relativement,6
faudrait,6
dernieres,6
restent,6
debuts,6
entree,6
concours,6
materielles,6
intel,6
propre,6
siens,6
estomac,6
contraire,6
soigner,6
rester,6
effets,6
mauvaises,6
organisation,6
efforts,6
promenade,6
pourraient,6
preparer,6
caractere,6
laryngite,6
auditive,6
doute,6
distance,6
intellectuel,6
periode,6
charges,6
parmi,6
males,6
autorite,6
societe,6
insister,6
occasion,6
appareil,6
lair,6
expiration,6
devant,6
scolaires,6
reduire,6
serieux,6
tuberculose,6
procurer,6
occupations,6
lequel,6
passe,6
voire,6
classes,6
phonation,6
diverses,6
semble,6
autour,6
diriger,6
pense,6
porter,6
face,6
source,6
trices,6
interet,6
ajoute,6
dents,6
particuliere,6
prix,6
