Word,Count
douze,68
premiers,3
mois,462
bebe,74
fermez,3
rideaux,40
ouvrez,2
fenétre,20
permettrez,2
déyelopper,2
mons,5
petit,493
vers,205
lequel,88
tendront,1
désormais,12
efforts,3
espérances,3
joies,1
telle,168
installation,8
cité,11
nursery,4
élégante,5
ployant,1
nouveau,41
style,5
gracieux,5
approprié,29
coin,11
home,3
question,152
gout,23
sonnel,5
dépend,46
lemplacement,1
dispose,10
importe,37
retenir,10
local,11
salubre,1
propre,124
vhygiéne,14
facteur,9
important,52
santé,248
physique,105
enfant,1642
mode,86
partir,64
deuxiéme,27
corps,285
aucun,117
soutien,8
exposer,22
mille,53
inconvénients,1
graves,4
laisser,121
liberté,26
absolue,56
mouvement,144
tard,111
bébé,275
essaiera,3
marcher,45
faudra,56
modifier,16
toilette,111
raccourcir,2
robe,109
jupon,26
remplacer,47
chaussons,2
souliers,2
cuir,24
souple,23
lieu,218
lange,183
porter,75
pantalons,2
toile,136
fine,48
tenu,22
grand,282
propreté,91
rester,50
longtemps,86
mouillé,33
done,212
nécessaire,299
couches,1
assez,235
nombre,189
douzaines,1
chambre,113
maintenue,10
pérature,4
réguliére,29
pourra,125
temps,89
jour,687
libre,77
suffisamment,33
couvert,20
prévenir,21
contre,228
froid,145
belle,67
saison,32
besoin,224
téte,159
couverte,9
cuance,1
part,183
fant,124
changé,16
disait,13
professeur,89
bouchut,17
normal,69
foule,12
arriver,58
etre,10
fréle,12
défense,15
nait,10
tance,22
suffisante,51
impressions,1
premiére,226
année,182
dure,48
passer,74
statistiques,3
néfastes,2
indiquent,12
hélas,12
combien,77
succombent,4
lutter,16
danger,137
prémunir,2
influences,1
morbides,1
préoccupation,11
maman,73
attente,1
préparer,47
apportera,3
soins,1
minutieux,6
assidus,2
tendres,1
layette,59
heures,3
utile,96
changer,45
ensuite,126
aussitét,16
éveillé,11
nourrisson,207
effet,163
salit,4
fréquemment,39
souillé,7
déterminerait,2
ulcérations,3
peau,196
soin,364
éviter,158
environ,82
tétée,194
repas,173
dance,3
endormir,7
empécher,53
moyenne,48
huit,59
neuf,48
abstenir,18
nuit,147
toutefois,49
exige,33
croyez,3
mesdames,13
difficile,144
rendre,101
detrés,1
bonne,290
heure,476
habitue,7
sitot,4
plusieurs,126
journée,51
coucher,77
tient,64
quelque,172
vase,30
jusqu,219
quil,133
soulagé,2
méthode,59
précieuse,10
points,1
lement,57
dormant,5
trouve,187
habitude,117
puisqu,34
contact,51
évite,9
salir,6
grande,290
quantité,171
linge,136
démailloté,3
lavé,26
froide,75
tiéde,48
hiver,44
atta,2
rind,1
lereke,1
vient,96
naitre,19
déposé,17
chaud,94
pansements,2
usage,255
terminés,1
donne,153
premier,343
bain,214
barn,1
enduire,1
légérement,37
vaseline,18
essuyer,4
soigneusement,30
plonger,10
faute,49
thermométre,13
évaluer,2
température,106
plongeant,9
coude,8
impression,28
ressentie,3
agréable,34
maintenu,14
moyen,271
doigts,3
main,205
gauche,31
placés,1
fourche,1
derriére,38
boule,14
ouate,51
hydrophile,20
formant,14
éponge,21
frictionnera,1
droite,27
durée,65
varie,32
cing,75
minutes,1
garder,40
possible,248
assis,14
bras,130
position,63
assise,4
colonne,24
vertébrale,18
incurve,1
presque,189
femme,1270
entoure,21
jambes,2
haut,66
tronec,1
principes,2
mére,511
facilement,105
observe,35
agit,54
malheureusement,29
suivis,1
lorsqu,146
étrangére,23
promenades,2
mieux,302
vaut,50
petite,282
voiture,20
sant,27
coussins,2
poussée,10
derricre,1
maniére,137
promener,8
mauvaise,98
oubliez,4
dangereux,48
mettre,186
portée,32
chose,226
pourrait,83
peinte,1
couleurs,1
base,59
plomb,7
porte,83
emparer,2
saurait,48
surveiller,44
veillez,1
laine,106
décide,4
frangaise,19
opére,13
facon,183
suivante,59
commence,67
entrer,48
mise,47
brassiére,74
puis,251
procédé,39
commode,26
consiste,36
introduire,9
manche,38
sortir,53
nure,3
saisissant,1
tire,12
passée,20
retourne,9
fagon,65
descende,3
aine,8
place,111
couche,147
triangulaire,1
laquelle,103
enveloppe,32
contenter,15
longue,110
large,65
long,83
enroule,3
jambe,89
chacun,65
cotés,1
replie,7
arriére,35
mité,8
utilisée,3
remonter,9
aisselles,19
roule,4
autour,59
laissant,27
bout,121
fixe,35
épingles,1
nourrice,287
fichu,31
tissu,100
bonnet,59
indispensable,96
dite,63
pléte,8
bese,3
