Word,Count
douze,106
premiers,3
mois,914
bebe,87
fermez,3
rideaux,64
ouvrez,2
fenétre,97
permettrez,3
déyelopper,2
mons,13
petit,992
vers,428
lequel,200
tendront,1
désormais,22
efforts,3
espérances,3
joies,1
telle,380
installation,19
cité,51
nursery,5
élégante,15
ployant,2
nouveau,110
style,8
gracieux,5
approprié,56
coin,35
home,6
question,370
gout,48
sonnel,8
dépend,90
lemplacement,1
dispose,22
importe,81
retenir,30
local,55
salubre,17
propre,324
vhygiéne,31
facteur,11
important,120
santé,558
physique,237
enfant,4040
mode,177
partir,115
deuxiéme,95
corps,905
aucun,265
soutien,15
exposer,51
mille,91
inconvénients,1
graves,4
laisser,328
liberté,56
absolue,90
mouvement,415
tard,259
bébé,425
essaiera,5
marcher,89
faudra,112
modifier,33
toilette,205
raccourcir,5
robe,233
jupon,47
remplacer,113
chaussons,2
souliers,2
cuir,76
souple,55
lieu,461
lange,262
porter,207
pantalons,2
toile,267
fine,94
tenu,68
grand,773
propreté,233
rester,121
longtemps,264
mouillé,72
done,380
nécessaire,593
couches,1
assez,580
nombre,466
douzaines,1
chambre,308
maintenue,27
pérature,16
réguliére,56
pourra,236
temps,89
jour,1493
libre,200
suffisamment,73
couvert,51
prévenir,57
contre,729
froid,456
belle,118
saison,105
besoin,511
téte,507
couverte,25
cuance,3
part,426
fant,270
changé,30
disait,30
professeur,113
bouchut,117
normal,143
foule,28
arriver,141
etre,20
fréle,18
défense,41
nait,23
tance,64
suffisante,99
impressions,1
premiére,520
année,372
dure,111
passer,192
statistiques,3
néfastes,2
indiquent,21
hélas,17
combien,150
succombent,15
lutter,69
danger,319
prémunir,5
influences,1
morbides,1
préoccupation,20
maman,114
attente,5
préparer,98
apportera,5
soins,1
minutieux,13
assidus,2
tendres,1
layette,113
heures,3
utile,285
changer,116
ensuite,296
aussitét,32
éveillé,21
nourrisson,344
effet,412
salit,10
fréquemment,97
souillé,30
déterminerait,2
ulcérations,3
peau,624
soin,1127
éviter,405
environ,203
tétée,265
repas,327
dance,9
endormir,16
empécher,151
moyenne,157
huit,129
neuf,97
abstenir,33
nuit,313
toutefois,118
exige,72
croyez,4
mesdames,13
difficile,315
rendre,245
detrés,1
bonne,557
heure,1069
habitue,16
sitot,14
plusieurs,338
journée,133
coucher,180
tient,166
quelque,344
vase,85
jusqu,540
quil,278
soulagé,3
méthode,159
précieuse,22
points,1
lement,132
dormant,9
trouve,461
habitude,248
puisqu,69
contact,211
évite,44
salir,10
grande,777
quantité,355
linge,369
démailloté,5
lavé,51
froide,265
tiéde,139
hiver,147
atta,4
rind,1
lereke,1
vient,237
naitre,53
déposé,31
chaud,277
pansements,2
usage,448
terminés,1
donne,409
premier,936
bain,631
barn,1
enduire,9
légérement,101
vaseline,48
essuyer,11
soigneusement,42
plonger,20
faute,92
thermométre,36
évaluer,2
température,348
plongeant,11
coude,60
impression,56
ressentie,5
agréable,94
maintenu,34
moyen,680
doigts,4
main,583
gauche,333
placés,1
fourche,1
derriére,78
boule,26
ouate,123
hydrophile,53
formant,37
éponge,69
frictionnera,2
droite,295
durée,174
varie,75
cing,220
minutes,1
garder,117
possible,580
assis,71
bras,415
position,201
assise,32
colonne,184
vertébrale,115
incurve,2
presque,454
femme,2545
entoure,37
jambes,2
haut,205
tronec,1
principes,2
mére,1136
facilement,274
observe,70
agit,166
malheureusement,74
suivis,1
lorsqu,371
étrangére,48
promenades,2
mieux,664
vaut,134
petite,628
voiture,119
sant,64
coussins,2
poussée,37
derricre,1
maniére,318
promener,26
mauvaise,190
oubliez,8
dangereux,124
mettre,402
portée,91
chose,398
pourrait,219
peinte,1
couleurs,1
base,146
plomb,32
porte,277
emparer,2
saurait,118
surveiller,93
veillez,3
laine,238
décide,14
frangaise,32
opére,25
facon,359
suivante,109
commence,131
entrer,83
mise,94
