Mot,Occurences
enfant,301
guide,131
lait,123
jeunes,121
mere,118
usage,117
meres,87
femme,85
jour,73
bebe,68
petit,63
nourrice,60
mois,56
donner,53
lettre,50
puis,48
mieux,45
durant,44
lorsque,39
tres,37
naissance,37
lorsqu,36
moment,36
petite,35
venfant,35
apres,34
sein,34
moyen,33
corps,33
peul,32
vers,32
jusqu,31
maniere,30
jeune,30
nuit,30
mettre,29
heures,29
done,29
trouve,29
porte,29
temps,28
rien,28
possible,28
suite,27
grande,26
soins,26
lange,26
nouveau,24
chere,24
jamais,24
premiere,23
dents,23
partie,23
bonne,23
premiers,23
flanelle,23
sage,23
entre,23
biberon,23
donne,23
grand,22
temperature,22
chambre,21
simple,21
jours,21
cause,21
prendre,21
enfin,21
facon,21
brassiere,21
drap,21
necessaire,20
toilette,20
peau,20
parler,19
enfants,19
quelquefois,19
voila,19
toile,19
bout,19
berceau,18
boriquee,18
medecin,18
tete,18
fant,18
sophy,18
solution,18
lenfant,18
ceinture,18
chaud,18
chemise,18
dire,17
cependant,17
bouche,17
grossesse,17
maladie,17
afin,17
bain,17
tetee,17
malade,17
pique,17
celui,16
heure,16
quil,16
dessus,16
conditions,16
autant,16
premier,16
petits,16
injections,16
laisse,15
chose,15
exemple,15
simplement,15
chaude,15
tube,15
lion,15
sorte,15
hiver,15
pres,15
assez,15
eviter,15
laine,15
jambes,15
bras,15
propre,15
liquide,15
sommeil,15
poids,15
cher,15
bercelonnette,15
patron,15
veux,14
nest,14
voir,14
meme,14
femmes,14
laisser,14
mesure,14
lieu,14
suffit,14
soil,14
bains,14
place,14
abord,14
environ,14
diarrhee,14
fievre,14
pourra,14
grammes,14
appelle,13
parle,13
commence,13
vient,13
digestif,13
long,13
sert,13
presque,13
fort,13
lusage,13
reste,13
aucun,13
mains,13
coucher,13
accouchee,13
petites,13
flacon,13
quelque,12
appareil,12
contre,12
besoin,12
elre,12
deja,12
prepare,12
education,12
weres,12
parties,12
sais,12
servir,12
cordon,12
general,12
faudra,12
soupe,12
seins,12
milieu,12
froid,12
selles,12
promenade,12
corset,12
beau,12
moise,12
large,12
paillasse,12
devant,11
avee,11
1000,11
demander,11
absolument,11
indique,11
rendre,11
sail,11
toul,11
choses,11
regime,11
personnes,11
crois,11
pieds,11
faisant,11
couche,11
pose,11
point,11
empecher,11
habitude,11
hochet,11
coup,11
soutenir,11
ventre,11
farine,11
hydrophile,10
alimentation,10
glandes,10
estomac,10
experience,10
seule,10
garde,10
elant,10
forme,10
fail,10
hygiene,10
preparer,10
manque,10
difficile,10
completement,10
quon,10
travail,10
part,10
circulation,10
chaleur,10
lage,10
passe,10
passer,10
arriver,10
contraire,10
loin,10
teter,10
facilement,10
fera,10
maladies,10
acide,10
frais,10
prend,10
raison,10
accidents,10
tard,10
manger,10
contenus,10
fichu,10
matin,10
longue,10
moindre,9
combien,9
force,9
sortir,9
parents,9
employer,9
parfois,9
double,9
vile,9
preparation,9
cerveau,9
glide,9
monde,9
faible,9
coton,9
permettre,9
tion,9
repas,9
mots,9
resume,9
fais,9
homme,9
tetees,9
apparition,9
table,9
troubles,9
doute,9
gallica,9
litre,9
differents,9
substances,9
pratique,9
objet,8
soigner,8
laver,8
vois,8
autour,8
cdte,8
personne,8
precautions,8
grace,8
regle,8
robe,8
enceinte,8
faite,8
avail,8
certain,8
layette,8
memes,8
suivant,8
froide,8
soin,8
fasse,8
calme,8
facile,8
lave,8
vaseline,8
accouchement,8
semble,8
puisque,8
page,8
taille,8
resultat,8
systeme,8
maillot,8
tenir,8
poumons,8
fils,8
biberons,8
ailleurs,8
telee,8
sevre,8
