Word,Count
douze,36
premiers,3
mois,119
bebe,28
fermez,3
rideaux,8
ouvrez,2
fenétre,4
permettrez,1
déyelopper,1
mons,2
petit,118
vers,57
lequel,13
tendront,1
désormais,2
efforts,3
espérances,1
joies,1
telle,19
installation,3
cité,2
nursery,2
élégante,5
ployant,1
nouveau,10
style,2
gracieux,3
approprié,2
coin,2
home,1
question,12
gout,5
sonnel,1
dépend,5
lemplacement,1
dispose,2
importe,7
retenir,3
local,2
salubre,1
propre,33
vhygiéne,2
facteur,3
important,2
santé,35
physique,29
enfant,295
mode,16
partir,17
deuxiéme,12
corps,71
aucun,27
soutien,3
exposer,3
mille,9
inconvénients,1
graves,4
laisser,28
liberté,3
absolue,7
mouvement,23
tard,29
bébé,110
essaiera,1
marcher,15
faudra,15
modifier,3
toilette,37
raccourcir,1
robe,15
jupon,14
remplacer,15
chaussons,2
souliers,2
cuir,7
souple,10
lieu,24
lange,37
porter,22
pantalons,1
toile,25
fine,11
tenu,7
grand,55
propreté,21
rester,16
longtemps,18
mouillé,3
done,55
nécessaire,44
couches,1
assez,28
nombre,11
douzaines,1
chambre,31
maintenue,5
pérature,2
réguliére,2
pourra,25
temps,60
jour,146
libre,16
suffisamment,3
couvert,7
prévenir,9
contre,41
froid,18
belle,32
saison,6
besoin,41
téte,37
couverte,3
cuance,1
part,21
fant,21
changé,3
disait,3
professeur,9
bouchut,2
normal,5
foule,5
arriver,14
etre,3
fréle,7
défense,7
nait,5
tance,5
suffisante,8
impressions,1
premiére,36
année,25
dure,7
passer,22
statistiques,1
néfastes,2
indiquent,5
hélas,1
combien,12
succombent,1
lutter,2
danger,18
prémunir,1
influences,1
morbides,1
préoccupation,1
maman,23
attente,1
préparer,9
apportera,1
soins,1
minutieux,2
assidus,1
tendres,1
layette,14
heures,3
utile,16
changer,11
ensuite,17
aussitét,3
éveillé,4
nourrisson,15
effet,11
salit,3
fréquemment,1
souillé,2
déterminerait,1
ulcérations,3
peau,59
soin,74
éviter,28
environ,18
tétée,38
repas,20
dance,1
endormir,3
empécher,16
moyenne,8
huit,6
neuf,3
abstenir,1
nuit,42
toutefois,6
exige,10
croyez,3
mesdames,3
difficile,19
rendre,16
detrés,1
bonne,57
heure,72
habitue,2
sitot,1
plusieurs,14
journée,11
coucher,20
tient,11
quelque,32
vase,6
jusqu,48
quil,30
soulagé,2
méthode,15
précieuse,4
points,1
lement,12
dormant,1
trouve,29
habitude,27
puisqu,4
contact,1
évite,2
salir,3
grande,58
quantité,9
linge,16
démailloté,1
lavé,7
froide,20
tiéde,10
hiver,23
atta,1
rind,1
lereke,1
vient,22
naitre,8
déposé,2
chaud,33
pansements,2
usage,103
terminés,1
donne,36
premier,93
bain,70
barn,1
enduire,1
légérement,11
vaseline,12
essuyer,4
soigneusement,7
plonger,7
faute,9
thermométre,3
évaluer,1
température,32
plongeant,2
coude,2
impression,5
ressentie,1
agréable,13
maintenu,4
moyen,65
doigts,3
main,45
gauche,6
placés,1
fourche,1
derriére,11
boule,1
ouate,9
hydrophile,13
formant,5
éponge,6
frictionnera,1
droite,9
durée,8
varie,4
cing,8
minutes,1
garder,8
possible,47
assis,4
bras,38
position,11
assise,2
colonne,11
vertébrale,12
incurve,1
presque,45
femme,200
entoure,8
jambes,2
haut,16
tronec,1
principes,2
mére,103
facilement,18
observe,2
agit,19
malheureusement,4
suivis,1
lorsqu,52
étrangére,4
promenades,2
mieux,71
vaut,9
petite,87
voiture,7
sant,4
coussins,2
poussée,1
derricre,1
maniére,37
promener,2
mauvaise,10
oubliez,2
dangereux,3
mettre,41
portée,7
chose,64
pourrait,10
peinte,1
couleurs,1
base,11
plomb,2
porte,21
emparer,1
saurait,11
surveiller,12
veillez,1
laine,22
décide,1
frangaise,4
opére,7
facon,30
suivante,6
commence,18
entrer,8
mise,8
brassiére,28
puis,74
procédé,15
commode,6
consiste,6
introduire,2
manche,13
sortir,18
nure,2
saisissant,1
tire,4
passée,6
retourne,2
fagon,18
descende,1
aine,2
place,18
couche,22
triangulaire,1
laquelle,16
enveloppe,5
contenter,4
longue,22
large,15
long,21
enroule,2
jambe,22
chacun,10
cotés,1
replie,3
arriére,4
mité,1
utilisée,1
remonter,2
aisselles,7
roule,3
autour,10
laissant,5
bout,27
fixe,7
épingles,1
