Mot,Occurences
traitement,129
malade,120
voir,102
maladie,101
bains,98
corps,77
massage,77
medecin,74
partie,73
bain,69
regime,69
cause,67
maladies,65
femme,65
tete,60
sang,58
personnes,56
grand,55
inflammation,54
compresses,52
eviter,52
prendre,50
enfants,50
parfois,49
affection,47
puis,47
produit,45
peau,45
fievre,44
moyen,44
jamais,44
lait,43
pieds,43
chauds,42
grande,42
suite,42
douleur,42
general,42
femmes,41
suivant,41
soins,40
tres,40
bras,40
hemorrhagie,40
chaud,39
intestin,38
froide,38
afin,38
estomac,37
matrice,36
siege,36
organes,35
temps,35
guerison,35
petit,34
action,34
faiblesse,34
agit,33
enfant,32
douleurs,32
forte,32
personne,32
troubles,32
forme,32
affections,31
chaude,31
exemple,31
celles,31
mauvaise,31
planche,31
vapeur,30
nerveux,30
celui,30
gymnastique,30
certains,30
bonne,30
repos,29
donne,29
jusqu,29
mouvement,29
arrive,29
jours,28
dire,28
chaleur,28
moyens,28
fruits,27
pression,27
contre,27
aucun,27
position,27
organe,27
emploie,26
lieu,26
symptomes,26
froides,26
assez,26
main,26
donner,25
gene,25
contraire,25
demi,25
lavement,25
distingue,24
jambes,24
trouve,24
cerveau,24
circulation,24
duree,23
jour,23
exercice,23
enveloppement,23
hydrotherapie,23
glande,23
froid,23
amelioration,23
alimentation,23
flexion,23
rien,22
procede,22
gorge,22
nuit,22
frequentes,22
obtenir,22
digestion,22
quelquefois,22
ventre,22
respiratoire,22
chronique,22
nutritifs,22
vaisseaux,22
fistule,22
ensuite,21
heures,21
frictions,21
certaines,21
ordonne,21
bassin,21
interne,21
abces,21
tion,21
petite,20
consiste,20
patient,20
simple,20
tissus,20
enveloppements,20
membre,20
devient,20
garde,20
jeune,20
montre,20
maillot,20
quantite,19
lorsque,19
meme,19
minutes,19
muscles,19
nerveuse,19
lavements,19
leger,19
tumeurs,19
perte,19
provoque,19
parties,19
respiration,19
compte,19
homme,19
muqueuse,19
employer,19
manger,18
egalement,18
frais,18
influence,18
huile,18
entre,18
resultat,18
viande,17
aliments,17
grave,17
sorte,17
plusieurs,17
mere,17
traiter,17
courant,17
nerveuses,17
mains,17
fera,17
petits,17
liquide,17
coup,17
autant,17
jeunes,17
chaudes,17
acide,17
mieux,17
maux,17
resultats,17
froids,17
certaine,17
yeux,17
gens,16
constate,16
bouche,16
uterus,16
appelle,16
occasionne,16
dangereux,16
legere,16
chroniques,16
malades,16
reste,16
diarrhee,16
resistance,16
rendre,16
fatigue,16
vers,16
possible,16
premiere,16
anemie,16
lair,16
phenomene,16
tantot,16
normale,16
poumon,16
organisme,16
cancer,16
intestinale,16
febrile,15
faisant,15
premier,15
coeur,15
poitrine,15
survient,15
appliquer,15
mort,15
deja,15
cure,15
force,15
vetements,15
effet,15
ailleurs,15
garder,15
nutrition,15
dilatation,15
selon,15
travail,15
developpe,15
lotions,15
foie,15
formation,15
represente,15
anemiques,15
sain,15
produisent,15
operation,15
figure,15
tiedes,15
petites,15
vessie,15
appetit,14
manque,14
atteint,14
causes,14
ceil,14
graves,14
telle,14
soleil,14
generalement,14
aucune,14
gros,14
foyer,14
agissent,14
compression,14
tissu,14
fagon,14
heure,14
emploi,14
sein,14
fille,14
facilement,14
fortifier,14
medicaments,14
sucre,14
obtient,14
pulmonaire,14
legumes,13
pommes,13
pouvoir,13
boire,13
forces,13
entend,13
vegetarien,13
alcool,13
excitation,13
chambre,13
linge,13
trouble,13
point,13
nerfs,13
grossesse,13
vient,13
applique,13
donnent,13
necessaire,13
matieres,13
acces,13
diagnostic,13
quelque,13
cavite,13
bons,13
voit,13
vite,13
diverses,13
catarrhe,13
urine,13
rectum,13
systeme,13
langue,13
parois,13
dent,13
avoine,12
observer,12
generale,12
annees,12
monde,12
application,12
phenomenes,12
moment,12
diphterie,12
doux,12
enfin,12
soupes,12
difficile,12
region,12
applications,12
executer,12
internes,12
graisse,12
brusque,12
haut,12
echanges,12
compresse,12
bouillottes,12
cote,12
sels,12
constipation,12
affusion,12
goitre,12
sert,11
tiede,11
eruption,11
differentes,11
calme,11
intervention,11
durant,11
temperature,11
filles,11
selles,11
presente,11
bouillotte,11
tube,11
intestinal,11
atteinte,11
sante,11
transpiration,11
fortes,11
vomissements,11
humide,11
mettre,11
traite,11
derivatifs,11
cceur,11
soigner,11
docteur,11
douloureux,11
lorsqu,11
cependant,11
jambe,11
apres,11
provoquer,11
role,11
diminue,11
maladif,11
combattre,11
deviennent,11
esprit,11
regles,11
maillots,11
vagin,11
seche,11
guerir,11
examiner,11
mouvements,11
semaines,11
plaie,11
hernie,11
glace,11
diete,10
ordonner,10
faible,10
longtemps,10
faciliter,10
sejour,10
danger,10
electrique,10
douche,10
soin,10
citron,10
appareil,10
agreable,10
utilement,10
suivre,10
empoisonnement,10
arrosage,10
soigneusement,10
humides,10
genre,10
exces,10
laisser,10
drap,10
lentement,10
occasionnent,10
empecher,10
atteints,10
faibles,10
nombre,10
tumeur,10
manie,10
externe,10
fonctions,10
energique,10
toux,10
abus,10
frequente,10
fracture,10
arreter,10
eprouve,10
injections,10
tuberculose,10
pratique,10
provoquent,10
brandt,10
longue,10
mois,10
indique,10
sonde,10
aigue,9
amandes,9
vent,9
salutaire,9
laine,9
enveloppe,9
malaise,9
maison,9
moindre,9
electricite,9
prescrit,9
tache,9
tient,9
consulter,9
menstruation,9
disparait,9
origine,9
affusions,9
efficaces,9
commence,9
agir,9
determiner,9
aller,9
etablissements,9
facon,9
nourriture,9
evite,9
scarlatine,9
considerer,9
methode,9
maniere,9
excellent,9
autour,9
acides,9
telles,9
sensation,9
execute,9
soir,9
gonflement,9
effets,9
exercices,9
calmer,9
produire,9
malgre,9
exerce,9
change,9
suffit,9
plutot,9
genoux,9
developpent,9
remede,9
glandes,9
lymphatique,9
larynx,9
enterite,9
mauvais,9
sujettes,9
pharynx,9
tenir,9
thure,9
hemorrhagies,9
apparait,9
souffrent,9
respiratoires,9
profonde,9
varices,9
creme,8
rester,8
trouver,8
ments,8
repas,8
aussitot,8
transpirer,8
bout,8
pneumonie,8
seul,8
blessure,8
exige,8
meres,8
abord,8
ablution,8
fenetres,8
suivi,8
sujets,8
lesion,8
pluie,8
quoique,8
apparaissent,8
serieux,8
lesions,8
usage,8
habitudes,8
laisse,8
idee,8
rayons,8
facile,8
essayer,8
arriver,8
mouille,8
proprete,8
couche,8
malaises,8
boissons,8
pied,8
trone,8
frequent,8
lunettes,8
dure,8
odeur,8
coucher,8
membres,8
source,8
marche,8
ameliorer,8
alternatifs,8
joue,8
volonte,8
sentir,8
cardiaques,8
digestifs,8
place,8
afflux,8
grandes,8
droite,8
presentent,8
infusion,8
prend,8
ecoulement,8
activite,8
irritation,8
visage,8
abdomen,8
ouverture,8
efficace,8
tronc,8
comprend,8
arriere,8
nasale,8
masse,8
veine,8
inflammations,8
patiente,8
veineuse,8
sphincter,8
hereditaire,8
citronnade,7
fraiche,7
rend,7
cornee,7
complete,7
severe,7
gruau,7
differe,7
cuir,7
chevelu,7
influences,7
ordonnera,7
importance,7
pelviens,7
conditions,7
endurcissement,7
dangereuse,7
ressent,7
crises,7
devraient,7
exercer,7
frequemment,7
produite,7
espece,7
nausees,7
contagion,7
penetrer,7
soude,7
quotidiennes,7
devoir,7
courte,7
entier,7
devant,7
complet,7
cafe,7
inflammatoires,7
mollets,7
luxation,7
naturelle,7
maladive,7
meilleur,7
refroidissement,7
beaute,7
existe,7
certain,7
causee,7
parmi,7
assimilation,7
done,7
veut,7
extremites,7
oblige,7
disparaitre,7
quoi,7
hygienique,7
negliger,7
vestomac,7
sortes,7
voies,7
appareils,7
lintestin,7
developpement,7
succes,7
genee,7
urethre,7
ouate,7
savoir,7
cours,7
circulatoires,7
long,7
inutile,7
elevee,7
goutte,7
circonstances,7
pays,7
poumons,7
trouvent,7
carie,7
amener,7
lavages,7
examen,7
ameliore,7
souleve,7
divers,7
uterines,7
dernier,7
humeur,7
experience,7
parents,7
pertes,7
gangrene,7
sommeil,7
suppuration,7
levre,7
desquamation,7
cacao,6
sucs,6
oranges,6
signes,6
permet,6
draps,6
pansement,6
suivis,6
volume,6
mede,6
seconde,6
eprouvent,6
insomnie,6
hiver,6
repose,6
pres,6
inhalations,6
caoutchouc,6
complets,6
approprie,6
emploiera,6
parait,6
forment,6
toutefois,6
tombe,6
mecanique,6
desagreable,6
raison,6
laquelle,6
observe,6
uterin,6
soulagent,6
beau,6
lavage,6
poison,6
hygiene,6
parle,6
gastrique,6
humain,6
elements,6
excellents,6
medecine,6
dietetique,6
nuisible,6
leau,6
contact,6
curative,6
compose,6
second,6
pain,6
incurables,6
individu,6
angine,6
ment,6
contraction,6
ration,6
musculaire,6
recommander,6
arrosages,6
necessite,6
presence,6
ligaments,6
entourage,6
penible,6
vesicules,6
chap,6
matin,6
preference,6
superieure,6
exigent,6
viennent,6
enflure,6
animale,6
indications,6
promenade,6
ouvert,6
tumefaction,6
engorgement,6
vibratoire,6
menage,6
combien,6
direction,6
devenir,6
changement,6
regler,6
pourra,6
puissent,6
biere,6
cavites,6
famille,6
abondantes,6
considere,6
journee,6
vive,6
genou,6
activer,6
sanguin,6
dessus,6
habitude,6
elever,6
nomme,6
abdominale,6
lent,6
naturellement,6
accouchement,6
environ,6
soulage,6
irrite,6
active,6
therapeutique,6
adherences,6
aigues,6
chapitre,6
eaux,6
quant,6
membrane,6
douces,6
cordon,6
surviennent,6
friction,6
connaissance,6
repete,6
trachee,6
faculte,6
aromatiques,6
contient,6
tions,6
groupes,6
idees,6
energie,6
effort,6
face,6
empeche,6
grands,6
contagieuse,6
naissance,6
actuellement,6
fortement,6
quelconque,6
attention,6
chose,6
doigt,6
diminuer,6
aujourd,6
infusions,6
diaphragme,6
figures,6
important,6
dentaire,6
abdominales,6
patience,6
extension,6
douce,6
cellules,6
soulagement,6
sexuelle,6
montrent,6
adultes,6
rapidement,6
noix,6
mamelon,6
douloureuse,6
terre,6
substances,6
meilleurs,6
legers,6
eruptions,6
courbe,6
frisson,6
matiere,6
durs,6
explique,6
anus,6
fontanelle,6
ovaire,6
amygdales,6
clystere,6
maigres,5
biscuits,5
digestif,5
crainte,5
rapport,5
conseillons,5
prolongee,5
importe,5
fort,5
appeler,5
diminuent,5
acuite,5
visuelle,5
sensible,5
adresser,5
education,5
siste,5
locale,5
perdre,5
impossible,5
changer,5
membranes,5
midi,5
sens,5
colonne,5
dirige,5
naturel,5
lequel,5
surmenage,5
intellectuel,5
mammaire,5
mauvaises,5
tension,5
medicale,5
connaitre,5
provoquees,5
ordinairement,5
disparaissent,5
suppression,5
evacuer,5
appliquera,5
vinaigre,5
oxyde,5
respirer,5
frictionner,5
sait,5
lumiere,5
provoquant,5
hypertrophie,5
fonctionnement,5
cede,5
contagieuses,5
prepares,5
avaler,5
remettre,5
porte,5
bouillante,5
ordre,5
bientot,5
plantes,5
placer,5
plat,5
rechauffer,5
causer,5
kephir,5
fruit,5
epaisses,5
libre,5
chute,5
cheveux,5
occupations,5
degenerescence,5
different,5
gravite,5
atrophie,5
respi,5
machoire,5
persistante,5
guere,5
moitie,5
restent,5
completement,5
desir,5
rechercher,5
aromatique,5
robustes,5
progres,5
particulierement,5
prevenir,5
embonpoint,5
nuisibles,5
formes,5
pulmonaires,5
gras,5
poudres,5
ensemble,5
sortir,5
frequents,5
maladifs,5
pose,5
amenent,5
lade,5
neanmoins,5
melange,5
irritables,5
dyspeptiques,5
stase,5
manifeste,5
causees,5
robes,5
perd,5
vintestin,5
flux,5
violent,5
vaction,5
accompagne,5
vives,5
liquides,5
calmants,5
ecorce,5
eczema,5
rendent,5
principal,5
lesquelles,5
desagreables,5
saines,5
genitaux,5
pouls,5
sion,5
scrofulose,5
nutritif,5
dues,5
sexuels,5
existence,5
suppurations,5
occasionner,5
mala,5
dies,5
catarrhes,5
congestion,5
derivation,5
rougeur,5
minerales,5
contiennent,5
prudent,5
excrements,5
indispensable,5
thoracique,5
differents,5
outre,5
donnant,5
caracterisee,5
lente,5
grosses,5
physico,5
soulager,5
porter,5
ordinaires,5
absolu,5
defauts,5
deplacement,5
sort,5
pessaires,5
petrissage,5
sage,5
manceuvres,5
vibrations,5
gauche,5
dangers,5
bande,5
exterieur,5
physiques,5
debiles,5
proscrit,5
exploration,5
intellectuelle,5
aide,5
jeunesse,5
incision,5
hommes,5
endroit,5
exterieure,5
etre,5
arrivent,5
pleine,5
incurable,5
enlever,5
allopathie,5
recommande,5
energiquement,5
bandage,5
suggestion,5
irri,5
notable,5
uriner,5
hydrotherapiques,5
excretions,5
crachats,5
nullement,5
utiles,5
appropriee,5
nouveau,5
symptome,5
tard,5
veritable,5
hemoptysie,5
peur,5
conserver,5
ceuvre,5
