Mot,Occurences
lait,153
bebe,150
enfant,111
mere,65
grammes,40
petit,33
dire,28
jour,27
donner,27
mois,25
premiere,23
poids,23
biberon,23
petite,22
pauvre,21
estomac,21
assez,20
heures,20
entre,19
contre,18
danger,18
nourrisson,18
premiers,18
nourrice,18
microbes,18
cependant,17
devient,17
mieux,17
nourriture,17
allaitement,17
annee,16
debile,16
exercices,16
celui,16
tres,16
ration,16
temps,15
medecin,15
eviter,15
jusqu,15
quantite,15
nourrir,15
chaleur,15
alimentation,15
possible,15
tetee,15
artificiel,15
dentition,15
vache,14
heure,14
maternel,14
couveuse,14
presque,14
peine,13
maladie,13
premier,13
vers,13
teter,13
jamais,13
froid,13
besoin,13
facon,13
seule,13
corps,13
sante,13
maman,13
vite,13
sevrage,13
seul,12
temperature,12
done,12
farine,12
expliquer,11
puis,11
nouveau,11
moyen,11
donne,11
nest,11
nourri,11
maladies,11
chaude,11
soin,11
gallica,11
jambes,11
vaccin,10
avee,10
rien,10
facile,10
trouve,10
contraire,10
regime,10
precautions,10
grand,10
abord,10
bouteille,10
rend,9
raison,9
soins,9
cause,9
huit,9
moyenne,9
berceau,9
couche,9
deja,9
force,9
aupres,9
faible,9
difficile,9
ensuite,9
donnera,9
dangereux,9
assurer,9
contenus,9
prendre,8
faite,8
grande,8
pres,8
pese,8
naissance,8
monde,8
petits,8
selon,8
autant,8
saura,8
boire,8
repas,8
garde,8
viande,8
systeme,8
voit,8
allaite,8
mixte,8
reutilisation,8
reste,8
aujourd,7
effet,7
bouillie,7
bouche,7
arrive,7
troubles,7
portant,7
jours,7
organisme,7
mauvais,7
mesure,7
bonne,7
regulierement,7
tient,7
sait,7
bain,7
venfant,7
source,7
nombre,7
necessaire,6
prend,6
tard,6
regle,6
appareil,6
digestif,6
organes,6
digestion,6
dant,6
heureusement,6
malade,6
faiblesse,6
beurre,6
quelquefois,6
bouilli,6
apres,6
autour,6
rendre,6
completement,6
chose,6
veut,6
femme,6
frais,6
puisqu,6
resultats,6
main,6
membres,6
germes,6
aider,6
passe,6
bout,6
tete,6
epreuve,5
voir,5
fort,5
augmente,5
permet,5
minutes,5
regler,5
accroissement,5
quil,5
conditions,5
role,5
mort,5
tache,5
suivre,5
aucun,5
bons,5
manque,5
surveiller,5
croissance,5
digerer,5
digere,5
montre,5
hygiene,5
fatigue,5
aliments,5
meilleur,5
aliment,5
entretien,5
dents,5
progressivement,5
dort,5
particulierement,5
compte,5
degres,5
protection,5
fera,5
pauvres,5
lorsque,5
appelle,5
tette,5
plusieurs,5
altere,5
sent,5
poisons,5
lutte,5
malheureusement,5
pourrait,5
heureux,5
lallaitement,5
absolument,5
longtemps,5
elevage,5
mettre,5
commencement,5
fant,5
bibliotheque,5
laisser,5
augmenter,5
suivant,5
bouillies,5
cing,5
droit,5
sterilise,5
rapide,5
vingt,5
budin,5
vaccination,4
cours,4
inoffensif,4
defend,4
bras,4
contagion,4
france,4
soigneusement,4
enfin,4
defaut,4
risques,4
balance,4
facilement,4
accroitre,4
tetees,4
usage,4
gastro,4
