Word,Count
douze,37
premiers,3
mois,154
bebe,73
fermez,3
rideaux,9
ouvrez,2
fenétre,4
permettrez,1
déyelopper,1
mons,3
petit,172
vers,81
lequel,15
tendront,1
désormais,7
efforts,3
espérances,3
joies,1
telle,35
installation,3
cité,2
nursery,2
élégante,5
ployant,1
nouveau,11
style,2
gracieux,3
approprié,3
coin,2
home,2
question,15
gout,6
sonnel,1
dépend,7
lemplacement,1
dispose,2
importe,7
retenir,5
local,2
salubre,1
propre,48
vhygiéne,2
facteur,3
important,3
santé,50
physique,38
enfant,399
mode,19
partir,20
deuxiéme,13
corps,96
aucun,39
soutien,4
exposer,4
mille,17
inconvénients,1
graves,4
laisser,35
liberté,7
absolue,8
mouvement,34
tard,42
bébé,202
essaiera,1
marcher,18
faudra,20
modifier,5
toilette,41
raccourcir,1
robe,18
jupon,14
remplacer,17
chaussons,2
souliers,2
cuir,7
souple,11
lieu,30
lange,39
porter,25
pantalons,1
toile,26
fine,17
tenu,9
grand,78
propreté,25
rester,17
longtemps,28
mouillé,4
done,69
nécessaire,53
couches,1
assez,60
nombre,28
douzaines,1
chambre,32
maintenue,5
pérature,2
réguliére,8
pourra,32
temps,83
jour,209
libre,24
suffisamment,4
couvert,10
prévenir,10
contre,64
froid,33
belle,33
saison,10
besoin,56
téte,46
couverte,4
cuance,1
part,28
fant,27
changé,4
disait,3
professeur,11
bouchut,2
normal,8
foule,6
arriver,18
etre,4
fréle,7
défense,8
nait,6
tance,7
suffisante,13
impressions,1
premiére,61
année,46
dure,11
passer,26
statistiques,1
néfastes,2
indiquent,5
hélas,2
combien,20
succombent,1
lutter,3
danger,47
prémunir,1
influences,1
morbides,1
préoccupation,1
maman,35
attente,1
préparer,13
apportera,2
soins,1
minutieux,2
assidus,1
tendres,1
layette,14
heures,3
utile,21
changer,14
ensuite,26
aussitét,5
éveillé,5
nourrisson,36
effet,23
salit,3
fréquemment,1
souillé,2
déterminerait,1
ulcérations,3
peau,68
soin,99
éviter,50
environ,26
tétée,57
repas,29
dance,1
endormir,3
empécher,19
moyenne,19
huit,13
neuf,6
abstenir,2
nuit,46
toutefois,7
exige,13
croyez,3
mesdames,3
difficile,33
rendre,25
detrés,1
bonne,71
heure,115
habitue,2
sitot,1
plusieurs,23
journée,15
coucher,23
tient,20
quelque,38
vase,8
jusqu,68
quil,38
soulagé,2
méthode,16
précieuse,5
points,1
lement,18
dormant,3
trouve,42
habitude,28
puisqu,11
contact,4
évite,3
salir,3
grande,85
quantité,30
linge,19
démailloté,1
lavé,10
froide,22
tiéde,11
hiver,25
atta,1
rind,1
lereke,1
vient,31
naitre,8
déposé,2
chaud,36
pansements,2
usage,107
terminés,1
donne,51
premier,136
bain,83
barn,1
enduire,1
légérement,12
vaseline,12
essuyer,4
soigneusement,11
plonger,7
faute,15
thermométre,3
évaluer,1
température,42
plongeant,3
coude,2
impression,5
ressentie,2
agréable,16
maintenu,5
moyen,88
doigts,3
main,54
gauche,8
placés,1
fourche,1
derriére,12
boule,6
ouate,11
hydrophile,13
formant,5
éponge,8
frictionnera,1
droite,11
durée,13
varie,11
cing,11
minutes,1
garder,12
possible,65
assis,5
bras,43
position,13
assise,2
colonne,13
vertébrale,13
incurve,1
presque,76
femme,324
entoure,8
jambes,2
haut,22
tronec,1
principes,2
mére,166
facilement,24
observe,3
agit,21
malheureusement,10
suivis,1
lorsqu,60
étrangére,4
promenades,2
mieux,101
vaut,10
petite,129
voiture,10
sant,5
coussins,2
poussée,3
derricre,1
maniére,37
promener,4
mauvaise,15
oubliez,2
dangereux,13
mettre,47
portée,8
chose,72
pourrait,21
peinte,1
couleurs,1
base,13
plomb,2
porte,24
emparer,2
saurait,16
surveiller,18
veillez,1
laine,24
décide,1
frangaise,4
opére,7
facon,43
suivante,6
commence,22
entrer,10
mise,12
brassiére,30
puis,85
procédé,18
commode,7
consiste,6
introduire,2
manche,13
sortir,22
nure,2
saisissant,1
tire,4
passée,10
retourne,2
fagon,18
descende,1
aine,2
place,23
couche,30
triangulaire,1
laquelle,20
enveloppe,5
contenter,4
longue,29
large,21
long,28
enroule,2
jambe,33
chacun,14
cotés,1
replie,3
arriére,8
mité,1
utilisée,1
remonter,2
aisselles,7
roule,3
autour,17
laissant,7
bout,33
fixe,11
épingles,1
nourrice,98
fichu,12
tissu,23
bonnet,8
indispensable,24
dite,14
pléte,1
bese,1
vétu,3
recevyoir,1
baiser,2
berceau,40
laissera,4
dormir,7
couché,8
séché,6
poudré,2
méticuleusement,1
plis,8
forment,3
essuyé,4
oreilles,7
pesé,3
poids,46
noté,1
progression,2
normale,13
établir,5
procéderons,1
nombril,2
lavage,22
bouillie,26
enveloppé,2
bande,12
ceinture,27
flanelle,36
attachée,2
épingle,12
plate,1
troitette,1
éctre,1
dement,3
abaisse,2
vétements,2
secs,3
irriter,1
pouvoir,17
oter,1
suivant,30
choisira,2
vieille,5
caise,1
américaine,7
derniére,17
cieuse,3
demande,14
surveillance,9
mobe,1
selon,19
vetements,2
coton,11
maniere,5
manie,3
jeunes,1
excusable,1
somme,10
couve,1
adore,2
