Mot,Occurences
enfant,78
bebe,63
mois,57
premiers,36
douze,31
lait,25
jour,24
mere,22
petit,18
allaitement,18
sein,16
bras,15
tetee,14
heure,13
bouche,13
nourrice,13
temps,12
berceau,12
donner,12
vers,11
puis,11
sommeil,11
yeux,11
gallica,11
sante,10
tete,10
premiere,10
jusqu,10
main,10
meres,10
biberon,10
medecin,10
respiration,10
enfants,10
yous,10
vite,10
grand,9
chambre,9
besoin,9
soins,9
premier,9
petite,9
bouillie,9
prendre,9
contenus,9
mode,8
deuxieme,8
corps,8
toilette,8
nourrisson,8
grande,8
bain,8
couche,8
jeune,8
hygiene,8
heures,8
geste,8
point,8
reutilisation,8
partir,7
laisser,7
contre,7
legerement,7
temperature,7
moyen,7
presque,7
surveiller,7
signes,7
chaude,7
source,7
bibliotheque,7
sevrage,7
nouveau,6
propre,6
mouvement,6
marcher,6
robe,6
lieu,6
porter,6
longtemps,6
layette,6
eveille,6
langes,6
peau,6
repas,6
huit,6
bonne,6
femme,6
jambes,6
facilement,6
mieux,6
mise,6
brassiere,6
flanelle,6
cote,6
tenir,6
seul,6
conseils,6
naissance,6
douleur,6
epanouissement,6
devant,6
necessaire,5
libre,5
maman,5
difficile,5
dessus,5
porte,5
longue,5
petits,5
faible,5
sang,5
crie,5
blanche,5
sens,5
naturel,5
lenfant,5
facile,5
celui,5
calme,5
forme,5
traits,5
joie,5
langage,5
droit,5
pouls,5
maladie,5
abord,5
teter,5
semaine,5
centimetres,5
paris,5
alimentation,5
jours,5
effort,5
lequel,4
efforts,4
question,4
tard,4
toile,4
proprete,4
rester,4
couches,4
assez,4
maintenue,4
froid,4
part,4
annee,4
passer,4
changer,4
ensuite,4
soin,4
environ,4
nuit,4
quil,4
methode,4
hiver,4
naitre,4
usage,4
donne,4
derriere,4
ouate,4
duree,4
cing,4
garder,4
position,4
entoure,4
mettre,4
portee,4
laine,4
facon,4
place,4
aisselles,4
laissant,4
poids,4
ceinture,4
pouvoir,4
americaine,4
tions,4
maternel,4
cependant,4
artificiel,4
amene,4
raison,4
circulation,4
voila,4
nour,4
rien,4
tion,4
mamans,4
nourriture,4
doux,4
chaleur,4
france,4
mouvements,4
souffrance,4
veut,4
agite,4
face,4
fort,4
entre,4
joues,4
sensations,4
force,4
cadre,4
commerciale,4
propriete,4
