Word,Count
douze,31
premiers,3
mois,57
bebe,25
fermez,3
rideaux,3
ouvrez,2
fenétre,3
permettrez,1
déyelopper,1
mons,1
petit,23
vers,11
lequel,4
tendront,1
désormais,2
efforts,3
espérances,1
joies,1
telle,3
installation,2
cité,2
nursery,1
élégante,1
ployant,1
nouveau,2
style,1
gracieux,2
approprié,1
coin,1
home,1
question,5
gout,4
sonnel,1
dépend,1
lemplacement,1
dispose,1
importe,2
retenir,2
local,1
salubre,1
propre,6
vhygiéne,2
facteur,1
important,1
santé,10
physique,4
enfant,49
mode,8
partir,7
deuxiéme,7
corps,8
aucun,2
soutien,2
exposer,1
mille,3
inconvénients,1
graves,3
laisser,7
liberté,1
absolue,2
mouvement,10
tard,4
bébé,37
essaiera,1
marcher,6
faudra,2
modifier,2
toilette,8
raccourcir,1
robe,6
jupon,1
remplacer,2
chaussons,2
souliers,1
cuir,1
souple,1
lieu,6
lange,9
porter,6
pantalons,1
toile,4
fine,3
tenu,2
grand,10
propreté,4
rester,4
longtemps,6
mouillé,2
done,3
nécessaire,7
couches,1
assez,4
nombre,2
douzaines,1
chambre,9
maintenue,4
pérature,1
réguliére,1
pourra,3
temps,12
jour,29
libre,6
suffisamment,1
couvert,2
prévenir,1
contre,7
froid,4
belle,3
saison,3
besoin,9
téte,10
couverte,1
cuance,1
part,4
fant,2
changé,1
disait,1
professeur,1
bouchut,1
normal,2
foule,3
arriver,1
etre,1
fréle,2
défense,1
nait,2
tance,2
suffisante,1
impressions,1
premiére,11
année,5
dure,1
passer,4
statistiques,1
néfastes,2
indiquent,2
hélas,1
combien,3
succombent,1
lutter,1
danger,3
prémunir,1
influences,1
morbides,1
préoccupation,1
maman,9
attente,1
préparer,1
apportera,1
soins,1
minutieux,1
assidus,1
tendres,1
layette,6
heures,3
utile,5
changer,4
ensuite,4
aussitét,1
éveillé,3
nourrisson,8
effet,2
salit,2
fréquemment,1
souillé,2
déterminerait,1
ulcérations,1
peau,6
soin,12
éviter,2
environ,4
tétée,12
repas,6
dance,1
endormir,3
empécher,2
moyenne,1
huit,4
neuf,3
abstenir,1
nuit,6
toutefois,1
exige,1
croyez,1
mesdames,3
difficile,6
rendre,2
detrés,1
bonne,9
heure,18
habitue,2
sitot,1
plusieurs,1
journée,3
coucher,3
tient,2
quelque,3
vase,1
jusqu,10
quil,4
soulagé,2
méthode,4
précieuse,2
points,1
lement,2
dormant,1
trouve,3
habitude,3
puisqu,1
contact,1
évite,1
salir,1
grande,9
quantité,2
linge,3
démailloté,1
lavé,1
froide,1
tiéde,4
hiver,4
atta,1
rind,1
