Mot,Occurences
enfant,156
lait,126
mois,55
bebe,42
biberon,36
donner,31
bouillie,31
allaitement,30
mere,30
puericulture,29
sein,29
livret,27
tetee,27
repas,26
jour,26
poids,26
heures,23
dents,22
petit,21
grammes,21
bain,21
premiere,20
sucre,19
sevrage,19
maman,19
sterilisation,18
alimentation,18
temps,18
corps,18
donne,18
nouveau,17
naissance,16
vache,16
questionnaire,16
lecon,16
nourriture,15
huit,15
jusqu,15
vers,14
suite,14
maladies,13
artificiel,13
premiers,13
mieux,13
assez,13
bout,13
peau,13
nourrisson,12
ensuite,12
diarrhee,12
farine,12
nuit,12
moment,11
apres,11
mettre,11
quantite,11
ration,11
eviter,11
mixte,11
tissu,11
gallica,11
absorbe,10
necessaire,10
jamais,10
pratique,10
semaine,10
lieu,10
lenfant,10
dessus,10
laisser,10
medecin,10
courbe,10
beurre,9
bonne,9
frais,9
main,9
cing,9
environ,9
cafe,9
seul,9
dentition,9
nourrice,9
coton,9
premier,9
contenus,9
tiede,8
reste,8
arrive,8
petites,8
soins,8
normal,8
femme,8
petite,8
general,8
estomac,8
lorsqu,8
troubles,8
digere,8
lorsque,8
heure,8
entre,8
maternel,8
secretion,8
tetees,8
temperature,8
laine,8
linge,8
yeux,8
jours,8
reutilisation,8
bouteilles,7
chaude,7
matin,7
legumes,7
essayer,7
puis,7
aliment,7
annee,7
viande,7
couper,7
suffit,7
puisse,7
petits,7
cependant,7
savoir,7
bouche,7
prendre,7
possible,7
particulier,7
lactee,7
vingt,7
bras,7
meubles,7
voiture,7
vieux,7
contre,7
caoutchouc,6
pourra,6
grande,6
tard,6
plusieurs,6
grandes,6
venfant,6
faible,6
accidents,6
legon,6
utile,6
procede,6
servir,6
partie,6
prend,6
propre,6
porte,6
jambes,6
tenir,6
supprimer,6
eponge,6
toile,6
couche,6
chaise,6
soigner,6
tete,6
source,6
chaud,6
conditions,6
maillot,6
teter,6
digestion,6
tampon,6
grand,6
maladie,6
soir,5
menu,5
bouillon,5
ceuf,5
abord,5
employer,5
puree,5
porter,5
travail,5
quart,5
morceau,5
cuilleree,5
cuiller,5
vite,5
moyen,5
donnees,5
rester,5
trouver,5
forme,5
inutile,5
ordinaire,5
marie,5
trouve,5
enlever,5
neuf,5
aliments,5
digestif,5
vigueur,5
sante,5
sevrer,5
longtemps,5
favorable,5
diminuer,5
melange,5
journee,5
sept,5
pare,5
place,5
froid,5
facile,5
biberons,5
ebullition,5
simple,5
atteint,5
horaire,5
corbeille,5
veut,5
presque,5
souffre,5
tient,5
bibliotheque,5
traitement,5
normale,5
qualites,5
pesee,5
crevasses,5
toilette,5
habiller,5
education,5
selles,5
constipation,5
obtenir,5
mouille,5
intestin,5
enfants,5
quoi,5
mains,5
laver,5
nourrir,5
remplace,4
steriliser,4
soin,4
nettoyage,4
panier,4
facon,4
jaune,4
chocolat,4
cause,4
terre,4
timbale,4
fruit,4
risque,4
caseine,4
diminue,4
facilement,4
dire,4
vaut,4
aujourd,4
coupe,4
suivant,4
manger,4
table,4
conserver,4
mange,4
large,4
meres,4
dant,4
dangereux,4
long,4
presente,4
condense,4
rien,4
signe,4
tation,4
permet,4
point,4
pratiquer,4
progressif,4
tube,4
intestinaux,4
action,4
complete,4
maternelle,4
devient,4
contraire,4
commencer,4
enfin,4
garder,4
pieds,4
importe,4
mouvements,4
fond,4
pris,4
sortir,4
bouillir,4
minutes,4
done,4
aide,4
refroidir,4
sinon,4
repos,4
sommeil,4
combien,4
microbes,4
moise,4
haute,4
commence,4
constitue,4
completement,4
thermometre,4
succion,4
precautions,4
raisons,4
hygiene,4
proprete,4
change,4
rougeole,4
mettant,4
belime,4
laugier,4
commerciale,4
propriete,4
document,4
cris,4
calme,4
fort,4
seule,4
symptomes,4
aucun,4
espacer,4
objets,4
afin,4
serie,4
brassieres,4
couches,4
culottes,4
construire,4
deuxieme,3
adultes,3
maniere,3
faite,3
ensemble,3
biscuit,3
qualite,3
bouil,3
blanc,3
coque,3
nutritive,3
certains,3
confiture,3
verts,3
voisine,3
