Mot,Occurences
enfant,56
mere,39
jeunes,33
femme,31
manuel,29
meres,24
lait,23
mois,17
temps,17
maniere,15
soins,15
sein,15
epoque,14
allaitement,14
donner,13
celles,12
grossesse,12
corps,12
couches,12
couche,12
tete,11
grande,11
moment,11
mieux,11
gallica,11
jusqu,10
vers,10
grand,9
jambes,9
premiere,9
enceinte,9
travail,9
organes,9
jeune,9
conseils,9
contenus,9
jamais,8
jours,8
premiers,8
moyen,8
usage,8
bras,8
celui,8
jour,8
pourrait,8
suites,8
source,8
reutilisation,8
accouchement,7
quelquefois,7
assez,7
aliments,7
sorte,7
nombre,7
femmes,7
maillot,7
partie,7
enfin,7
haut,6
accidents,6
simple,6
puisse,6
sante,6
nourriture,6
mettre,6
empecher,6
cependant,6
porte,6
reste,6
dire,6
legere,6
puis,6
quelque,6
dents,6
utile,6
sang,6
nouveau,6
chaude,6
soin,5
douleurs,5
estomac,5
regime,5
importance,5
abord,5
delivrance,5
alimentation,5
petit,5
tiede,5
ceinture,5
vient,5
possible,5
nuisible,5
eviter,5
ventre,5
pratiques,5
parties,5
tion,5
douleur,5
bibliotheque,5
petite,5
forme,5
flanelle,5
sevrage,5
contre,5
dentition,5
deja,4
periode,4
symptomes,4
frais,4
dessus,4
combien,4
suffit,4
regles,4
secours,4
convient,4
matieres,4
dirai,4
garder,4
efforts,4
laisser,4
experience,4
raison,4
pourra,4
peau,4
utiles,4
cris,4
faite,4
dangereuses,4
saurait,4
exposer,4
force,4
ensuite,4
mesure,4
mouvement,4
eleve,4
user,4
changer,4
boissons,4
deuxieme,4
generalement,4
bout,4
semaines,4
precautions,4
propre,4
expose,4
maladies,4
lieu,4
manches,4
langes,4
aliment,4
devient,4
entre,4
commerciale,4
propriete,4
document,4
conditions,4
robe,4
enfants,4
mixte,4
artificiel,4
dent,4
pied,3
personne,3
maux,3
rendre,3
pourraient,3
troubler,3
sage,3
rien,3
facheuses,3
remplir,3
presque,3
vent,3
parfois,3
chaleur,3
considerable,3
indispositions,3
paraissent,3
double,3
viens,3
besoins,3
foetus,3
volume,3
