Mot,Occurences
enfant,50
mere,27
maladie,25
plante,18
femme,13
grand,12
grande,11
gallica,11
mois,10
lait,9
sage,9
contenus,9
temps,8
famille,8
reutilisation,8
donner,7
combien,7
jeune,7
vers,7
femmes,6
yous,6
partie,6
jour,6
sein,6
seul,6
paris,6
plantes,6
bertin,6
enfance,6
petite,6
medecin,6
prendre,6
dentition,6
premier,5
corps,5
existence,5
filles,5
nourrice,5
sevrage,5
homme,5
france,5
quelque,5
nouveau,5
porte,5
herboriste,5
principe,5
herbier,5
trouve,5
quelquefois,5
usage,5
pratique,5
droit,5
source,5
soins,5
propriete,5
affection,5
coqueluche,5
jeunes,4
maternel,4
allaitement,4
pays,4
medecins,4
aliment,4
sante,4
alimentation,4
forme,4
public,4
nombre,4
contre,4
interet,4
general,4
science,4
presque,4
tard,4
reine,4
bouche,4
egard,4
commerciale,4
bibliotheque,4
document,4
grossesse,4
danger,4
plusieurs,4
naissance,4
contracter,4
syphilis,4
rougeole,4
toux,4
croup,4
intestinaux,4
muguet,4
dangereuse,3
mesure,3
plaire,3
lois,3
rien,3
inutile,3
pouvoir,3
mortalite,3
point,3
nourriture,3
part,3
voila,3
visage,3
entre,3
mieux,3
medecine,3
vient,3
medicinales,3
jours,3
vaccine,3
societe,3
extraits,3
possible,3
pharmacien,3
crois,3
varec,3
personnes,3
travail,3
exemple,3
rapport,3
fils,3
assez,3
lieux,3
therapeutique,3
cesse,3
mamelle,3
notice,3
education,3
reproductions,3
cadre,3
notamment,3
apres,3
produit,3
sens,3
utilisateur,3
conditions,3
utilisation,3
maniere,3
complete,3
principales,3
accouchement,3
premiers,3
berceau,3
force,3
sance,3
vaccination,3
developpe,3
semaines,3
rouges,3
epoque,3
laquelle,3
face,3
bonne,3
devoirs,2
ardeur,2
melange,2
maternite,2
belle,2
admirable,2
appelle,2
ensemble,2
remplir,2
organe,2
abandonne,2
desir,2
naturels,2
pris,2
vivre,2
prive,2
aliments,2
mort,2
personne,2
certaines,2
malheureuse,2
petits,2
beau,2
dire,2
parfois,2
prix,2
doute,2
chercher,2
trouver,2
nourri,2
annee,2
mains,2
nouvelle,2
pouvez,2
attache,2
naitre,2
proportions,2
yoila,2
eleve,2
faculte,2
ecole,2
pharmacie,2
seches,2
vertes,2
cours,2
medical,2
pension,2
enceintes,2
maladies,2
titulaire,2
dame,2
siege,2
renou,2
cock,2
rivoli,2
remplacer,2
centre,2
commune,2
simplement,2
guerir,2
contraire,2
matiere,2
rdle,2
aise,2
lire,2
veut,2
heure,2
devez,2
tombees,2
premiere,2
commun,2
deuxieme,2
bons,2
cation,2
engorgements,2
pourrais,2
passer,2
certain,2
plaisir,2
particulier,2
appelee,2
susceptible,2
haute,2
prudence,2
cigue,2
milieu,2
rendre,2
services,2
dose,2
espece,2
propose,2
etudes,2
ments,2
indigenes,2
ouvrages,2
dents,2
blanche,2
nourrir,2
convient,2
louis,2
acces,2
fievre,2
petit,2
appartenant,2
voir,2
nationale,2
alexandrine,2
auteur,2
suivi,2
juillet,2
1978,2
publication,2
academique,2
scientifique,2
respect,2
legislation,2
vigueur,2
mention,2
objet,2
licence,2
service,2
article,2
code,2
publiques,2
regime,2
partenaire,2
constitue,2
protegee,2
intellectuelle,2
presentes,2
prevue,2
avenue,2
orleans,2
suivie,2
instruction,2
proposait,2
haut,2
eleves,2
epidemie,2
prevenir,2
feetus,2
eviter,2
supprimer,2
derniers,2
terme,2
parait,2
fougere,2
effet,2
developpement,2
former,2
materielle,2
besoin,2
population,2
atteint,2
moyen,2
provient,2
prouve,2
ramollissement,2
meere,2
devoir,2
ture,2
pourrait,2
generalement,2
mortelle,2
fort,2
souffrance,2
faudrait,2
simple,2
prolonge,2
nais,2
preservatif,2
rachitisme,2
generale,2
principalement,2
difficile,2
contagieuse,2
manifeste,2
superieure,2
consequences,2
signes,2
pauvres,2
membrane,2
garcons,2
observe,2
epidemique,2
devient,2
gene,2
seconde,2
debute,2
yeux,2
humides,2
hereditaire,2
syphilitique,2
foetus,2
gencives,2
fruits,2
blanchatre,2
frequente,2
desire,1
adresse,1
imprudentes,1
avides,1
liberte,1
sacrifiez,1
seductions,1
menteuses,1
incompa,1
rables,1
jouissances,1
doux,1
esclavage,1
suffrages,1
recherchez,1
monde,1
prodigue,1
louanges,1
perfides,1
trompeuses,1
promesses,1
suivent,1
coupables,1
entrainements,1
vaut,1
sourire,1
ivresse,1
baisers,1
echu,1
partage,1
voyante,1
altributs,1
parure,1
prenez,1
garde,1
jamais,1
impunement,1
elude,1
machine,1
humain,1
role,1
activite,1
condition,1
mouvement,1
arrete,1
actions,1
nutritives,1
ralentissent,1
amoindrit,1
disparait,1
generations,1
futures,1
connaissez,1
charmer,1
obeir,1
irresistible,1
craignez,1
courir,1
faux,1
simulacres,1
vaines,1
amorces,1
mensonges,1
auquels,1
succedent,1
amers,1
lendemains,1
youlez,1
vraiment,1
transmettre,1
dons,1
recus,1
meme,1
medilez,1
paroles,1
sachez,1
georgie,1
eette,1
terre,1
classique,1
beaute,1
remplissent,1
pres,1
fallait,1
embrasse,1
essuye,1
larmes,1
puis,1
devenir,1
pauvre,1
artificiel,1
anticipe,1
prematurement,1
offerts,1
impuissants,1
germes,1
rapide,1
miserable,1
myslere,1
effrayante,1
signalee,1
contrees,1
frappe,1
particuligrement,1
desherites,1
victimes,1
rachetent,1
pens,1
sort,1
chinois,1
emouyoir,1
pitie,1
plait,1
sages,1
coup,1
complaisantes,1
faiblesses,1
puisse,1
jean,1
jacques,1
rousseau,1
ecrivait,1
acquierent,1
reputation,1
volontes,1
epargne,1
exemptes,1
sait,1
ouvrent,1
sources,1
nera,1
pleure,1
desormais,1
sauveur,1
presse,1
attend,1
presente,1
eclate,1
florissant,1
nourrisson,1
temoigne,1
ecoulee,1
devenue,1
crainte,1
deposer,1
cieux,1
fardeau,1
amies,1
redouter,1
puisqu,1
voild,1
choisir,1
conscience,1
tranquille,1
perira,1
sauve,1
liens,1
circulation,1
recoit,1
sang,1
prepares,1
intermediaire,1
receyoir,1
renferme,1
appropriee,1
convenables,1
elements,1
plets,1
excellence,1
suffit,1
convienne,1
dangereux,1
sachent,1
tpin,1
maitresse,1
professeur,1
regue,1
vhonneur,1
ouvrir,1
joindre,1
etablissement,1
boutique,1
droguerie,1
herboristerie,1
tient,1
bandages,1
genres,1
concerne,1
sangsues,1
halle,1
cabinet,1
consultations,1
dames,1
prend,1
egalement,1
pensionnairas,1
traitement,1
moderes,1
traite,1
facilites,1
paiement,1
charge,1
placement,1
enfants,1
saigne,1
transporte,1
domicile,1
classe,1
recue,1
membre,1
patronssse,1
protectrice,1
conus,1
maenan,1
37868,1
mautoe,1
afaris,1
voulu,1
etudier,1
plutot,1
diminuer,1
matitre,1
medi,1
cale,1
reduit,1
alcoolats,1
teintures,1
solutions,1
concentrees,1
essences,1
ceci,1
phar,1
maceutiquement,1
chimiquement,1
parlant,1
enfin,1
deplait,1
inusire,1
neglige,1
ville,1
loin,1
village,1
hameau,1
douzaine,1
maisons,1
presence,1
foret,1
bois,1
champ,1
trou,1
utile,1
croyez,1
therapeu,1
lique,1
concentres,1
puissent,1
action,1
application,1
organes,1
interieurement,1
opinion,1
assure,1
suivant,1
chlorophylle,1
verte,1
contenue,1
joue,1
bile,1
liqueurs,1
eaux,1
acres,1
descendre,1
permetire,1
expul,1
sion,1
resserre,1
entrainent,1
purement,1
contact,1
direct,1
etendrai,1
ecarterais,1
question,1
constamment,1
repondre,1
sachant,1
soigne,1
derniere,1
possedant,1
vieux,1
bouquins,1
siecle,1
demander,1
avis,1
citee,1
livre,1
repondrez,1
inusirz,1
croira,1
salut,1
fera,1
sacrifices,1
oblenir,1
lacroyance,1
sauver,1
second,1
lieu,1
considerer,1
inleret,1
vendez,1
argetn,1
oubli,1
anciens,1
faisaient,1
frequent,1
voyez,1
nostochinees,1
genre,1
nostoch,1
indique,1
anti,1
cancereux,1
ophthalmies,1
enflures,1
pieds,1
accroissement,1
cheveux,1
connaissent,1
