Mot,Occurences
enfant,505
malade,471
soins,268
sang,220
corps,209
peau,195
premiers,193
lait,190
maladie,171
temps,159
medecin,144
blesses,143
jour,135
donne,126
malades,122
tete,119
jusqu,118
heures,114
possible,113
point,112
bouche,111
liquide,111
moyen,107
solution,106
temperature,105
mals,104
puis,99
lorsque,98
fracture,98
eviter,96
jours,95
grammes,95
donner,94
blesse,93
bain,93
forme,91
cause,89
entre,89
grande,88
moment,88
lorsqu,86
enfants,86
main,85
membre,84
respiration,84
assez,83
petit,83
acide,83
contre,82
enfin,79
prendre,79
bebe,78
bras,78
jamais,76
place,76
petite,76
heure,76
pansement,74
linge,73
dire,72
reste,72
mort,72
grand,71
parfois,71
bout,69
devient,69
personnes,69
partie,69
rouge,69
couche,67
infantiles,66
chambre,66
celui,65
douleur,64
ouate,64
hygiene,64
froide,64
periode,63
vite,63
mieux,63
plusieurs,63
poudre,63
contact,62
petits,62
plaie,62
quelquefois,61
ensuite,61
selon,61
applique,60
agit,60
general,60
chaude,59
produit,59
plate,59
exemple,58
chaleur,58
laisse,58
sein,58
passe,57
seul,57
trouve,56
face,56
grave,56
mettre,55
premier,55
nourrice,55
minutes,54
graves,54
verre,54
froid,54
suite,54
litre,53
veut,53
prend,53
certains,52
quantite,52
prophylaxie,52
celles,52
besoin,52
soin,52
presque,51
tissus,51
fols,51
maladies,51
pres,50
vers,50
precautions,50
inflammation,49
mains,49
membres,49
facile,49
tion,49
bouillon,49
circulation,49
mere,48
cing,48
huile,48
provoquer,48
fievre,48
lair,48
done,47
environ,47
vetements,47
parfols,47
jaune,47
chaud,47
arrive,46
puls,46
laisser,46
passer,46
yeux,46
langue,46
microbe,46
parties,45
premiere,45
dela,45
laquelle,45
falt,45
sucre,45
melange,45
accidents,44
presence,44
cafe,44
mois,44
autant,44
viande,44
abord,44
dessus,43
sante,43
deja,43
repas,43
avee,43
rien,42
cdte,42
alimentation,42
terre,42
lave,42
sorte,42
appelle,42
pouls,42
mats,42
porte,42
fagon,42
estomac,42
soude,41
demi,41
cependant,41
ques,41
personne,41
atteint,41
alcool,40
rapidement,40
coup,40
procede,40
antiseptique,40
fatigue,39
quelquefols,39
aliments,39
employer,39
traitement,39
seule,38
muscles,38
etranger,38
compression,38
longtemps,38
nombre,38
lieu,38
plale,38
facilement,38
empecher,38
tuberculose,38
rougeole,38
long,37
nuit,37
usage,37
completement,37
propre,37
bandage,37
provoque,36
action,36
defaut,36
bonne,36
servir,36
glace,36
consiste,36
farine,36
mouvements,35
vomissements,35
nerveux,35
moyenne,35
autour,35
telle,35
afin,35
sert,35
forte,35
ajoute,35
desinfection,35
microbes,35
vent,34
degre,34
pratique,34
docteur,34
cete,34
pris,34
quelque,34
contagion,34
permet,34
bords,34
matin,33
fortement,33
trols,33
survient,33
femme,33
nomme,33
homme,33
gorge,33
difficile,33
arrete,32
appliquer,32
dents,32
simple,32
position,32
toux,32
accident,32
dtre,32
moyens,32
seconde,31
tissu,31
surface,31
enlever,31
tube,31
duree,30
nouveau,30
prepare,30
suffit,30
sommeil,30
rendre,30
matieres,30
arriver,30
certaines,30
avaler,30
effet,30
rapide,30
quinze,30
cuilleree,29
marche,29
bois,29
aujourd,29
petites,29
odeur,29
instruments,29
repos,28
mesure,28
compte,28
compresses,28
blen,28
vient,28
suppuration,28
aucune,28
flevre,28
pourrait,28
clle,28
region,28
frais,28
avolr,28
lumiere,28
pression,28
infection,28
aucun,28
allaitement,28
fort,27
porter,27
pain,27
generale,27
jeunes,27
empeche,27
rarement,27
tombe,27
boire,27
seche,27
brdlure,27
charbon,27
chose,27
fera,27
dangereux,27
falre,27
gros,27
commence,27
coqueluche,27
colonne,27
animaux,27
sulfate,27
syncope,27
germes,27
rend,26
bouillante,26
laine,26
complications,26
bains,26
bande,26
substance,26
maniere,26
tenir,26
telles,26
cours,26
gonflement,26
mouvement,26
grands,26
lequel,26
facon,26
indique,26
meilleur,26
deviennent,26
objets,26
vingt,26
dessous,26
montre,26
enleve,26
methode,26
sangsue,26
faisant,25
jambes,25
amener,25
soleil,25
attendant,25
annee,25
conditions,25
substances,25
doigts,25
verse,25
dure,25
force,25
vache,25
dolt,25
rencontre,25
drap,25
variole,25
soir,25
goutte,25
maintient,25
pouvoir,24
remplacer,24
intense,24
enfance,24
doigt,24
epiderme,24
fond,24
gene,24
dose,24
paratt,24
produire,24
generalement,24
visage,24
devenir,24
congestion,24
part,24
loin,24
voir,24
arreter,24
aide,24
organisme,24
ordinaire,24
bacille,24
gouttes,24
france,24
pourra,24
ferme,24
ventouse,24
travail,23
sent,23
divers,23
chaux,23
garde,23
diarrhee,23
pose,23
cris,23
troubles,23
presente,23
ventre,23
humide,23
effort,23
digestion,23
coupe,23
danger,23
agite,23
croup,23
eruption,23
mols,23
hemorragie,23
lesquels,23
proprete,23
laver,23
faible,23
coeur,23
droite,23
amene,22
legere,22
respirer,22
convulsions,22
vaut,22
sees,22
regime,22
intestin,22
developpement,22
efforts,22
citron,22
complication,22
contraire,22
vive,22
remplace,22
toile,22
interne,22
points,22
appareil,22
operation,22
peine,22
crise,22
large,22
serum,22
compose,22
huit,22
provoquent,22
plaic,22
poumons,22
obtient,22
limonade,22
quart,22
individu,22
hydrophile,22
compresse,22
savoir,21
jeux,21
muguet,21
celul,21
rester,21
sion,21
brusque,21
boissons,21
sortir,21
blessure,21
symptemes,21
vaisseaux,21
tard,21
tour,21
ments,21
suivant,21
furoncle,21
pieds,21
injections,21
chirurgien,21
pharynx,21
cuillere,21
preserver,21
levres,21
hiver,21
sirop,21
cheveux,21
pleds,21
fixe,21
famille,21
tampon,21
ecoulement,21
diverses,21
peste,21
artere,21
utile,20
guerison,20
complete,20
voit,20
evite,20
ether,20
brdlures,20
physique,20
soupe,20
apres,20
delire,20
oblige,20
risque,20
haut,20
tiede,20
continue,20
veau,20
obtenir,20
travers,20
emploie,20
enveloppe,20
necessaire,20
filles,20
meme,20
chute,20
fragments,20
effets,20
poison,20
urine,20
tantet,20
nent,20
prise,20
selles,20
douze,20
former,20
moustiques,20
poids,20
lade,20
existe,20
grandes,20
raison,20
frequente,20
sevrage,20
remarque,20
pure,20
augmente,20
directement,20
jeune,20
potasse,20
poitrine,20
cerveau,20
savon,20
animal,20
exercice,19
calme,19
mettant,19
deuxieme,19
pouvant,19
tions,19
sain,19
acces,19
conserver,19
poltrine,19
causes,19
produisent,19
abces,19
profonde,19
muqueuse,19
boriquee,19
trouver,19
cherche,19
consequent,19
godt,19
sort,19
membranes,19
fausse,19
influence,19
dernier,19
accompagne,19
scarlatine,19
sale,19
frold,19
compter,19
coton,19
rage,19
vaccin,19
bruit,18
larynx,18
bientet,18
sinapisme,18
application,18
sortes,18
agissent,18
adultes,18
detruire,18
affection,18
atteints,18
cholera,18
lente,18
gravite,18
produlre,18
tasse,18
penetrer,18
tisane,18
preparer,18
renferme,18
livre,18
elevee,18
brusquement,18
abondante,18
indispensable,18
couvre,18
siege,18
pulpe,18
ebullition,18
indications,18
libre,18
servent,18
feuilles,18
ouvrir,18
diphterie,18
employes,18
rare,18
garder,18
lement,18
preference,18
solide,18
lavement,18
immediatement,18
couvertures,18
guerir,17
forces,17
souffre,17
cons,17
degres,17
liquides,17
bouillie,17
poumon,17
maux,17
abri,17
cuillerees,17
contient,17
malgre,17
frequentes,17
cesse,17
ouvre,17
violent,17
rougeur,17
caoutchouc,17
cataplasmes,17
sept,17
forment,17
coude,17
sila,17
voles,17
nourrir,17
distance,17
angine,17
tement,17
muqueuses,17
courant,17
ceuf,17
niveau,17
mauvais,17
asphyxie,17
quinte,17
abdomen,17
differentes,17
mouille,17
purgatif,17
gangrene,17
serre,17
1000,17
plusteurs,17
parents,16
secondes,16
peur,16
solides,16
placer,16
tetee,16
chercher,16
penetre,16
externe,16
decoction,16
certain,16
bouillir,16
blanc,16
assurer,16
pasteur,16
