Word,Count
douze,97
premiers,3
mois,839
bebe,87
fermez,3
rideaux,51
ouvrez,2
fenétre,80
permettrez,2
déyelopper,2
mons,13
petit,876
vers,395
lequel,163
tendront,1
désormais,19
efforts,3
espérances,3
joies,1
telle,355
installation,19
cité,49
nursery,4
élégante,14
ployant,2
nouveau,103
style,8
gracieux,5
approprié,53
coin,30
home,6
question,340
gout,43
sonnel,8
dépend,87
lemplacement,1
dispose,20
importe,72
retenir,24
local,54
salubre,17
propre,284
vhygiéne,30
facteur,11
important,114
santé,501
physique,232
enfant,3437
mode,166
partir,108
deuxiéme,83
corps,816
aucun,239
soutien,15
exposer,45
mille,85
inconvénients,1
graves,4
laisser,279
liberté,53
absolue,80
mouvement,383
tard,228
bébé,401
essaiera,5
marcher,79
faudra,88
modifier,29
toilette,177
raccourcir,5
robe,190
jupon,44
remplacer,110
chaussons,2
souliers,2
cuir,64
souple,50
lieu,423
lange,207
porter,185
pantalons,2
toile,211
fine,82
tenu,64
grand,705
propreté,207
rester,103
longtemps,234
mouillé,65
done,342
nécessaire,526
couches,1
assez,530
nombre,432
douzaines,1
chambre,263
maintenue,25
pérature,13
réguliére,51
pourra,190
temps,89
jour,1318
libre,177
suffisamment,66
couvert,36
prévenir,49
contre,686
froid,372
belle,111
saison,69
besoin,435
téte,424
couverte,24
cuance,3
part,391
fant,213
changé,26
disait,30
professeur,107
bouchut,96
normal,137
foule,24
arriver,129
etre,19
fréle,13
défense,40
nait,20
tance,63
suffisante,87
impressions,1
premiére,463
année,350
dure,107
passer,174
statistiques,3
néfastes,2
indiquent,20
hélas,16
combien,134
succombent,14
lutter,67
danger,305
prémunir,4
influences,1
morbides,1
préoccupation,19
maman,96
attente,5
préparer,83
apportera,5
soins,1
minutieux,12
assidus,2
tendres,1
layette,68
heures,3
utile,244
changer,93
ensuite,263
aussitét,30
éveillé,18
nourrisson,319
effet,376
salit,9
fréquemment,83
souillé,29
déterminerait,2
ulcérations,3
peau,566
soin,970
éviter,363
environ,174
tétée,246
repas,307
dance,9
endormir,14
empécher,136
moyenne,123
huit,114
neuf,88
abstenir,30
nuit,270
toutefois,107
exige,64
croyez,4
mesdames,13
difficile,294
rendre,216
detrés,1
bonne,509
heure,916
habitue,14
sitot,10
plusieurs,310
journée,116
coucher,129
tient,142
quelque,304
vase,66
jusqu,483
quil,222
soulagé,3
méthode,135
précieuse,20
points,1
lement,117
dormant,6
trouve,415
habitude,219
puisqu,64
contact,192
évite,38
salir,10
grande,707
quantité,304
linge,311
démailloté,4
lavé,47
froide,219
tiéde,113
hiver,124
atta,4
rind,1
lereke,1
vient,211
naitre,44
déposé,31
chaud,240
pansements,2
usage,409
terminés,1
donne,374
premier,822
bain,493
barn,1
enduire,8
légérement,88
vaseline,42
essuyer,6
soigneusement,40
plonger,15
faute,88
thermométre,31
évaluer,2
température,298
plongeant,10
coude,56
impression,47
ressentie,5
agréable,84
maintenu,30
moyen,613
doigts,4
main,516
gauche,323
placés,1
fourche,1
derriére,63
boule,21
ouate,116
hydrophile,48
formant,33
éponge,51
frictionnera,2
droite,283
durée,147
varie,70
cing,190
minutes,1
garder,96
possible,525
assis,56
bras,349
position,175
assise,31
colonne,178
vertébrale,111
incurve,1
presque,420
femme,2402
entoure,35
jambes,2
haut,183
tronec,1
principes,2
mére,938
facilement,238
observe,59
agit,156
malheureusement,68
suivis,1
lorsqu,333
étrangére,42
promenades,2
mieux,581
vaut,118
petite,550
voiture,76
sant,61
coussins,2
poussée,32
derricre,1
maniére,282
promener,21
mauvaise,175
oubliez,6
dangereux,114
mettre,337
portée,86
chose,358
pourrait,178
peinte,1
couleurs,1
base,136
plomb,31
porte,235
emparer,2
saurait,96
surveiller,88
veillez,1
laine,197
décide,13
frangaise,32
opére,21
facon,317
suivante,100
commence,121
entrer,74
mise,88
brassiére,101
puis,462
procédé,127
commode,56
consiste,122
introduire,36
manche,63
sortir,109
nure,3
saisissant,1
tire,32
passée,28
retourne,15
fagon,145
descende,3
aine,13
place,294
couche,354
triangulaire,8
laquelle,254
enveloppe,75
contenter,27
longue,207
large,164
long,212
enroule,6
jambe,215
chacun,132
cotés,1
replie,9
arriére,105
mité,17
utilisée,17
remonter,19
aisselles,19
roule,8
autour,150
laissant,55
bout,294
fixe,78
épingles,1
nourrice,521
fichu,41
tissu,320
bonnet,82
indispensable,164
dite,101
pléte,14
bese,4
vétu,16
recevyoir,1
baiser,11
berceau,160
laissera,17
dormir,39
couché,59
séché,15
poudré,2
méticuleusement,1
plis,36
forment,79
essuyé,9
oreilles,7
pesé,7
poids,247
noté,4
progression,12
normale,196
établir,66
procéderons,1
nombril,15
lavage,121
bouillie,242
enveloppé,10
bande,130
ceinture,185
flanelle,154
attachée,13
épingle,65
plate,84
troitette,1
éctre,1
dement,15
abaisse,10
vétements,2
secs,58
irriter,10
pouvoir,176
oter,4
suivant,286
choisira,10
vieille,35
caise,3
américaine,25
derniére,153
cieuse,7
demande,122
surveillance,90
mobe,1
selon,267
vetements,73
coton,128
maniere,18
manie,20
jeunes,2
excusable,2
somme,113
couve,1
adore,2
charmant,4
tableau,32
jeune,989
peine,186
remise,15
tions,1
faible,225
puisant,2
amour,51
maternel,145
forces,1
soutenir,50
cieux,8
fardeau,10
laisse,155
dorloter,1
content,5
désire,28
lhabituez,2
cependant,405
monde,160
procéder,18
retourner,12
literie,31
donner,672
importance,144
horizontale,27
élevée,88
étendu,35
incliné,22
coté,90
voudra,13
prendre,481
saisir,29
fesses,11
tenir,227
porté,77
tantot,113
inconvénient,195
permettent,49
agir,71
contenterai,1
poser,51
allaitement,331
supérieur,76
tement,81
sein,528
biberon,306
appartient,45
insister,33
signes,4
guider,18
choix,138
ceci,70
laffaire,2
médecin,823
seul,378
capable,122
noncer,2
cause,1067
survyeillée,1
offre,62
mémes,187
avyantages,1
offrirait,4
laits,1
différencient,1
distance,61
présente,229
létre,7
débile,92
constante,27
vigilance,5
incessante,12
attention,113
minutieuse,8
minute,180
hésiterai,1
conseiller,36
exil,1
mercenaire,33
artificiel,126
voici,132
conseils,4
lits,109
oscillants,1
répandus,2
pieds,1
ripoliné,3
cuivre,26
rable,39
dort,31
bercer,11
certes,22
poétique,2
coutume,47
bercement,3
éveille,18
souvenir,27
légendes,1
contes,1
améne,98
lesprit,11
tableaux,12
jolis,1
tournant,8
rouet,1
chantonne,1
mélopée,2
douce,72
vaciller,2
rythmique,4
lent,41
endort,11
heélas,1
lvillusion,1
littérateurs,1
habituer,22
madame,42
malgré,161
joli,18
poéte,7
berca,1
chancelle,3
hygiénistes,4
défendent,9
raison,315
brusques,1
balancement,4
troublent,7
circulation,155
sang,594
provoquent,42
étourdissements,3
vertiges,14
arrétent,16
travail,403
digestion,186
sommeil,153
procurent,3
assure,33
engourdissement,6
morbide,27
restons,1
réalité,65
outre,129
nuisible,149
prise,135
perd,55
difficilement,44
créer,57
ennuis,1
insupportable,17
sujétion,1
penfant,26
crie,35
berce,2
lumiére,164
voila,83
agents,1
merveilleux,10
entretenir,51
développer,57
user,54
cimonie,1
mettrons,2
soleil,121
rayons,1
lune,37
fayorise,5
blanche,138
clarté,5
arrive,232
latéralement,19
loucher,7
naissance,237
sombre,22
diminuera,9
obscurité,11
graduellement,39
egalement,3
éyitera,2
bruits,1
violents,2
sens,187
protégés,2
louie,7
pureté,20
lair,214
pain,207
respiration,237
chaude,275
quinziéme,12
attendre,68
parfois,431
moment,461
absent,6
aérer,15
douillettement,1
ceau,14
courants,2
naturel,89
rice,32
mixte,90
nourri,104
samére,1
remplagante,1
hygiéne,540
entendu,74
premiersommeil,1
immédiatement,61
offrir,21
évident,25
rien,350
mier,41
cuillerées,1
café,188
sucrée,60
suffisent,28
largement,58
sila,49
nourrir,110
inutile,130
présenter,63
mamelon,91
montée,31
laiteuse,10
faite,186
mouvyements,1
succion,52
tifs,9
spontanés,1
glande,96
appel,18
tion,559
lactée,35
rare,247
lente,66
découragez,1
chéres,3
persévérez,1
continuez,2
tentatives,1
caoutchouc,62
recouverts,1
housses,1
feutre,28
complétera,5
rideau,16
tulle,14
destiné,73
préserver,81
mouches,26
glissait,2
oublier,56
pirer,5
épais,51
prive,13
garde,110
exempt,9
table,231
recouverte,12
marbre,5
blanc,132
posées,2
baignoire,23
balance,33
munie,35
corbeille,14
garnie,21
disposé,25
peser,36
lenfant,162
aussitot,40
laqué,4
blane,63
cuvette,14
double,146
vant,50
renfermer,11
ustensiles,34
usuels,1
poudre,189
maxima,2
chaise,59
basse,53
personne,616
soignant,10
enfin,388
pourvue,10
chauflage,8
moderne,45
bois,102
minée,10
dépassera,5
degrés,1
nourrit,41
énfant,2
vieil,5
adage,1
frangais,18
maxime,8
médicalement,7
yraie,1
naturellement,51
vraie,33
soucis,6
résultent,26
nourriture,215
quotidienne,36
veillées,1
nombreuses,50
précautions,2
infinies,3
récompense,8
satisfaction,18
immense,19
créature,8
ouvrant,15
yeux,225
inachevé,2
création,60
lorsque,420
ganes,1
commencent,32
fonctionner,16
dispensatrice,1
allaitant,5
existence,113
daine,3
affaires,1
chétive,10
yaste,1
claire,32
facile,331
placé,91
préférence,103
aupreés,3
celui,353
chargée,45
douillet,1
hygiénique,113
odeur,115
désagréable,51
procurera,2
paisible,6
doux,69
vivifiant,12
calme,97
chaleur,288
conyenable,8
garni,41
housse,7
étoffe,78
couleur,126
destinée,57
maintenir,75
matelas,35
balle,38
avoine,65
crin,36
celuien,1
cotiteux,8
oreiller,44
largeur,32
reposera,3
partie,773
rieure,37
craignent,9
déformations,2
tendance,63
absolument,157
plat,88
inclinée,13
confortable,16
respirer,67
complément,12
couverture,76
légére,169
édredon,14
duvet,29
dernier,208
férence,13
forme,546
sacs,12
source,185
bibliotheque,74
nationale,58
france,337
geste,19
ayoir,20
point,863
vyolonté,1
révéle,15
supreme,1
degré,239
égoiste,4
volontaire,21
gens,91
prétendent,22
melle,4
faculté,69
attitude,155
convenable,57
concluent,3
nullité,1
ladie,33
apparence,59
tort,75
evidemment,4
enserrez,1
étroitement,10
maillot,98
observer,67
recommandé,14
pitre,6
yous,45
pouvez,14
apprécier,23
trahissent,3
souffrance,59
organe,499
dentition,140
verrez,10
arcades,1
dentaires,1
dies,22
larynx,45
veut,218
séant,5
accés,67
dyspnée,8
tente,29
lever,59
instinctifs,2
indépendants,1
yolonté,8
arrachés,1
compte,189
apparente,42
cris,84
nuent,6
ecoutez,1
déshabillez,2
géne,102
pique,10
sait,130
puce,13
pénible,109
vite,190
malaise,67
disparait,29
guwil,1
fawt,1
écouter,4
altérations,1
timbre,12
endormi,10
soudain,4
agite,18
jette,28
prolongé,47
éveillée,3
penche,6
face,242
traits,10
contractent,16
sourcils,9
ferment,24
