Mot,Occurences
femme,5582
enfant,4582
lait,2392
hygiene,2240
temps,2216
sante,2195
point,2155
mere,2079
jour,1934
homme,1926
contre,1897
enfants,1870
corps,1852
dire,1727
peau,1627
grand,1479
entre,1398
sang,1375
femmes,1359
celui,1359
grande,1340
cause,1284
gymnastique,1282
mois,1211
maladie,1203
rien,1200
jamais,1198
partie,1190
maladies,1182
effet,1174
donne,1158
jusqu,1133
assez,1133
grossesse,1121
jours,1115
enfin,1104
medecin,1086
jeune,1082
tion,1065
nourrice,1064
nombre,1061
soins,1056
donner,1041
regime,1022
tete,1013
mieux,1000
traitement,995
bonne,976
usage,960
presque,959
moyen,953
vers,947
premier,941
travail,939
exercice,939
nouveau,938
fille,927
forme,926
prendre,925
lorsque,903
puis,899
quelque,889
action,889
organes,885
beaute,877
force,859
heure,858
premiere,850
besoin,839
influence,839
sein,826
petit,818
voir,810
lieu,803
apres,800
paris,798
reste,797
physique,790
done,790
cependant,787
autant,786
jeunes,782
sorte,777
raison,775
grammes,773
sexe,757
trouve,752
famille,752
quelquefois,752
lorsqu,748
medecine,747
general,741
maniere,740
celles,737
tres,735
fonctions,731
monde,730
moment,726
plusieurs,722
esprit,722
education,721
pratique,719
yeux,716
bain,714
fort,713
epoque,708
suite,702
part,698
seul,691
personnes,685
sens,685
systeme,684
moyens,677
malade,673
pres,668
conditions,668
dents,667
abord,662
amour,661
heures,657
deja,652
filles,645
allaitement,639
beau,638
quantite,634
chapitre,633
contraire,627
petite,625
meres,625
laquelle,623
produit,622
soin,621
docteur,620
ailleurs,618
parfois,610
repas,609
possible,605
vient,605
aucun,604
visage,603
causes,602
froid,601
bouche,600
chose,591
place,588
petits,585
main,583
mort,580
cours,580
cheveux,579
simple,577
chaleur,576
certains,575
exercices,572
eviter,572
porte,572
generale,567
bras,563
effets,560
loin,544
necessaire,543
essence,542
mouvement,541
suivant,539
livre,538
certaines,534
parties,533
marche,533
histoire,530
droit,529
regles,528
mariage,525
voit,524
devient,523
mettre,522
hommes,521
seule,520
aliments,518
pays,514
sait,514
telle,514
bains,513
doute,512
developpement,510
coeur,510
poudre,508
vingt,506
nerveux,503
teinture,501
quant,501
dela,499
certain,498
france,496
acide,495
rendre,494
matin,490
meme,488
peine,487
rapport,486
cing,484
mains,482
exemple,480
premiers,480
aucune,475
tions,473
facile,471
mesure,470
estomac,470
duree,470
propre,467
muscles,462
vent,461
poitrine,459
tard,459
nuit,459
selon,458
ensuite,458
utile,458
existe,457
societe,457
temperature,456
soir,455
medicale,455
ventre,455
coup,453
passe,451
accidents,450
affections,450
mouvements,448
semble,448
question,443
pris,442
yous,442
avee,442
longtemps,441
arrive,441
organe,441
graves,439
liquide,435
cafe,429
pieds,426
constitution,425
milieu,424
accouchement,422
repos,422
voila,418
agit,418
afin,416
grace,414
danger,414
sommeil,414
sexes,411
egalement,409
haut,409
forces,406
circulation,404
vrai,404
affection,404
douleur,403
combien,403
existence,403
rare,403
terre,402
caractere,402
mode,401
fievre,399
bout,397
science,396
musculaire,395
aujourd,394
conseils,392
memes,390
huit,387
methode,386
table,385
nourriture,385
degre,384
respiration,384
gouttes,382
huile,381
laisser,380
voici,380
base,379
prend,378
resultat,377
parmi,377
maternel,377
aide,374
genre,373
exces,372
grands,371
habitude,369
jacques,369
gens,369
veut,368
long,366
enfance,366
necessite,363
certaine,363
presente,363
diverses,362
animaux,362
devant,361
gros,361
lequel,360
formes,359
succes,359
morale,359
eleve,358
puisse,358
ordre,357
porter,356
parler,355
choses,355
douleurs,355
source,354
dangers,354
cesse,354
melange,351
pied,351
matrice,351
ques,350
fatigue,349
laisse,349
difficile,349
pourrait,348
dieu,348
outre,347
grave,346
periode,345
chaude,344
troubles,344
froide,343
dessus,343
savoir,343
voix,343
importance,342
nutrition,341
fonction,341
longue,340
quoi,340
proprete,339
parents,338
toilette,337
personne,337
tenir,337
facon,336
dent,335
dernier,335
face,334
membres,334
resultats,334
naissance,334
compte,334
espece,333
quil,330
ordinairement,329
convient,329
annee,328
saurait,327
medecins,327
pere,327
circonstances,327
condition,326
veritable,326
belle,324
application,324
gallica,324
faible,324
lair,324
passer,322
nouvelle,321
rend,321
alimentation,320
annees,320
volume,320
petites,318
facilement,318
sent,317
maison,316
alcool,315
moindre,315
activite,314
grandes,313
objet,313
pommade,312
divers,312
jeunesse,311
forte,310
habitudes,309
moral,307
contenus,307
sentiment,307
ouvrage,306
jeux,305
mari,305
poids,304
seconde,304
savon,303
ments,303
appareil,303
nourrir,303
sensibilite,302
pourra,302
demi,301
vite,301
guere,301
devoir,301
couche,300
siege,300
enceinte,300
tient,299
suffit,299
lois,298
ecole,297
travaux,297
presence,297
generalement,296
tissu,296
chacun,295
chaud,295
ordinaire,295
demande,295
bebe,295
tour,293
maux,292
viennent,292
choix,292
cete,292
naturelle,292
prix,292
rouge,291
soleil,291
sevrage,291
taille,290
