Mot,Occurences
fievre,117
domestique,85
malade,83
point,67
maladie,62
partie,53
petite,52
medecine,51
fans,50
fidvre,47
tems,46
corps,44
foit,42
quelquefois,41
fouvent,39
lorfque,38
jour,38
donner,38
traitement,37
gros,37
peau,36
quelque,34
fang,33
vers,33
enfans,32
tion,32
effet,31
moyen,31
humeurs,31
forte,31
verole,31
lieu,31
acces,31
auffi,30
froid,30
pouls,30
fievres,29
lorfqu,28
chaleur,28
dire,26
heures,26
inflammation,25
celui,24
moyens,24
matiere,24
donne,24
faignee,23
parties,23
caufe,23
fera,23
putride,23
maniere,22
differentes,22
dela,22
celles,21
efpece,21
purgatifs,21
ordinairement,20
caufes,20
demi,19
ainfi,19
forces,18
once,18
forme,18
tete,17
methode,17
boutons,17
remedes,17
foibleffe,17
voies,17
refpiration,17
dyffenterie,17
laquelle,16
anti,16
premier,16
paroit,16
jours,16
tartre,16
commence,16
boiffon,16
neceffaire,15
convient,15
grande,15
prendre,15
boiffons,15
duree,15
organes,15
ventre,15
fymptemes,15
periode,15
continue,15
gorge,15
cependant,15
faburre,15
livre,15
foie,15
fimple,14
affection,14
douleur,14
maladies,14
regime,14
differens,14
urines,14
emetique,14
certaine,14
rouge,14
felon,14
employer,14
petit,14
premieres,14
miafme,14
efquinancie,14
alimens,13
appelle,13
inoculation,13
jufqu,13
enfin,13
medecins,13
nitre,13
principe,13
utile,13
bilieufe,13
abord,12
fous,12
exige,12
fuite,12
grand,12
bile,12
fecond,12
vent,12
remede,12
objet,12
feroit,12
entre,12
inoculer,12
perfonnes,12
long,12
porte,12
depend,12
annonce,12
inflam,12
danger,12
google,12
peripneumonie,12
poitrine,12
langue,11
ufage,11
enfuite,11
puftules,11
variolique,11
fignes,11
caraetere,11
diminuer,11
troifieme,11
fujets,11
attaque,11
dure,11
cours,11
difpofition,11
propre,11
lavemens,11
acre,11
mation,11
humeur,11
mens,10
quant,10
degre,10
etre,10
plufieurs,10
difficile,10
operation,10
dofe,10
quarte,10
quinquina,10
general,10
tions,10
apres,10
inflamma,10
mouvemens,10
couleur,10
marche,10
fueur,10
fidvres,10
inflammatoire,10
taches,10
inteftins,10
vient,10
onces,10
decoetion,10
acides,10
termine,10
telle,9
contre,9
femble,9
quoique,9
avoit,9
dangereufe,9
matieres,9
tenir,9
premiere,9
vomir,9
vingt,9
grains,9
fort,9
produit,9
mauvais,9
capable,9
fuppuration,9
toux,9
vive,9
bouche,9
preparation,9
maligne,9
fleurs,9
chiendent,9
congeftion,9
recherche,9
poumons,9
donnera,9
melange,8
aufli,8
tumeur,8
diffolution,8
bras,8
poudre,8
peine,8
quantite,8
naturel,8
fymptomes,8
telles,8
prefente,8
fyfteme,8
yeux,8
devient,8
grain,8
quoi,8
inoculee,8
eruption,8
bientet,8
tantet,8
putridite,8
genre,8
puiffe,8
eprouve,8
liew,8
purgatif,8
voir,8
coup,8
efpeces,8
diftingue,8
generale,8
pourroit,8
infufion,8
demande,8
fueurs,8
nerveufe,8
droit,8
public,8
affecte,8
fiege,8
folides,7
hernie,7
place,7
opere,7
dernier,7
organe,7
purger,7
cuilleree,7
effentiel,7
memes,7
etoit,7
piqdures,7
avee,7
confequent,7
lequel,7
fecours,7
violent,7
applique,7
inflammations,7
certains,7
nerfs,7
graves,7
adultes,7
fympteme,7
ordinaire,7
diftinguer,7
enfant,7
accidens,7
delire,7
indiquer,7
rendre,7
intermittentes,7
extremites,7
tierce,7
force,7
parler,7
tique,7
quatrieme,7
vifage,7
chaud,7
foible,7
vinflammation,7
faifons,7
affections,7
libre,7
pays,7
jamais,7
regne,7
faifant,7
certain,7
reins,7
grave,7
catarrhe,7
france,7
ceffe,7
eftomac,7
envies,7
penible,7
vomiffement,7
felles,7
flux,7
manne,7
racine,7
qualite,7
douze,7
favorable,7
ouvrage,7
domaine,7
creme,7
tamarins,7
diaphragme,7
permettre,6
tacher,6
occafionne,6
bourfes,6
mettre,6
trouve,6
maticre,6
peur,6
inoculateurs,6
jaune,6
fruits,6
fymp,6
fortes,6
affez,6
emolliens,6
foin,6
cavite,6
faifon,6
legere,6
glandes,6
longue,6
doute,6
figvre,6
boire,6
marque,6
tres,6
evacuations,6
feche,6
individu,6
perfonne,6
fujet,6
adminiftrer,6
domine,6
joint,6
printems,6
angleterre,6
fondement,6
rapide,6
maux,6
redoutable,6
individus,6
gangrene,6
proftration,6
fucces,6
faudroit,6
conftitution,6
mois,6
pratique,6
grands,6
rien,6
fair,6
putrides,6
tome,6
propres,6
rend,6
remittente,6
veritable,6
pinte,6
flammation,6
bibliotheque,6
aucun,6
continues,6
venons,6
quit,6
tement,6
extreme,5
produire,5
chaude,5
dang,5
vapeur,5
fomentations,5
craindre,5
decine,5
fervir,5
pout,5
croit,5
paffe,5
tiennent,5
huit,5
femblable,5
dent,5
quin,5
venerienne,5
portent,5
mauvaife,5
quelqu,5
difpofes,5
type,5
recourir,5
bleffe,5
aucune,5
petat,5
connue,5
jambes,5
foient,5
loin,5
ligne,5
exigent,5
ulceres,5
change,5
rougeur,5
action,5
vaiffeaux,5
heure,5
mouvement,5
ordinaires,5
petits,5
feulement,5
avoient,5
prennent,5
traits,5
diffoudre,5
foins,5
funefte,5
deja,5
varier,5
medecin,5
nombre,5
tire,5
benigne,5
jeur,5
furface,5
friffon,5
pourra,5
mains,5
froide,5
fant,5
mort,5
fixe,5
chofes,5
divifer,5
caracteres,5
pres,5
bains,5
agit,5
fante,5
tour,5
feptieme,5
accompagnee,5
pouvoir,5
rouges,5
fues,5
progres,5
odeur,5
figne,5
meme,5
petites,5
fyrop,5
prochaine,5
intenfite,5
vinoculation,5
exemple,5
ranimer,5
blanc,5
noire,5
remiffion,5
diffiper,5
commencement,5
conviennent,5
regardent,5
