Mot,Occurences
enfant,255
lait,99
entretien,94
nourrice,82
mere,57
enfants,53
maladies,43
donner,42
medecin,40
mois,40
temps,39
femme,38
sante,38
figures,36
meres,35
regime,33
dentition,33
peau,31
bonne,30
vers,30
lenfant,29
allaitement,28
maladie,28
jour,27
dents,27
quelquefois,26
soins,25
cependant,23
sein,23
hygiene,22
done,22
simple,22
grande,22
annee,22
petit,21
assez,20
contraire,20
mieux,20
grand,20
sevrage,20
croup,20
monde,20
fort,19
premier,19
facon,19
froid,19
sirop,18
devra,18
prendre,18
nuit,18
affection,18
apres,17
heure,17
influence,17
contre,17
quil,17
jamais,17
dire,17
avee,17
yous,17
reste,17
tete,17
lallaitement,16
grossesse,16
pourra,16
affections,16
necessite,16
diarrhee,16
necessaire,16
cece,16
entre,15
paris,15
petits,15
cause,15
onzieme,15
jours,15
pratique,15
usage,15
cours,15
promenade,15
temperature,15
sommeil,15
alimentation,15
douzieme,15
celui,14
froide,14
difficile,14
tion,14
substances,14
raison,14
donne,14
liquide,14
moyens,14
circonstances,14
jeune,14
premiere,14
medecine,14
danger,14
groupe,14
gram,14
edition,14
legere,13
enfance,13
rien,13
lair,13
facile,13
methode,13
edit,13
artificiel,13
faudra,13
accident,12
constipation,12
nourrices,12
fonctions,12
rendre,12
rare,12
convient,12
premiers,12
matieres,12
bebe,12
grave,12
abord,12
examen,12
possible,12
aucun,12
voir,12
flanelle,12
suffit,11
cuilleree,11
importe,11
femmes,11
effet,11
bouche,11
cafe,11
jusqu,11
famille,11
nourrisson,11
mesure,11
nourrir,11
prix,11
nest,11
moyen,11
troisieme,11
chambre,11
corps,11
gallica,11
fievre,11
poudre,11
gorge,11
dent,11
meme,10
precautions,10
plusieurs,10
epoque,10
arrive,10
aucune,10
physique,10
demontre,10
heures,10
campagne,10
quoique,10
repas,10
poitrine,10
berceau,10
accidents,10
graves,10
maniere,10
autant,10
evolution,10
vent,10
produit,10
utile,10
bras,10
petite,10
acces,10
chaleur,10
douleur,9
deuxieme,9
mamelon,9
completement,9
conseille,9
pres,9
aliments,9
enfin,9
certaine,9
simples,9
chose,9
pieds,9
cing,9
medicament,9
dose,9
outre,9
malade,9
aliment,9
divers,9
bain,9
main,9
conditions,9
developpement,9
table,9
regles,9
exige,9
cinquieme,9
importance,9
point,9
personnes,9
parait,9
contenus,9
bains,9
faux,8
cons,8
lequel,8
devront,8
connaitre,8
ordinaire,8
symptomes,8
frequemment,8
sang,8
vrai,8
certains,8
maternel,8
mettre,8
legers,8
traite,8
naturelle,8
administrer,8
offre,8
prend,8
lieu,8
