Mot,Occurences
lait,142
enfant,83
nourrice,60
lactation,51
allaitement,45
femme,35
influence,35
mere,33
sein,31
nourrisson,28
troubles,26
enfin,23
sevrage,21
done,17
donne,17
durant,17
mois,16
quantite,15
cependant,15
mammaire,15
beurre,15
opinion,14
succion,14
regles,13
maladies,13
suivant,12
accidents,12
grossesse,12
moment,12
jours,12
regime,12
secretion,12
lactee,12
entre,11
allaite,11
qualite,11
telles,11
sante,11
fievre,11
gallica,11
malade,11
cite,10
alimentation,10
effet,10
tion,10
maladie,10
temps,9
celui,9
caseine,9
globules,9
riche,9
coloration,9
cause,9
sereux,9
fonctions,9
aucun,9
travail,9
contenus,9
evolution,9
auteur,8
ingesta,8
point,8
presente,8
celles,8
naissance,8
tions,8
autant,8
retour,8
vers,8
epoque,8
periode,8
cliniques,8
reutilisation,8
groupe,8
reste,7
swieten,7
rapport,7
trousseau,7
seeretion,7
dire,7
glande,7
observations,7
proprietes,7
fonction,7
acide,7
analyse,7
faits,7
nourrices,7
nouveau,7
colere,7
doute,7
meme,7
nour,7
acquises,7
existe,7
general,7
lenfant,7
fatigues,7
affections,7
physiques,7
moyen,7
produit,7
1873,7
loin,7
flux,6
auteurs,6
mouvements,6
diminution,6
cing,6
question,6
examen,6
aspect,6
suspension,6
nombre,6
altere,6
malgre,6
gestation,6
partie,6
eprouve,6
mamelon,6
certains,6
montre,6
prend,6
morbides,6
grand,6
montrent,6
dure,6
remarquer,6
agents,6
causes,6
desormeaux,6
considerations,6
bibliotheque,6
conditions,6
accident,6
hereditaire,6
gercures,6
absence,6
eloy,6
droit,6
galactorrhee,6
organisme,6
douleur,6
paris,6
organes,6
exemple,5
bouchut,5
fails,5
abord,5
sels,5
professeur,5
physiologiques,5
aliment,5
liquide,5
albumine,5
sang,5
developpement,5
forme,5
telle,5
contraire,5
odeur,5
qualites,5
devient,5
aliments,5
peligot,5
ailleurs,5
effets,5
cazeaux,5
stahl,5
donnent,5
alteration,5
possede,5
substances,5
entree,5
suite,5
graves,5
seule,5
raconte,5
lieu,5
medecins,5
favorable,5
abondante,5
digestifs,5
prendre,5
dict,5
colostrum,5
certain,5
parturition,5
lallaitement,5
femmes,5
passage,5
anterieures,5
hdpital,5
service,5
nommee,5
egalement,5
plomb,5
cuivre,5
troisieme,5
source,5
transmission,5
persistance,5
provoquer,5
charles,5
affection,5
puerperale,5
aucune,5
chimique,5
fissures,5
abondant,5
dents,5
aigues,5
heures,5
travaux,5
bras,5
caractere,5
excitation,5
arret,5
remarque,4
gendrin,4
continue,4
sexuel,4
facheuse,4
connu,4
impression,4
jusqu,4
croyons,4
relatifs,4
alimentaires,4
premiers,4
sucre,4
augmentation,4
conserve,4
matiere,4
chaleur,4
elements,4
normal,4
simon,4
joly,4
filhol,4
jamais,4
jour,4
saveur,4
saine,4
marasme,4
tombe,4
modifications,4
assurement,4
lactose,4
pratique,4
rapports,4
trouble,4
certaines,4
lacta,4
subit,4
animaux,4
nourrie,4
vegetal,4
hygiene,4
proscrire,4
donner,4
nourri,4
violentes,4
deja,4
emotions,4
sion,4
presence,4
atteinte,4
resume,4
observation,4
rapporte,4
usage,4
mesure,4
rices,4
lewald,4
traitement,4
dela,4
suppression,4
principes,4
traite,4
jacquemier,4
conclure,4
becquerel,4
haut,4
sait,4
pauvre,4
catamenial,4
parait,4
vrai,4
observer,4
folie,4
corps,4
circulation,4
nerveuse,4
influent,4
exercices,4
premature,4
excellent,4
necker,4
salle,4
sainte,4
quinze,4
avee,4
rapidement,4
solides,4
interet,4
continuer,4
phlegmons,4
etats,4
frequente,4
froid,4
engorgements,4
exces,4
syphilis,4
commerciale,4
propriete,4
document,4
avidile,4
tuberculeuse,4
brusque,4
sympathie,4
cours,4
deperissement,4
laquelle,4
obstacles,4
activite,4
necessaire,4
fait,4
regions,4
flexion,4
pression,4
faculte,4
vant,3
menstruel,3
lactis,3
union,3
anciens,3
premiere,3
enfance,3
violents,3
convulsifs,3
lion,3
inutile,3
agirait,3
violente,3
generale,3
acad,3
amene,3
derniere,3
composition,3
chimiques,3
celte,3
colostral,3
lorsque,3
complet,3
separe,3
butyreux,3
substance,3
fournit,3
chim,3
marchand,3
particuliere,3
suffit,3
robin,3
heure,3
varie,3
succions,3
probablement,3
impossible,3
condilions,3
bonne,3
faible,3
admet,3
serie,3
remplacer,3
recherches,3
mentation,3
opinions,3
henry,3
constitution,3
lail,3
linfluence,3
cites,3
majorite,3
hesitation,3
phenomenes,3
apres,3
donnant,3
rend,3
vaches,3
pays,3
alterent,3
therapeutique,3
vent,3
