Mot,Occurences
enfants,255
enfant,198
sante,188
petits,141
lait,108
regime,68
soins,66
prendre,66
femme,65
temps,63
jour,56
apres,55
donner,54
enpants,54
accidents,53
maladies,51
nourrice,51
grossesse,49
jusqu,49
mere,49
maladie,49
nouveau,46
sein,43
hygiene,43
vers,43
grande,42
lieu,42
soin,42
usage,41
celui,40
partie,39
bonne,39
dents,38
premiers,38
peau,38
assez,38
quelquefois,38
petit,38
corps,37
jamais,37
dentition,37
sommeil,36
exercice,36
venfant,35
premiere,35
importe,35
meres,34
medecin,34
sang,33
jours,33
heure,33
froid,33
danger,32
tete,32
donne,32
enfin,32
femmes,31
mieux,31
mois,31
bains,31
rien,31
moyens,30
tres,30
naissance,29
aliments,29
done,29
laisser,29
cause,29
education,28
convient,28
fievre,27
ventre,26
sevrage,25
sept,25
grand,25
nombre,25
proprete,24
moment,24
aucun,24
presque,24
lenfant,23
nest,23
fant,23
nouvelle,23
accouchee,23
lorsque,23
bouche,22
fants,22
constitution,22
vient,22
yeux,22
dire,22
diarrhee,22
causes,22
maniere,21
conditions,21
duree,21
afin,21
ordinaire,21
seconde,21
forme,21
tion,21
froide,21
contre,21
eviter,21
coucher,20
suite,20
physique,20
necessaire,20
vent,20
puisse,20
petite,20
viennent,20
principaux,20
qwil,20
table,19
dant,19
parents,19
bain,19
fort,19
quwil,19
vetements,19
chaleur,19
besoin,19
caractere,18
rendre,18
quelque,18
tenir,18
aucune,18
conservation,18
quil,18
forces,18
prevenir,17
maternel,17
nourrir,17
force,17
moyen,17
livre,17
boissons,17
quantite,17
poitrine,17
tard,17
croup,17
lion,17
seraine,17
autant,17
conseils,17
habitude,17
linge,17
allaitement,16
rachitisme,16
epoque,16
general,16
celles,16
amour,16
preceptes,16
seul,16
survient,16
pres,16
propre,16
devient,16
commence,16
porte,16
devra,16
nour,16
pourrait,16
rapport,15
avis,15
placer,15
regle,15
voir,15
raison,15
extreme,15
pieds,15
saurait,15
petites,15
influence,15
mettre,15
laquelle,15
certains,15
malade,15
avortement,14
nourrices,14
vallaitement,14
entre,14
puis,14
monde,14
quwils,14
science,14
couches,14
pratique,14
cours,14
plusieurs,14
huit,14
cerveau,14
chambre,14
personnes,14
douce,14
accouchement,14
enceinte,14
rougeole,14
jeunes,14
gene,14
penfant,14
cependant,14
bras,14
signes,13
milieu,13
sent,13
repas,13
ordinairement,13
grave,13
simple,13
toux,13
semaines,13
convulsions,13
docteur,13
familles,13
elre,13
sortie,13
constipation,13
quatrieme,13
famille,13
infusion,13
graves,13
presence,13
convenable,13
ordre,12
alimentaire,12
faiblesse,12
livres,12
chaude,12
point,12
fonctions,12
lair,12
loujours,12
dessus,12
vive,12
mariage,12
morale,12
survenir,12
paris,12
regles,12
rare,12
recours,12
trouve,12
travail,12
repos,12
ques,12
doux,12
temperature,12
produit,12
seuls,12
cordon,11
parmi,11
certaines,11
action,11
besoins,11
lions,11
donnes,11
jeune,11
douleurs,11
cing,11
nent,11
frequemment,11
place,11
preface,11
cote,11
vomissements,11
troisieme,11
auteur,11
verole,11
sens,11
bonnes,11
nourriture,11
arrive,11
precautions,11
avee,11
assurement,11
courir,11
quon,11
contraire,11
choses,11
dangers,11
offre,11
suffit,11
garde,11
lavements,11
facilement,11
precaution,11
ments,11
esprit,11
lacte,10
animaux,10
possible,10
mauvaise,10
mains,10
coqueluche,10
traitement,10
difficile,10
bruit,10
membres,10
prend,10
existe,10
plutarque,10
volume,10
gros,10
artificiel,10
inconvenients,10
necessite,10
lorsqu,10
seins,10
principales,10
ensuite,10
vingt,10
lage,10
peul,10
degre,10
dela,10
dormir,10
chercher,10
main,10
marcher,10
memes,10
developpement,10
porter,10
qwils,10
gallica,10
importance,10
toilette,9
deuxieme,9
berceau,9
section,9
abord,9
nuit,9
parties,9
paru,9
portee,9
pair,9
fera,9
chose,9
efforts,9
ordinaires,9
rhume,9
prtits,9
demi,9
prix,9
terme,9
saignee,9
combattre,9
lever,9
passer,9
velements,9
reclame,9
pourra,9
boire,9
decoction,9
pain,9
tient,9
couche,9
legere,9
ches,9
cris,9
lement,9
suivant,9
preserver,9
heures,9
reste,9
chauds,9
saison,9
qualites,9
deja,9
selles,9
voit,9
ajouter,9
position,9
seule,9
generale,9
contenus,9
matin,9
faudrait,9
empecher,9
accident,9
molaires,9
lallaitement,8
longtemps,8
source,8
complete,8
acquis,8
annees,8
gravite,8
mort,8
tions,8
observe,8
devenir,8
necessaires,8
louis,8
sage,8
utile,8
premieres,8
moindre,8
abondante,8
delivrance,8
cour,8
coliques,8
vache,8
procurer,8
veut,8
employer,8
fleurs,8
lequel,8
veille,8
nerveux,8
rement,8
laisse,8
cesse,8
vives,8
mouvement,8
rester,8
douleur,8
determiner,8
oreilles,8
bientot,8
eprouve,8
instant,8
saucerotte,8
trouble,8
guerir,8
vivre,8
reutilisation,8
grammes,8
prejuge,8
confiance,8
sangsues,7
lochies,7
lotions,7
gener,7
deformation,7
digestion,7
fortifier,7
faible,7
pense,7
delicatesse,7
instants,7
medicale,7
commode,7
contient,7
retour,7
face,7
lous,7
muqueuse,7
affections,7
amener,7
attention,7
voix,7
symptomes,7
affection,7
annoncent,7
rapidement,7
glandes,7
chaud,7
diverses,7
acces,7
lemps,7
sesse,7
etre,7
chapitre,7
organes,7
enceintes,7
defaut,7
salivation,7
quoi,7
cuapitre,7
cuaritre,7
scrofules,7
recourir,7
aliment,7
contribue,7
garder,7
lant,7
chaudement,7
sirop,7
premier,7
cafe,7
digestions,7
soleil,7
lout,7
presente,7
marche,7
sujets,7
prolongee,7
enfance,7
agit,7
ecoulement,7
outre,7
sion,7
mede,7
pusage,7
frais,7
mesure,7
beau,7
extrait,7
derniers,7
parfois,7
devant,7
estomac,7
matelas,7
forte,7
medicaments,7
vaccine,7
auxquels,7
chutes,7
organisation,7
lres,7
certain,7
droit,7
passe,7
tiede,7
plutot,7
quinze,7
nouv,7
soir,7
vhabitude,7
effet,7
maux,7
