Word,Count
hygiene,1058
miére,69
tribut,36
victimes,3
prélévent,1
année,428
vignorance,13
misére,136
derniéres,2
classes,12
société,438
servateur,1
croit,98
pays,352
civilisé,17
monde,560
étudie,14
moeurs,65
pauvres,2
bretagne,11
vendée,2
poitou,1
nivernais,1
sologne,1
lachampagne,1
vosges,3
intérét,280
done,522
guuvernemens,1
point,2029
participer,17
instruction,176
masses,3
populeuses,6
excentriques,3
fuser,2
premiers,2
moyens,1
sortir,107
gangue,2
abrutissement,2
enveloppe,96
siécles,2
gouvernans,2
celui,864
vernés,1
rarement,171
pouvoir,246
pattribuer,1
quelque,738
part,570
révolutions,3
peuple,261
vidée,15
participation,5
publique,251
fera,212
partielle,35
saura,29
quoique,165
disséminée,3
rien,867
empéchera,13
étendre,38
individu,211
temens,1
femmes,45
propres,3
défendre,59
contre,1130
sions,1
foule,201
agens,4
nuisibles,1
nicieux,4
impressions,2
pheriques,2
auxquelles,116
cesse,211
exposécs,1
nabitudes,1
parties,2
corps,120
téte,763
besoin,842
tement,137
velure,11
longue,352
mieux,752
fournie,13
hommes,3
semble,306
dire,878
vétement,323
naturel,229
suflisant,2
antiquités,1
greeques,2
romaines,2
représentent,32
couverte,47
nations,3
ciel,120
chaud,323
tempéré,25
frances,1
doute,383
emprunté,16
gaulois,16
portaient,19
coiffure,53
climat,215
habitudes,5
sité,33
moyen,1330
usage,639
veétirla,1
tage,66
laisse,200
loisir,25
réflexion,63
montre,121
active,176
tyrannique,11
malheureuses,2
grandes,1
douter,38
tances,2
morales,2
attribuer,32
rences,1
existent,48
santé,1584
tuelle,25
conditions,3
ordre,321
politique,60
paysannes,3
peine,413
suffire,39
soins,3
maison,289
obligées,1
acquérir,61
soutenir,98
avortemens,4
maladies,4
naissent,48
cause,1245
labeur,30
excessif,36
violences,1
extérieures,2
citadines,1
outre,256
accidens,42
tent,91
actions,1
mécaniques,1
trouvons,36
multitude,38
affections,8
organiques,3
insolites,5
nerveuses,1
dues,69
vations,1
prolongées,7
excés,204
genre,349
cominctions,1
vitables,3
fréquentes,3
grands,1
