Mot,Occurences
femme,1359
maladie,449
maladies,329
malade,308
medicale,301
quelquefois,300
histoire,287
matrice,283
cause,271
philosophique,269
sang,259
uterus,232
douleurs,213
presque,211
traitement,211
lorsque,206
temps,200
regles,199
point,194
douleur,188
enfin,188
organe,182
grand,176
moyen,171
partie,161
affection,160
usage,157
grossesse,156
engorgement,156
quelque,151
mois,148
grande,147
lieu,147
tion,146
plusieurs,143
moyens,142
nombre,138
assez,138
dire,137
corps,135
vers,135
jusqu,134
epoque,134
peau,132
hemorrhagie,131
organes,131
general,131
ordinairement,130
forme,128
bains,128
jours,128
saignee,127
symptemes,126
effet,124
medecin,124
siege,123
ecoulement,122
tumeur,117
causes,115
jour,115
malades,114
affections,114
accidents,113
docteur,111
entre,107
contre,107
lorsqu,107
devient,106
vagin,106
observe,103
acces,100
cependant,97
sorte,95
vingt,94
sante,94
donne,93
maniere,93
uterine,93
apres,93
vive,93
generale,92
liquide,91
celui,90
cancer,89
uterin,89
parties,89
fievre,89
volume,89
premier,88
vulve,88
abord,87
ventre,87
influence,86
face,86
existe,85
produit,85
voit,84
chaleur,84
degre,84
sensibilite,83
grave,81
succes,80
nerveux,80
celles,79
accouchement,79
jeune,79
circonstances,79
pouls,78
sentiment,77
eprouve,77
sein,76
autant,76
lait,76
deja,74
suppression,73
developpement,73
constitution,73
perte,73
premiere,73
contraire,72
cing,72
reste,72
huit,71
gene,70
quantite,70
systeme,70
flux,70
suite,70
action,69
membres,69
region,68
fonctions,68
signes,67
tete,67
regime,67
suivant,67
laquelle,67
heures,67
chronique,67
aucune,66
professeur,66
bras,66
fort,66
froide,66
boissons,65
presente,65
squirrhe,64
longtemps,64
marche,64
cessation,64
enfant,63
tres,63
certain,63
inflammation,63
jeunes,62
ailleurs,62
jamais,61
mort,61
puis,61
recours,61
guerison,61
aucun,61
meme,61
phenomenes,61
tissu,60
porte,60
ordinaire,60
pourrait,60
grammes,60
seul,59
menstruation,59
vives,58
repos,58
injections,58
rien,57
duree,57
trouve,57
moment,57
considerable,57
dose,57
bouche,57
urine,57
raison,57
froid,57
graves,56
mouvement,56
travail,56
tantet,56
lisfranc,56
coup,56
donner,55
espece,55
eaux,55
placenta,55
legere,54
exces,54
dame,53
fille,53
bassin,53
cuisses,53
couleur,53
tions,53
exercice,53
rare,52
pres,52
parait,52
filles,52
produire,52
amour,52
simple,52
possible,51
semble,51
temperament,51
emploi,51
observation,51
homme,51
vient,51
facile,50
manifeste,50
ensuite,50
pression,50
choree,50
interne,50
forces,50
madame,50
douloureux,50
frequemment,50
mieux,49
personnes,49
difficile,49
rouge,49
hysterie,49
faiblesse,49
telle,48
rectum,48
extreme,48
plethore,48
estomac,48
effets,48
esprit,48
rendre,48
force,48
propres,48
presence,48
nerveuse,48
cesse,48
quoique,48
