Mot,Occurences
femme,152
enfant,75
grossesse,63
mere,40
enceinte,36
femmes,33
lait,27
mois,26
nourrice,25
usage,23
effet,21
influence,21
assez,20
celles,19
enceintes,19
sein,19
dire,18
temps,17
cause,16
autant,16
moyens,16
convient,16
celui,16
medecin,16
tres,16
maniere,15
personnes,14
apres,14
cependant,14
partie,14
accouchement,13
point,13
gestation,13
quantite,12
lieu,12
conception,12
regles,12
donner,12
plusieurs,12
constitution,11
fort,11
jamais,11
jusqu,11
jours,11
organes,11
grande,11
jeune,11
gallica,11
enfants,10
grand,10
emploi,10
entre,10
donne,10
lois,10
produit,10
facile,10
fonctions,10
suite,10
moindre,10
vers,10
choix,10
corps,10
quelquefois,10
exercice,10
esprit,10
lesquelles,9
hygiene,9
rapport,9
lorsqu,9
premiers,9
telle,9
qualites,9
aliments,9
systeme,9
possible,9
soins,9
mettre,9
secretion,9
docteur,9
moral,9
contenus,9
general,9
necessaire,9
voir,9
jour,8
action,8
grosse,8
force,8
grosses,8
moment,8
temperature,8
sante,8
faits,8
generalement,8
prendre,8
temperament,8
enfin,8
allaitement,8
done,8
dame,8
recours,8
porte,8
reutilisation,8
certaines,7
avortements,7
froid,7
bains,7
nerveuses,7
acide,7
contraire,7
personne,7
peine,7
mamelles,7
monde,7
eviter,7
raison,7
nuisible,7
mieux,7
vetements,7
part,7
causes,7
maladies,7
avortement,7
source,7
homme,7
epoque,7
certain,7
foetus,7
avantage,7
rien,7
modifications,7
tard,7
societe,7
sang,7
suivant,7
experience,7
boissons,7
gros,6
nombre,6
accidents,6
couches,6
agents,6
carbonique,6
pression,6
yeux,6
paris,6
beau,6
coup,6
afin,6
grands,6
reste,6
matrice,6
condition,6
campagne,6
pris,6
moyen,6
developpement,6
organe,6
pratique,6
reglee,6
arrive,6
circonstances,6
nourrir,6
observation,6
physique,6
regime,6
fonction,6
exemples,6
petit,6
tache,6
amour,6
teter,6
anciens,5
travail,5
divers,5
etat,5
parmi,5
propre,5
contre,5
medicale,5
droit,5
pays,5
vient,5
cite,5
exemple,5
ailleurs,5
ouvrage,5
economie,5
effets,5
importe,5
genre,5
objet,5
deja,5
derniers,5
uterus,5
ventre,5
egalement,5
maux,5
dents,5
caractere,5
laquelle,5
urine,5
coeur,5
habitude,5
dela,5
nouveau,5
observations,5
legerement,5
gene,5
marseille,5
histoire,5
eprouve,5
bibliotheque,5
remarquable,5
bonne,5
beaute,5
fille,5
auteur,5
propriete,5
conditions,5
tion,5
abord,5
laiteuse,5
plaisirs,5
trouve,5
completement,5
naissance,5
sommeil,5
puberte,5
heures,5
medecine,5
mention,4
sesse,4
ture,4
nuisibles,4
humide,4
rendre,4
negliger,4
saurait,4
egale,4
heure,4
filles,4
devra,4
montrer,4
mort,4
passer,4
periode,4
concu,4
puisse,4
amener,4
lieux,4
nombreuses,4
quelque,4
medecins,4
accouchements,4
presque,4
fixer,4
attention,4
exerce,4
digestion,4
voila,4
quoique,4
duree,4
existe,4
premieres,4
comprendre,4
semblables,4
devront,4
jouir,4
abri,4
devons,4
parler,4
inconvenient,4
medical,4
portait,4
pres,4
combien,4
croire,4
besoins,4
dernieres,4
journee,4
besoin,4
abdomen,4
substances,4
parfois,4
rapporte,4
mari,4
cadre,4
pourra,4
ordinaire,4
existence,4
hippocrate,4
utile,4
sait,4
expose,4
ordinairement,4
gout,4
conviennent,4
gonfle,4
porter,4
vrai,4
faible,4
ceinture,4
france,4
avan,4
convenable,4
foule,4
prouve,4
belle,4
pouvoir,4
traits,4
fraissines,4
considerations,4
commerciale,4
sens,4
document,4
exige,4
vessie,4
offrir,4
hommes,4
parents,4
idees,4
conformation,4
nombreux,4
semble,4
maternel,4
accouche,4
vive,4
repos,4
lorsque,4
emotion,4
impression,4
nour,4
roussel,4
crainte,4
profondes,4
greles,3
manque,3
sollicitude,3
phenomenes,3
atmosphere,3
lair,3
accoucheurs,3
sujets,3
opposer,3
saignee,3
avantageux,3
exhale,3
menstrues,3
anprat,3
trouvait,3
mauvais,3
rome,3
espagne,3
placees,3
signes,3
cent,3
eprouvent,3
auxquelles,3
exhalation,3
facilement,3
charbon,3
terre,3
mauriceau,3
chambre,3
medicales,3
froide,3
seche,3
tendent,3
employer,3
calorique,3
humides,3
capuron,3
uterines,3
nuit,3
efforts,3
unes,3
provoquer,3
instant,3
ville,3
aupres,3
larges,3
eprouver,3
variations,3
vicissitudes,3
chaud,3
precaution,3
affections,3
dumas,3
conserver,3
grace,3
constitue,3
remarque,3
salle,3
aujourd,3
choisir,3
petits,3
noirs,3
travaux,3
diverses,3
soutenir,3
penibles,3
ajouter,3
digestives,3
sujettes,3
devient,3
susceptible,3
annees,3
eloigne,3
premier,3
terme,3
saison,3
seul,3
varier,3
lymphatique,3
acte,3
tete,3
ensuite,3
couleur,3
prend,3
seins,3
prescrit,3
estomac,3
libre,3
haut,3
puissante,3
fortement,3
conseils,3
sorte,3
dangers,3
chercher,3
important,3
presente,3
distingue,3
flux,3
neuf,3
memes,3
appetit,3
observer,3
precedemment,3
supporter,3
mets,3
retirer,3
voit,3
voiture,3
naturel,3
huit,3
meilleure,3
habituee,3
placer,3
fatigue,3
parfaitement,3
etranger,3
craintes,3
cher,3
peinture,3
glace,3
consequences,3
vent,3
malgre,3
reproductions,3
respect,3
vigueur,3
notamment,3
service,3
article,3
utilisateur,3
utilisation,3
dispositions,3
quant,3
exercee,3
permet,3
perte,3
fruit,3
tableau,3
prouver,3
germe,3
dant,3
freres,3
paraissent,3
rencontre,3
pensee,3
vain,3
demi,3
vert,3
soin,3
ricin,3
succes,3
rapports,3
sexuels,3
desirs,3
doute,3
empreinte,3
appui,3
opinion,3
journal,3
admettre,3
envie,3
plutet,3
electricite,3
large,3
endroit,3
delicates,3
croyance,3
doux,3
nourrisson,3
essayer,3
abondant,3
fermes,3
nourriture,3
reclame,3
libraires,3
fruits,3
joie,3
bruit,3
sensibilite,3
nourrit,3
liquide,3
allaite,3
generale,3
agir,3
livre,3
imprime,3
donnent,2
vivent,2
modernes,2
provoquaient,2
irregularite,2
lenteur,2
difficulte,2
exempt,2
exces,2
chaleur,2
humidite,2
constitues,2
dernier,2
majorite,2
laborieux,2
peritonite,2
puerperale,2
fournit,2
employes,2
application,2
emol,2
irritables,2
plethoriques,2
moderer,2
considerable,2
demontrent,2
embrassements,2
lycurgue,2
citoyens,2
severite,2
faisait,2
viandes,2
dues,2
detourner,2
laisser,2
magistrats,2
chemin,2
oblige,2
amende,2
moreau,2
toucher,2
proprietes,2
dessous,2
soixante,2
conscience,2
sentiment,2
justifier,2
desir,2
endroits,2
elevee,2
vicie,2
cephalalgies,2
oppression,2
bals,2
eprouva,2
parle,2
atmospherique,2
savent,2
essen,2
tiellement,2
apprecier,2
certaine,2
labo,2
rieux,2
abon,2
semaines,2
hygieniques,2
chapitre,2
ments,2
forces,2
interieur,2
jeter,2
produisant,2
contraires,2
peau,2
utiles,2
constitutions,2
atmospheriques,2
croyons,2
arreter,2
suffire,2
conduite,2
soustraire,2
modificateurs,2
rester,2
voisinage,2
respiration,2
insalubre,2
lavortement,2
cherche,2
intemperies,2
saisons,2
pudeur,2
actions,2
perdent,2
redoubler,2
dence,2
terne,2
capables,2
habitation,2
emprunte,2
lequel,2
voulons,2
outre,2
determiner,2
membres,2
provoque,2
facheux,2
rigueur,2
rechercher,2
cuisses,2
vice,2
impressions,2
facheuses,2
suffit,2
rappeler,2
juger,2
prudence,2
redouter,2
trouvent,2
sain,2
apprend,2
remplir,2
cours,2
public,2
avortaient,2
charge,2
graves,2
atteintes,2
assura,2
aerees,2
talite,2
vons,2
fumigations,2
traite,2
milieu,2
venus,2
conseil,2
consequence,2
ceintures,2
serrees,2
gener,2
bandage,2
particulier,2
entraine,2
parois,2
designe,2
exposees,2
douleurs,2
commencement,2
mauvaises,2
nourrices,2
inferieure,2
pretend,2
pouls,2
observe,2
signe,2
abondante,2
facultes,2
maient,2
penchant,2
pellicule,2
scientifiques,2
assurer,2
precise,2
aphorismes,2
printemps,2
accouchent,2
ceder,2
moderement,2
vant,2
texture,2
rigidite,2
bassin,2
raconte,2
violent,2
troisieme,2
mamelon,2
cheveux,2
quia,2
derniere,2
vigoureux,2
accroissement,2
circulation,2
pourraient,2
tort,2
machine,2
extre,2
developper,2
dangereux,2
disposition,2
sible,2
erreurs,2
moitie,2
avis,2
neglige,2
continue,2
mode,2
exciter,2
continuellement,2
exercent,2
empire,2
quoiqu,2
matin,2
viennent,2
taches,2
continuer,2
puissent,2
dieu,2
ecoulement,2
deviennent,2
mariee,2
portant,2
cing,2
nationale,2
accident,2
usant,2
eminemment,2
nutritives,2
indique,2
dissiper,2
plethorique,2
capable,2
diminue,2
degout,2
exigent,2
toutefois,2
tances,2
imprimees,2
agissent,2
fasse,2
espece,2
menville,2
fatigant,2
grandes,2
secousses,2
voyages,2
livrent,2
executer,2
vouloir,2
lidee,2
plein,2
sion,2
bouche,2
connait,2
auxquels,2
previent,2
ressentent,2
facilite,2
kettoce,2
trouva,2
pren,2
voulu,2
trans,2
angelique,2
pere,2
facon,2
familles,2
imagination,2
