Mot,Occurences
enfant,49
maladie,15
medecin,15
donner,14
femme,14
jour,13
enfin,13
mere,12
heure,12
maladies,12
fievre,11
temps,11
cause,11
gallica,11
apres,10
vers,10
lait,10
enfants,10
soin,9
conception,9
soins,9
grossesse,9
accouchement,9
contre,9
malade,9
grande,9
mois,9
mortalite,9
contenus,9
chapitre,8
mort,8
puis,8
prendre,8
moyens,8
reutilisation,8
tete,7
lorsque,7
grand,7
dents,7
sommeil,7
jamais,7
parents,7
presence,7
accidents,7
sevrage,6
sein,6
corps,6
cordon,6
point,6
lieu,6
symptomes,6
moment,6
regime,6
eviter,6
diarrhee,6
petit,6
fera,6
instruction,6
commerciale,6
naissance,5
jusqu,5
respiration,5
mouvement,5
partie,5
poitrine,5
graves,5
croup,5
peau,5
douleur,5
aucun,5
homme,5
usage,5
tres,5
sante,5
bout,5
chose,5
lorsqu,5
nourrice,5
affections,5
ventre,5
suite,5
froide,5
conditions,5
source,5
bibliotheque,5
charles,5
propriete,5
epoux,5
laisser,4
lair,4
instant,4
perdre,4
maniere,4
abattement,4
toux,4
chaleur,4
fecondation,4
blanches,4
causes,4
duree,4
exercice,4
repos,4
autant,4
jours,4
afin,4
avis,4
aucune,4
matiere,4
passe,4
premiere,4
poison,4
administrer,4
epoque,4
vives,4
sortie,4
facile,4
partir,4
demi,4
tantot,4
place,4
long,4
linge,4
trouve,4
accouchee,4
aliments,4
funeste,4
opposer,4
indigestion,4
prevenir,4
document,4
droit,4
constitution,4
germe,4
quelquefois,3
levres,3
rouge,3
saigner,3
venfant,3
ensuite,3
promptement,3
dire,3
veut,3
mettre,3
frissons,3
gorge,3
nuit,3
attend,3
tard,3
rhume,3
face,3
traitee,3
phthisie,3
intervention,3
celui,3
acte,3
animaux,3
science,3
mesure,3
supprimer,3
nombre,3
resultat,3
abord,3
temperature,3
regne,3
contraire,3
possible,3
meres,3
quelque,3
tendance,3
effet,3
obtenir,3
allaitement,3
forte,3
laquelle,3
pain,3
eruption,3
lever,3
consequence,3
reconnaitre,3
cuillerees,3
dentition,3
douleurs,3
survenir,3
sain,3
ments,3
produit,3
servir,3
premieres,3
laisse,3
libre,3
reste,3
parmi,3
ecoulement,3
tient,3
devoir,3
constitue,3
doucet,3
chambre,3
personnes,3
vetement,3
chemise,3
coton,3
absolu,3
respecter,3
tristesse,3
pertes,3
conse,3
preceptes,3
plaie,3
leger,3
diete,3
viandes,3
sang,3
morales,3
vetements,3
populaire,3
1873,3
reproductions,3
cadre,3
notamment,3
utilisateur,3
utilisation,3
marseille,3
jeunes,3
atteints,3
infirme,3
virus,3
arrive,2
yeux,2
langue,2
taches,2
contient,2
aussitot,2
coupe,2
serviettes,2
chaudes,2
toilette,2
langes,2
ombilical,2
toile,2
poudre,2
vais,2
description,2
symptemes,2
suivants,2
legers,2
gonflement,2
ordinairement,2
petites,2
trouvent,2
lassitude,2
agitation,2
appetit,2
soif,2
gene,2
apparition,2
cdte,2
membre,2
atteint,2
angine,2
febrile,2
conjurer,2
efforts,2
circonstances,2
fatales,2
famille,2
interet,2
physique,2
blancs,2
noires,2
retrouve,2
longue,2
erreur,2
possibilite,2
termine,2
hygienique,2
exces,2
froid,2
frequemment,2
bains,2
animal,2
cafe,2
liqueurs,2
amene,2
favorable,2
survient,2
serieuses,2
cesse,2
aspect,2
verite,2
regarder,2
plaques,2
annee,2
voisine,2
conseils,2
quant,2
medications,2
rationnelles,2
observent,2
nombreux,2
choisis,2
nourrisson,2
miellee,2
donnera,2
intestins,2
choisir,2
procurer,2
chevre,2
vient,2
mamelle,2
emploiera,2
teter,2
regler,2
premiers,2
abondant,2
qualite,2
seule,2
nourriture,2
dies,2
important,2
surveiller,2
signaler,2
perte,2
rougeole,2
petite,2
verole,2
gens,2
entre,2
typhoide,2
vomissements,2
membres,2
oreilles,2
comprendre,2
centigrammes,2
emetique,2
periode,2
double,2
emotions,2
desquelles,2
funestes,2
calme,2
minutes,2
conforme,2
allier,2
intelligence,2
viande,2
rougie,2
proprete,2
croutes,2
necessaire,2
garder,2
lage,2
graduellement,2
bras,2
existence,2
dormir,2
gros,2
presque,2
milieu,2
remarque,2
renvois,2
foule,2
grosses,2
vomisse,2
empresser,2
toniques,2
gravite,2
coureurs,2
certaine,2
particulier,2
manifeste,2
recourir,2
verse,2
cons,2
affranchir,2
suivis,2
certain,2
position,2
uterus,2
deja,2
amoindries,2
danger,2
larrivee,2
chacun,2
aeree,2
tranquille,2
douce,2
aupres,2
veux,2
gener,2
bonnet,2
flanelle,2
travers,2
table,2
chaude,2
bons,2
objet,2
occasionner,2
bruit,2
desordre,2
delivre,2
rester,2
hemorrhagie,2
couchee,2
silence,2
draps,2
pouvoir,2
changes,2
infusions,2
teur,2
arrete,2
quence,2
attendant,2
haut,2
visiteurs,2
commeres,2
relativement,2
heures,2
prealable,2
coupures,2
entorse,2
compresses,2
camphre,2
conduit,2
legeres,2
resultats,2
simple,2
estomac,2
grave,2
acces,2
surveillance,2
suivant,2
prise,2
seul,2
avortement,2
action,2
diverses,2
done,2
nationale,2
france,2
auteur,2
juillet,2
1978,2
publication,2
academique,2
scientifique,2
respect,2
legislation,2
vigueur,2
mention,2
telle,2
licence,2
service,2
sens,2
article,2
code,2
publiques,2
partenaire,2
intellectuelle,2
presentes,2
prevue,2
pays,2
dispositions,2
docteur,2
chevalier,2
legion,2
honneur,2
degenerescence,2
noms,2
naitre,2
pratique,2
unes,2
certaines,2
travail,2
jusque,2
ladies,2
montrent,2
malaise,2
pere,2
sance,2
fonctions,2
boissons,2
voir,2
hommes,2
certificat,2
part,2
entraine,2
souffrance,2
grandes,2
propre,2
coucher,2
jeune,2
transmettent,2
etres,2
menages,2
economie,2
infirmites,2
futur,2
sortant,1
presente,1
apparente,1
lire,1
gonflees,1
bleues,1
saillants,1
injectes,1
collee,1
palais,1
superieure,1
bleudtres,1
bouffissures,1
couper,1
debarrasser,1
arriere,1
bouche,1
mucosites,1
etablit,1
lave,1
nettoie,1
servant,1
jaune,1
ceuf,1
preferable,1
lhuile,1
olive,1
enveloppe,1
procede,1
prenant,1
serrer,1
sujettir,1
panse,1
enve,1
loppant,1
morceau,1
ceratee,1
renverse,1
cete,1
gauche,1
comprimer,1
foie,1
chtite,1
pansera,1
amidon,1
lyco,1
pode,1
pieces,1
habillement,1
serrees,1
compression,1
pouvant,1
acci,1
principaux,1
auxquels,1
reconnaitra,1
atteintes,1
lesquelles,1
intervenir,1
efficace,1
meurtriere,1
contagieuse,1
debute,1
enchifrenement,1
violent,1
notable,1
loureux,1
glandes,1
choire,1
marquee,1
frequente,1
dechiree,1
douloureuse,1
appartiennent,1
confirme,1
appeler,1
dure,1
accompagne,1
demalde_,1
points,1
pdleur,1
essoufflement,1
palpitations,1
bruyante,1
oppression,1
immeediatement,1
abandonnee,1
terminer,1
formation,1
germes,1
tubercules,1
developperont,1
voile,1
cbservent,1
familles,1
couenneuse,1
insidieuse,1
alarmant,1
deglutition,1
peuintense,1
leeger,1
grossesses,1
anormales,1
rapportes,1
troubles,1
invoquer,1
puissante,1
signalees,1
bonheur,1
dela,1
societe,1
precieux,1
concours,1
regeneration,1
perfec,1
tionner,1
reproduction,1
consacres,1
ison,1
patriarche,1
jacob,1
ecriture,1
faisait,1
brebis,1
moutons,1
noirs,1
mettant,1
baguettes,1
eleveurs,1
modernes,1
transforment,1
races,1
anciennes,1
creent,1
nouvelles,1
main,1
intelligente,1
liorant,1
developpant,1
perfectionnant,1
especes,1
songe,1
considerant,1
fecon,1
dation,1
lequel,1
influence,1
aujourd,1
sterilite,1
decouvertes,1
creer,1
yolonte,1
sexes,1
commence,1
certitude,1
enceinte,1
veaux,1
devoirs,1
imposes,1
suivre,1
rapport,1
premu,1
changements,1
brusques,1
renouveler,1
appartement,1
corset,1
tiedes,1
composer,1
repas,1
mets,1
varies,1
tires,1
vegetal,1
epices,1
renoncer,1
excitantes,1
modere,1
bals,1
thedtres,1
voyages,1
gues,1
courses,1
voiture,1
equitation,1
regulariser,1
heuresde,1
suspendre,1
momentanement,1
profession,1
mener,1
tran,1
quille,1
exempte,1
passions,1
change,1
fatigants,1
inspirer,1
inquietudes,1
primer,1
amoindrir,1
loule,1
indisposition,1
relentissement,1
peine,1
sensible,1
apparaissent,1
membranes,1
fond,1
habituer,1
venir,1
apercoivent,1
insolite,1
blanchatres,1
ulcerations,1
emporte,1
milliers,1
provient,1
approprie,1
entendus,1
troisitme,1
inconcevable,1
faiblesse,1
medicamentent,1
appele,1
pauvre,1
epuise,1
offre,1
ressource,1
dcit,1
tntestinaux,1
attribuer,1
indis,1
positions,1
nadmett,1
quetres,1
rarement,1
unique,1
excrements,1
conclure,1
existent,1
distinguer,1
difficile,1
vermifuges,1
administre,1
restent,1
vent,1
appelle,1
ascaride,1
lombricoide,1
reconnaissable,1
nourrir,1
nourrit,1
attevdant,1
sirop,1
chicoree,1
grammes,1
evacuation,1
meco,1
nium,1
brunatre,1
accumulee,1
attendre,1
maternel,1
cependant,1
impossibilite,1
absolue,1
saine,1
constituee,1
recours,1
femelles,1
facilite,1
dresse,1
presenter,1
attachement,1
susceptible,1
contracter,1
defaut,1
moyen,1
allai,1
tement,1
artificiel,1
boire,1
biberon,1
vache,1
anesse,1
decoction,1
orge,1
avoine,1
panee,1
nera,1
satiete,1
ilfaut,1
tetera,1
bonwe,1
suffire,1
dari,1
dohner,1
esau,1
panades,1
eclaircies,1
ayee,1
evyifer,1
bouillies,1
brundtres,1
vins,1
disseminees,1
partout,1
attentivement,1
cote,1
malheur,1
meconnu,1
sauve,1
scarlatine,1
presentent,1
difficiles,1
percevoir,1
monde,1
doutes,1
memes,1
legere,1
muqueuse,1
debut,1
arreter,1
diminuer,1
tensite,1
voici,1
caracteres,1
stupeur,1
ballonnement,1
stche,1
rugueuse,1
delire,1
bourdonnements,1
saignement,1
suffiront,1
intelligentes,1
empoisonnement,1
evacuer,1
vomitif,1
proportionne,1
attendra,1
renseigne,1
pourra,1
neen,1
enema,1
infusion,1
medicament,1
provoquer,1
orageuse,1
eprouvent,1
devront,1
digerer,1
excitants,1
eviteront,1
fatigues,1
insomnie,1
feront,1
impossible,1
exposer,1
acquiert,1
proprietes,1
connait,1
histoire,1
voyant,1
mari,1
prises,1
mili,1
taire,1
intervint,1
defendre,1
apparence,1
alla,1
reprendre,1
feta,1
quitter,1
mamelon,1
aller,1
masse,1
inerte,1
subtil,1
regles,1
hygieniques,1
pelees,1
arrivera,1
encombre,1
variable,1
depend,1
rien,1
fixe,1
impor,1
sevrer,1
seize,1
mitres,1
onchoisira,1
saison,1
printemps,1
automne,1
menager,1
transition,1
getal,1
huit,1
bouillon,1
potage,1
trempee,1
sucree,1
douze,1
premiteres,1
fixer,1
attention,1
lavage,1
tidien,1
compris,1
outre,1
peignee,1
brossee,1
disparaitre,1
espece,1
insecte,1
prejuge,1
croire,1
vermine,1
secher,1
linges,1
souilles,1
urine,1
veau,1
contenter,1
essuyer,1
salis,1
laver,1
tiede,1
melee,1
promenades,1
augmentant,1
jambes,1
porter,1
tantet,1
aussitet,1
mouvoir,1
couverture,1
surveillant,1
rouler,1
essayer,1
meubles,1
semaines,1
yacciner,1
entourant,1
operation,1
precautions,1
desirables,1
dort,1
amuser,1
distraire,1
promenadesa,1
2ans,1
environ,1
ressemble,1
terre,1
voayure,1
vermiculaire,1
millimetres,1
tricho,1
cephale,1
centimetres,1
