Word,Count
hygiene,106
miére,5
tribut,3
victimes,3
prélévent,1
année,13
vignorance,3
misére,8
derniéres,2
classes,12
société,14
servateur,1
croit,5
pays,28
civilisé,2
monde,29
étudie,4
moeurs,8
pauvres,2
bretagne,2
vendée,1
poitou,1
nivernais,1
sologne,1
lachampagne,1
vosges,1
intérét,9
done,22
guuvernemens,1
point,163
participer,4
instruction,6
masses,3
populeuses,1
excentriques,2
fuser,1
premiers,2
moyens,1
sortir,3
gangue,2
abrutissement,1
enveloppe,9
siécles,2
gouvernans,2
celui,36
vernés,1
rarement,18
pouvoir,9
pattribuer,1
quelque,20
part,32
révolutions,3
peuple,30
vidée,2
participation,1
publique,10
fera,10
partielle,7
saura,2
quoique,19
disséminée,1
rien,39
empéchera,2
étendre,2
individu,18
temens,1
femmes,44
propres,3
défendre,1
contre,97
sions,1
foule,10
agens,3
nuisibles,1
nicieux,1
impressions,2
pheriques,1
auxquelles,12
cesse,13
exposécs,1
nabitudes,1
parties,2
corps,118
téte,73
besoin,42
tement,3
velure,3
longue,17
mieux,38
fournie,2
hommes,3
semble,14
dire,67
vétement,15
naturel,15
suflisant,1
antiquités,1
greeques,2
romaines,2
représentent,3
couverte,6
nations,3
ciel,8
chaud,30
tempéré,3
frances,1
doute,2
emprunté,2
gaulois,6
portaient,4
coiffure,13
climat,14
habitudes,5
sité,3
moyen,60
usage,50
veétirla,1
tage,2
laisse,17
loisir,1
réflexion,4
montre,4
active,12
tyrannique,2
malheureuses,2
grandes,1
douter,3
tances,2
morales,2
attribuer,3
rences,1
existent,2
santé,72
tuelle,1
conditions,3
ordre,17
politique,5
paysannes,3
peine,10
suffire,1
soins,3
maison,13
obligées,1
acquérir,6
soutenir,3
avortemens,2
maladies,4
naissent,5
cause,92
labeur,2
excessif,3
violences,1
extérieures,2
citadines,1
outre,21
accidens,7
tent,7
actions,1
mécaniques,1
trouvons,9
multitude,6
affections,8
organiques,3
insolites,1
nerveuses,1
dues,4
vations,1
prolongées,7
excés,13
genre,15
cominctions,1
vitables,1
fréquentes,3
grands,1
theatres,1
affliveant,1
philanthrope,1
voir,32
circonstances,1
devraient,3
exempter,1
certaines,3
lions,2
nulle,2
prises,1
ration,6
cependant,30
celles,39
avancées,1
grossesse,16
pouvaient,2
chies,1
porter,14
fardeaux,1
rudes,1
travaux,9
champs,2
gués,1
nombre,39
suit,4
constamment,12
cours,6
saisons,5
exigent,4
yité,1
ignorante,2
pagnes,1
produiraient,1
ques,12
avis,5
sages,2
pourraient,2
donner,26
personnes,7
éclairées,2
profitables,1
petit,32
effet,58
partout,7
priser,3
malheureuse,6
esse,1
fruit,11
travail,26
culera,1
impunément,1
livrer,4
position,8
trouve,26
source,18
existait,1
abandonné,2
tion,64
lorsque,28
modes,1
italie,10
duisirent,1
france,21
conquéte,2
naples,6
tard,9
facheuse,3
intronisation,1
medicis,1
ensuite,23
devinrent,2
chevelure,52
véritables,1
caricatures,2
beaux,11
ornemens,1
aide,11
frisure,5
poudre,97
transformé,2
ridicule,8
faudage,1
néanmoins,12
conserva,2
mode,29
jusqu,58
tourmente,1
tionnaire,1
veulent,5
marquer,1
existence,15
térent,1
tutus,1
prirent,1
mesure,12
propreté,32
police,1
militaire,3
savons,8
souffert,4
sacrifice,2
égard,18
arrive,8
sidérement,1
tondre,1
foreé,1
wadmettre,1
titus,2
lana,1
famille,8
localité,4
contrées,5
malgré,10
obstacles,1
oposeront,1
centralisant,1
institutions,3
réseryant,1
pole,1
enfin,30
pourra,10
empécher,7
membres,2
quer,5
reconnaitre,11
importance,15
individuelle,4
rénovation,1
opérera,1
lentement,3
progrés,9
certains,2
affermis,1
circonstance,12
soumises,2
sujettes,5
sortes,1
ajoutons,2
coiffeur,4
précieux,8
coquetterie,12
dommages,2
dames,12
blanchir,3
tems,20
loin,23
nates,1
jolies,2
choses,1
véritable,13
facheux,3
vrai,20
nattes,1
tirailler,1
cheveux,134
pincer,1
fers,4
brilans,1
suivies,3
sion,13
grand,68
organes,6
changement,13
apprécié,2
imconvéniens,1
presser,2
papillotes,2
répétée,9
jours,7
perdre,8
rell,1
puss,1
peele,1
ovsess,1
vetemens,2
abstiendrons,1
parler,27
changemens,7
yétemens,1
ages,6
variations,7
qwils,2
subissent,6
formes,1
parmi,26
modernes,4
grecque,5
romains,11
république,1
miers,1
rois,3
franes,2
lhabillement,1
simple,24
recouvrait,1
aaah,1
allt,1
cron,1
went,1
aime,9
hehe,1
yahi,1
justs,1
these,1
atthe,1
tenth,1
ogvlqee,1
deeb,1
ghaeens,1
laryst,1
rece,1
vets,1
them,1
exempte,1
sounises,1
repris,2
faveur,8
longs,1
deyenus,1
aujourd,20
peigne,12
michalons,1
normandins,1
plaisirs,1
célébrités,1
cirrigeriennes,1
principaux,13
attributs,3
toilette,27
inconvéniens,10
bituellement,1
coiffées,1
blant,1
liant,2
racine,17
portant,6
sens,53
oppose,2
direction,10
tiraille,2
cessairement,1
traction,6
faible,13
cheyeu,2
somme,3
coiffer,2
dentellement,1
plaignent,2
oceasioné,1
tiraillement,1
exercé,3
partie,145
cuir,39
chevelu,33
pourrons,1
établir,2
migraines,3
fismes,1
nerveux,35
céphalalgies,1
unes,6
piquées,2
matelassées,1
composant,1
appareil,12
mauvais,5
goit,4
favorise,5
merveilleusement,2
malpropreté,2
centre,10
chaleur,21
gendre,2
perpétue,1
vermine,1
destruction,6
nécessite,4
gereux,2
couper,9
vivons,1
croyance,1
éloignée,2
époque,20
justice,3
vieilles,2
coutumes,2
rance,4
grande,84
péce,1
humaine,25
niveau,8
brutes,1
cluons,1
portent,9
tuellement,3
vétemens,8
autant,34
maintenir,4
cheyeux,2
garantir,3
froid,35
cessive,1
névraigies,1
faciales,1
craniennes,1
caries,3
dentaires,3
rares,2
restent,4
chef,4
vert,13
conséquemment,2
réseryée,1
campagne,9
desquelles,1
influence,44
nons,1
yvoulons,1
filage,2
chanvre,3
conceyoir,1
provinees,1
productions,1
suflfisantes,1
consommation,1
nese,2
lent,6
quenouille,1
mouillait,1
tire,1
poupée,1
abréger,2
besogne,2
modité,2
fileuses,1
recours,11
salive,13
salivation,5
naturelle,50
insuflisante,1
quifilent,1
nellement,2
maniére,30
forcées,2
tenir,4
bouche,72
gers,1
exciter,3
glandes,2
buccales,1
afin,22
obtenir,12
quantité,22
nécessaire,11
telles,3
consequences,1
occupation,12
lisme,1
continuel,2
quis,3
livrent,3
habituellemert,1
maigreur,23
effrayante,1
