Mot,Occurences
maladie,284
temps,188
sante,186
maladies,185
malade,180
point,176
usage,168
homme,156
traitement,156
cause,142
sang,141
purgatif,133
medecin,133
presque,133
affection,123
systeme,123
plusieurs,121
grand,119
succes,116
organes,115
causes,110
enfin,109
celui,107
jour,105
moyens,104
vers,104
corps,104
alimens,101
quelquefois,99
grande,96
partie,96
dire,95
lorsque,94
jours,92
effet,92
estomac,90
dose,89
toni,86
temperament,86
nombre,85
moyen,84
medecine,84
personnes,83
femme,82
methode,82
docteur,80
enfans,79
essence,78
contre,76
effets,76
ouvrage,75
assez,75
maniere,74
lieu,74
douleur,74
general,72
tete,70
tion,69
frictions,69
jusqu,68
etheree,68
fonctions,67
regime,67
siege,67
sangsues,67
symptemes,67
jamais,66
medecins,66
canal,66
celles,65
long,65
medicament,63
cependant,62
quelque,62
malades,61
employe,61
peau,61
entre,60
aucun,60
autant,60
organe,60
quantite,59
epoque,58
medicamens,57
donne,57
lorsqu,56
exercice,55
affections,55
acces,55
seul,55
mieux,54
circonstances,54
suite,54
lavemens,54
mois,54
boissons,54
rien,53
individus,53
prendre,53
grains,53
trouve,53
douleurs,53
humeurs,53
chronique,52
guerison,52
science,52
influence,52
esprit,52
premiere,51
deja,51
attaque,51
fievre,51
existence,50
guerir,50
mort,50
bouche,50
forces,50
substances,50
reste,49
ordinairement,48
sens,48
force,48
rhumatisme,48
constitution,48
premier,48
produit,47
resultat,47
yeux,47
voies,47
bile,46
eprouve,46
principe,46
humeur,46
lait,46
pres,45
chaleur,45
apres,45
paris,45
digestion,44
cerveau,44
goutte,44
maux,44
fort,44
ventre,44
genre,43
caractere,43
besoin,43
intestinal,42
matieres,42
pris,42
chroniques,42
foie,42
bains,41
jeune,41
parmi,41
certains,41
donner,41
parties,41
soin,41
action,41
heureux,40
espece,40
sommeil,40
mouvemens,39
selon,39
cuilleree,39
lesquels,39
tions,39
vieillesse,38
mode,38
femmes,38
observations,38
rendre,38
raison,38
marche,38
exces,38
hommes,37
experience,37
monde,37
simple,37
digestif,37
reves,37
doute,36
bonne,36
indique,36
emploi,36
cuillerees,36
prescrit,36
plethore,36
mettre,36
combien,35
place,35
contraire,35
economie,35
