Word,Count
hygiene,1214
miére,83
tribut,43
victimes,3
prélévent,1
année,492
vignorance,14
misére,143
derniéres,2
classes,12
société,481
servateur,1
croit,124
pays,420
civilisé,20
monde,634
étudie,14
moeurs,79
pauvres,2
bretagne,13
vendée,2
poitou,2
nivernais,1
sologne,2
lachampagne,1
vosges,3
intérét,303
done,581
guuvernemens,1
point,2404
participer,18
instruction,184
masses,3
populeuses,6
excentriques,3
fuser,3
premiers,2
moyens,1
sortir,126
gangue,2
abrutissement,3
enveloppe,102
siécles,2
gouvernans,2
celui,989
vernés,1
rarement,211
pouvoir,276
pattribuer,1
quelque,835
part,667
révolutions,3
peuple,297
vidée,16
participation,5
publique,278
fera,238
partielle,41
saura,30
quoique,193
disséminée,3
rien,998
empéchera,18
étendre,41
individu,305
temens,2
femmes,45
propres,3
défendre,64
contre,1457
sions,1
foule,244
agens,4
nuisibles,1
nicieux,4
impressions,2
pheriques,2
auxquelles,116
cesse,252
exposécs,1
nabitudes,1
parties,2
corps,120
téte,883
besoin,941
tement,168
velure,12
longue,424
mieux,859
fournie,16
hommes,3
semble,358
dire,1012
vétement,356
naturel,268
suflisant,2
antiquités,1
greeques,2
romaines,2
représentent,38
couverte,52
nations,3
ciel,127
chaud,401
tempéré,27
frances,1
doute,430
emprunté,18
gaulois,17
portaient,21
coiffure,61
climat,236
habitudes,5
sité,40
moyen,1613
usage,825
veétirla,1
tage,107
laisse,233
loisir,29
réflexion,75
montre,137
active,222
tyrannique,12
malheureuses,2
grandes,1
douter,49
tances,2
morales,2
attribuer,44
rences,1
existent,63
santé,1825
tuelle,35
conditions,3
ordre,347
politique,69
paysannes,3
peine,482
suffire,46
soins,3
maison,322
obligées,1
acquérir,68
soutenir,111
avortemens,4
maladies,4
naissent,54
cause,1624
labeur,32
excessif,42
violences,1
extérieures,2
citadines,1
outre,293
accidens,74
tent,110
actions,1
mécaniques,1
trouvons,39
multitude,49
affections,8
organiques,3
insolites,5
nerveuses,1
dues,89
vations,1
prolongées,7
excés,255
genre,424
cominctions,1
vitables,3
fréquentes,3
grands,1
theatres,2
affliveant,1
philanthrope,9
voir,689
circonstances,1
devraient,62
exempter,3
certaines,3
lions,2
nulle,68
prises,1
ration,155
cependant,625
celles,767
avancées,1
grossesse,842
pouvaient,37
chies,2
porter,313
fardeaux,16
rudes,1
travaux,290
champs,2
gués,7
nombre,966
suit,133
constamment,145
cours,6
saisons,5
exigent,88
yité,1
ignorante,17
pagnes,1
produiraient,6
ques,272
avis,149
sages,2
pourraient,120
donner,882
personnes,7
éclairées,2
profitables,1
petit,948
effet,1663
partout,214
priser,12
malheureuse,58
esse,30
fruit,256
travail,860
culera,1
impunément,38
livrer,126
position,319
trouve,562
source,375
existait,19
abandonné,42
tion,1516
lorsque,785
modes,1
italie,48
duisirent,2
france,464
conquéte,35
naples,13
tard,351
facheuse,116
intronisation,1
medicis,3
ensuite,420
devinrent,16
chevelure,160
véritables,1
caricatures,2
beaux,108
ornemens,2
aide,223
frisure,17
poudre,456
transformé,12
ridicule,109
faudage,3
néanmoins,89
conserva,7
mode,499
jusqu,968
tourmente,17
tionnaire,2
veulent,88
marquer,12
existence,377
térent,1
tutus,1
prirent,8
mesure,447
propreté,259
police,34
militaire,171
savons,8
souffert,22
sacrifice,87
égard,219
arrive,279
sidérement,1
tondre,4
foreé,11
wadmettre,2
titus,7
lana,2
famille,788
localité,38
contrées,5
malgré,213
obstacles,1
oposeront,1
centralisant,1
institutions,15
réseryant,1
pole,23
enfin,979
pourra,220
empécher,166
membres,2
quer,51
reconnaitre,135
importance,264
individuelle,54
rénovation,10
opérera,3
lentement,94
progrés,163
certains,2
affermis,2
circonstance,416
soumises,2
sujettes,5
sortes,1
ajoutons,42
coiffeur,16
précieux,121
coquetterie,72
dommages,3
dames,12
blanchir,10
tems,85
loin,464
nates,1
jolies,2
choses,1
véritable,322
facheux,73
vrai,354
nattes,1
tirailler,4
cheveux,537
pincer,5
fers,22
brilans,1
suivies,3
sion,292
grand,1661
organes,6
changement,189
apprécié,17
imconvéniens,1
presser,19
papillotes,4
répétée,78
jours,7
perdre,167
rell,2
puss,1
peele,3
ovsess,1
vetemens,2
abstiendrons,3
parler,330
changemens,22
yétemens,4
ages,127
variations,22
qwils,2
subissent,42
formes,1
parmi,371
modernes,4
grecque,40
romains,26
république,30
miers,1
rois,40
franes,4
lhabillement,3
simple,607
recouvrait,5
aaah,12
allt,3
cron,4
went,9
aime,122
hehe,23
yahi,1
justs,1
these,21
atthe,2
tenth,2
ogvlqee,1
deeb,1
ghaeens,1
laryst,1
rece,20
vets,12
them,1
exempte,47
sounises,1
repris,22
faveur,162
longs,1
deyenus,1
aujourd,313
peigne,42
michalons,2
normandins,1
plaisirs,1
célébrités,1
cirrigeriennes,1
principaux,106
attributs,3
toilette,306
inconvéniens,34
bituellement,6
coiffées,1
blant,4
liant,3
racine,148
portant,132
sens,670
oppose,63
direction,205
tiraille,2
cessairement,6
traction,70
faible,436
cheyeu,3
somme,127
coiffer,9
dentellement,2
plaignent,19
oceasioné,1
tiraillement,25
exercé,60
partie,1637
cuir,229
chevelu,184
pourrons,4
établir,85
migraines,3
fismes,1
nerveux,512
céphalalgies,3
unes,123
piquées,3
matelassées,1
composant,19
appareil,456
mauvais,214
goit,19
favorise,79
merveilleusement,21
malpropreté,27
centre,170
chaleur,569
gendre,10
perpétue,8
vermine,2
destruction,47
nécessite,59
gereux,14
couper,68
vivons,12
croyance,35
éloignée,50
époque,633
justice,61
vieilles,2
coutumes,2
rance,43
grande,1419
péce,10
humaine,282
niveau,133
brutes,1
cluons,1
portent,139
tuellement,14
vétemens,20
autant,752
maintenir,128
cheyeux,33
garantir,53
froid,615
cessive,4
névraigies,1
faciales,1
craniennes,2
caries,3
dentaires,3
rares,2
restent,95
chef,97
vert,104
conséquemment,13
réseryée,2
campagne,262
desquelles,76
influence,773
nons,21
yvoulons,1
filage,3
chanvre,29
conceyoir,4
provinees,1
productions,1
suflfisantes,1
consommation,47
nese,26
lent,107
quenouille,3
mouillait,1
tire,56
poupée,17
abréger,11
besogne,12
modité,7
fileuses,1
recours,61
salive,52
salivation,30
naturelle,384
insuflisante,6
quifilent,1
nellement,9
maniére,663
forcées,2
tenir,311
bouche,503
gers,33
exciter,62
glandes,2
buccales,1
afin,389
obtenir,195
quantité,516
nécessaire,584
telles,3
consequences,1
occupation,107
lisme,7
continuel,60
quis,49
livrent,74
habituellemert,1
maigreur,106
effrayante,23
routine,49
yaveuglement,1
sensées,1
apprécieront,1
facilement,243
comparant,7
filent,1
habituellement,173
journaliére,48
maigres,4
séchées,1
tamment,10
portantes,10
combien,341
vicieuses,2
dangereux,218
éternisent,4
vastes,1
foyers,2
tlest,4
remarquer,136
pale,176
offrent,117
gvétres,1
pertrophie,3
thyroide,11
contraire,550
fréquent,211
ploient,4
éloignés,4
croire,158
abondante,181
meilleur,346
ployer,27
prévenir,225
arréter,121
infirmité,79
ysique,3
yent,8
dispenser,20
vétir,20
passent,103
température,415
chaude,357
milieu,378
raison,810
importans,5
lement,150
irritables,1
contenus,19
cavités,1
poitrine,459
abdominale,71
torse,25
soigneusement,56
yétue,2
forme,1085
tissus,2
composent,72
pouvant,79
riques,3
évident,64
douées,5
susceptibilité,56
échapper,68
action,828
diverses,50
ladies,2
reconnaissent,35
rhumes,5
catarrhes,4
pneumonies,1
présentent,121
quemment,33
sexe,1181
féminin,104
deviennent,183
trieux,1
savent,93
approprier,4
convient,310
rapports,1
emportent,10
général,661
bienfaits,8
voulaient,9
venir,170
dangers,4
encourent,1
trissant,1
pain,230
enfournant,1
chauf,1
fant,325
lessives,1
macquant,1
chanyre,2
