Mot,Occurences
enfant,270
medecine,210
enfants,156
contre,110
jour,94
parfois,79
traitement,71
lait,70
peau,68
maladie,63
enfance,62
cause,61
heure,58
bonne,54
toux,52
nerveux,51
jours,51
venfance,51
point,51
assez,50
dela,49
regime,48
tete,48
petits,47
tion,47
bains,45
gorge,45
forme,45
heures,45
bouche,45
jeune,44
grammes,44
scolaire,44
graves,43
grande,43
sang,43
fievre,42
donne,41
hygiene,41
gastro,41
afin,41
maladies,41
chapitre,40
dire,39
fort,39
affections,38
corps,38
ailleurs,38
grand,37
temps,37
pratique,36
infantile,36
jusqu,36
eviter,36
soude,35
possible,35
lorsqu,35
penfance,35
gouttes,35
grave,34
sante,34
donner,34
generale,33
troubles,33
melange,33
cafe,33
repas,33
periode,32
vingt,32
action,32
frictions,32
enfin,32
devient,31
yeux,31
suivant,31
entre,31
moyen,31
teinture,30
lorsque,30
maux,30
matin,30
ventre,30
general,29
tuberculose,29
coqueluche,29
petit,29
mois,29
soir,29
existe,29
nutrition,28
frequemment,28
constipation,28
jeunes,28
huile,28
rougeole,28
viande,28
alimentation,28
cours,28
sorte,28
travail,28
rachitisme,28
diphterie,28
respiration,27
certains,27
tions,27
rien,27
ments,27
estomac,27
parfols,27
jamais,27
complications,27
tenfance,27
frequente,26
rare,26
acide,26
vers,26
premier,26
symptemes,26
guerison,26
methode,26
guere,26
formes,25
moyens,25
lenfance,25
done,25
vomissements,25
langue,25
plein,24
parents,24
malade,24
causes,24
presque,24
grands,24
urines,24
nerveuses,23
observe,23
milieu,23
dose,23
principalement,23
fitvre,23
duree,23
sevrage,23
cogueluche,23
abord,23
quant,23
lymphatisme,23
effet,23
mort,23
intestin,22
face,22
voit,22
systeme,22
autant,22
besoin,22
cerveau,22
savoir,22
infection,22
veritable,22
premiere,21
evitera,21
enterite,21
pres,21
quinquina,21
cete,21
indispensable,21
meilleur,21
coup,21
ordinairement,21
nuit,21
bain,21
medecin,21
nasales,21
usage,20
fera,20
fausses,20
trouve,20
frais,20
diarrhee,20
digestif,20
semble,20
calomel,20
serum,20
cure,20
scrofule,20
coeur,20
conseille,20
medication,20
typhoide,20
proprete,20
soins,20
