Word,Count
hygiene,1211
miére,72
tribut,40
victimes,3
prélévent,1
année,461
vignorance,13
misére,141
derniéres,2
classes,12
société,455
servateur,1
croit,110
pays,404
civilisé,20
monde,598
étudie,14
moeurs,74
pauvres,2
bretagne,13
vendée,2
poitou,2
nivernais,1
sologne,2
lachampagne,1
vosges,3
intérét,290
done,577
guuvernemens,1
point,2223
participer,17
instruction,181
masses,3
populeuses,6
excentriques,3
fuser,3
premiers,2
moyens,1
sortir,119
gangue,2
abrutissement,3
enveloppe,101
siécles,2
gouvernans,2
celui,900
vernés,1
rarement,191
pouvoir,263
pattribuer,1
quelque,778
part,641
révolutions,3
peuple,284
vidée,16
participation,5
publique,273
fera,228
partielle,39
saura,30
quoique,171
disséminée,3
rien,945
empéchera,18
étendre,40
individu,224
temens,1
femmes,45
propres,3
défendre,61
contre,1389
sions,1
foule,210
agens,4
nuisibles,1
nicieux,4
impressions,2
pheriques,2
auxquelles,116
cesse,228
exposécs,1
nabitudes,1
parties,2
corps,120
téte,812
besoin,894
tement,155
velure,12
longue,384
mieux,806
fournie,15
hommes,3
semble,329
dire,938
vétement,356
naturel,256
suflisant,2
antiquités,1
greeques,2
romaines,2
représentent,38
couverte,48
nations,3
ciel,125
chaud,367
tempéré,25
frances,1
doute,393
emprunté,17
gaulois,17
portaient,21
coiffure,60
climat,217
habitudes,5
sité,33
moyen,1428
usage,686
veétirla,1
tage,96
laisse,217
loisir,28
réflexion,66
montre,129
active,205
tyrannique,12
malheureuses,2
grandes,1
douter,41
tances,2
morales,2
attribuer,33
rences,1
existent,56
santé,1644
tuelle,29
conditions,3
ordre,336
politique,65
paysannes,3
peine,449
suffire,40
soins,3
maison,307
obligées,1
acquérir,64
soutenir,105
avortemens,4
maladies,4
naissent,52
cause,1382
labeur,32
excessif,40
violences,1
extérieures,2
citadines,1
outre,288
accidens,42
tent,103
actions,1
mécaniques,1
trouvons,36
multitude,38
affections,8
organiques,3
insolites,5
nerveuses,1
dues,84
vations,1
prolongées,7
excés,227
genre,373
cominctions,1
vitables,3
fréquentes,3
grands,1
theatres,2
affliveant,1
philanthrope,9
voir,658
circonstances,1
devraient,58
exempter,3
certaines,3
lions,2
nulle,60
prises,1
ration,146
cependant,564
celles,700
avancées,1
grossesse,839
pouvaient,32
chies,2
porter,293
fardeaux,15
rudes,1
travaux,263
champs,2
gués,7
nombre,882
suit,130
constamment,137
cours,6
saisons,5
exigent,84
yité,1
ignorante,16
pagnes,1
produiraient,5
ques,252
avis,137
sages,2
pourraient,106
donner,841
personnes,7
éclairées,2
profitables,1
petit,918
effet,1500
partout,201
priser,12
malheureuse,55
esse,26
fruit,236
travail,833
culera,1
impunément,27
livrer,112
position,301
trouve,518
source,337
existait,16
abandonné,36
tion,1408
lorsque,691
modes,1
italie,47
duisirent,2
france,453
conquéte,32
naples,13
tard,342
facheuse,102
intronisation,1
medicis,3
ensuite,392
devinrent,13
chevelure,160
véritables,1
caricatures,2
beaux,101
ornemens,2
aide,217
frisure,16
poudre,440
transformé,11
ridicule,89
faudage,3
néanmoins,74
conserva,7
mode,456
jusqu,900
tourmente,16
tionnaire,2
veulent,85
marquer,12
existence,328
térent,1
tutus,1
prirent,7
mesure,435
propreté,249
police,33
militaire,164
savons,8
souffert,22
sacrifice,85
égard,205
arrive,253
sidérement,1
tondre,4
foreé,11
wadmettre,2
titus,7
lana,2
famille,772
localité,34
contrées,5
malgré,194
obstacles,1
oposeront,1
centralisant,1
institutions,15
réseryant,1
pole,23
enfin,871
pourra,210
empécher,159
membres,2
quer,48
reconnaitre,127
importance,256
individuelle,53
rénovation,10
opérera,3
lentement,86
progrés,145
certains,2
affermis,2
circonstance,344
soumises,2
sujettes,5
sortes,1
ajoutons,42
coiffeur,16
précieux,115
coquetterie,72
dommages,3
dames,12
blanchir,10
tems,85
loin,445
nates,1
jolies,2
choses,1
