Word,Count
hygiene,341
miére,34
tribut,13
victimes,3
prélévent,1
année,182
vignorance,9
misére,40
derniéres,2
classes,12
société,203
servateur,1
croit,44
pays,133
civilisé,7
monde,173
étudie,7
moeurs,19
pauvres,2
bretagne,6
vendée,2
poitou,1
nivernais,1
sologne,1
lachampagne,1
vosges,3
intérét,135
done,222
guuvernemens,1
point,908
participer,11
instruction,112
masses,3
populeuses,5
excentriques,3
fuser,2
premiers,2
moyens,1
sortir,33
gangue,2
abrutissement,1
enveloppe,40
siécles,2
gouvernans,2
celui,419
vernés,1
rarement,70
pouvoir,105
pattribuer,1
quelque,281
part,297
révolutions,3
peuple,132
vidée,5
participation,1
publique,110
fera,71
partielle,21
saura,15
quoique,66
disséminée,1
rien,334
empéchera,5
étendre,16
individu,76
temens,1
femmes,45
propres,3
défendre,21
contre,453
sions,1
foule,86
agens,4
nuisibles,1
nicieux,1
impressions,2
pheriques,1
auxquelles,86
cesse,77
exposécs,1
nabitudes,1
parties,2
corps,120
téte,319
besoin,327
tement,48
velure,6
longue,161
mieux,334
fournie,10
hommes,3
semble,134
dire,365
vétement,64
naturel,117
suflisant,2
antiquités,1
greeques,2
romaines,2
représentent,13
couverte,13
nations,3
ciel,63
chaud,105
tempéré,7
frances,1
doute,150
emprunté,10
gaulois,12
portaient,8
coiffure,18
climat,45
habitudes,5
sité,16
moyen,566
usage,271
veétirla,1
tage,25
laisse,88
loisir,11
réflexion,27
montre,47
active,66
tyrannique,3
malheureuses,2
grandes,1
douter,16
tances,2
morales,2
attribuer,15
rences,1
existent,26
santé,533
tuelle,12
conditions,3
ordre,191
politique,30
paysannes,3
peine,174
suffire,15
soins,3
maison,92
obligées,1
acquérir,38
soutenir,42
avortemens,2
maladies,4
naissent,25
cause,505
labeur,8
excessif,16
violences,1
extérieures,2
citadines,1
outre,122
accidens,31
tent,28
actions,1
mécaniques,1
trouvons,12
multitude,20
affections,8
organiques,3
insolites,5
nerveuses,1
dues,33
vations,1
prolongées,7
excés,76
genre,157
cominctions,1
vitables,2
fréquentes,3
grands,1
theatres,2
affliveant,1
philanthrope,4
voir,251
circonstances,1
devraient,24
exempter,2
certaines,3
lions,2
nulle,19
prises,1
ration,49
cependant,220
celles,301
avancées,1
grossesse,187
pouvaient,19
chies,2
porter,131
fardeaux,9
rudes,1
travaux,110
champs,2
gués,5
nombre,380
suit,51
constamment,54
cours,6
saisons,5
exigent,37
yité,1
ignorante,7
pagnes,1
produiraient,2
ques,91
avis,43
sages,2
pourraient,34
donner,314
personnes,7
éclairées,2
profitables,1
petit,235
effet,780
partout,79
priser,4
malheureuse,17
esse,7
fruit,80
travail,319
culera,1
impunément,9
livrer,52
position,120
trouve,185
source,129
existait,7
abandonné,19
tion,541
lorsque,190
modes,1
italie,24
duisirent,1
france,162
conquéte,12
naples,6
tard,126
facheuse,25
intronisation,1
medicis,1
ensuite,169
devinrent,4
chevelure,73
véritables,1
caricatures,2
beaux,43
ornemens,1
aide,102
frisure,6
poudre,211
transformé,7
ridicule,26
faudage,1
néanmoins,35
conserva,2
mode,215
jusqu,377
tourmente,6
tionnaire,1
veulent,24
marquer,5
existence,117
térent,1
tutus,1
prirent,2
mesure,186
propreté,76
police,6
militaire,131
savons,8
souffert,9
sacrifice,32
égard,85
arrive,67
sidérement,1
tondre,1
foreé,5
wadmettre,1
titus,5
lana,2
famille,352
localité,15
contrées,5
malgré,52
obstacles,1
oposeront,1
centralisant,1
institutions,15
