Mot,Occurences
enfant,981
temps,286
mere,277
lait,272
bras,229
jeunes,227
livre,211
femme,191
mains,180
jour,170
sein,166
corps,164
meres,160
petit,159
position,145
nourrice,145
donner,140
mois,139
allaitement,138
premiere,136
pied,120
tete,113
nouveau,111
mouvement,108
medecin,104
pieds,102
nourrisson,102
toile,101
peau,99
gauche,99
maladie,97
mouvements,95
premier,95
berceau,94
maladies,93
assez,89
grande,88
enfants,88
prendre,85
grand,84
moment,84
soins,83
jeune,82
quelquefois,82
mettre,81
jours,81
fievre,81
sante,80
dire,80
arriere,77
organes,77
professeur,76
classe,76
jusqu,76
edition,75
dessus,75
partie,75
cause,75
entre,73
homme,72
lieu,72
droite,71
main,71
moyen,71
usage,70
besoin,70
extension,69
nombre,69
place,68
possible,66
remps,66
epaules,65
chapitre,65
maniere,65
ensuite,65
linge,65
petite,65
apres,64
flexion,64
necessaire,63
paris,62
soin,62
petits,62
grammes,62
puis,62
biberon,62
eviter,61
suite,61
bonne,61
point,60
couche,59
abord,58
grossesse,58
cours,57
plusieurs,57
mieux,57
revenir,56
enfin,56
jambes,56
respiration,55
donne,55
quantite,55
contre,55
forme,55
layette,55
accouchement,55
sang,54
tres,54
droit,54
annee,54
jamais,54
parfois,54
heures,54
premiers,53
bomme,53
fort,53
vers,52
pointe,52
presque,52
malade,52
bout,51
bouche,51
trouve,50
celui,50
naissance,50
volume,49
bain,49
physique,49
simple,49
fera,49
deja,48
face,48
demi,48
vite,48
artificiel,48
hanches,47
meme,47
pourrait,47
longtemps,47
ailleurs,47
faudra,47
autant,47
cartonne,46
porter,46
lorsque,46
personne,46
pourra,46
femmes,46
ordinairement,46
repas,46
reste,45
parents,45
froid,45
tard,45
tion,44
force,44
personnes,44
seul,44
rien,44
lorsqu,44
maternel,44
quelque,44
accouchee,44
voir,43
pres,43
heure,43
ventre,42
laisser,42
arrive,42
inflammation,42
chaleur,42
afin,42
produit,41
cote,41
dessous,41
conditions,41
celles,41
mamelon,41
facilement,41
teter,41
robe,41
alimentation,41
croup,41
histoire,40
manuel,40
vient,40
developpement,40
cordon,40
terre,39
prend,39
enfance,39
genoux,38
placer,38
jambe,38
environ,38
hygiene,38
yeux,38
cris,38
lange,38
creche,38
france,37
