Mot,Occurences
enfant,968
lait,269
mere,266
livre,203
jeunes,196
meres,158
sein,157
nourrice,145
petit,142
jour,142
allaitement,137
mois,126
temps,124
donner,119
femme,110
medecin,102
nourrisson,101
nouveau,94
berceau,92
maladie,89
premier,82
fievre,81
maladies,80
peau,79
premiere,78
quelquefois,77
soins,77
assez,77
moment,77
dire,76
prendre,76
mettre,74
jeune,70
jours,66
besoin,66
lieu,66
enfants,64
linge,63
tete,63
petite,62
corps,62
biberon,62
cause,61
moyen,60
couche,59
ensuite,59
entre,59
partie,58
petits,56
sante,56
layette,55
necessaire,55
nombre,55
parfois,54
dessus,54
soin,54
grande,54
apres,54
accouchement,54
abord,53
suite,53
jusqu,53
bonne,53
grossesse,52
bras,51
tres,51
puis,51
malade,51
donne,50
eviter,50
fort,50
grand,50
possible,50
quantite,50
maniere,49
plusieurs,49
heures,49
fera,48
artificiel,48
bout,48
bouche,48
place,48
mieux,48
naissance,47
faudra,46
froid,45
repas,45
sang,44
maternel,44
ordinairement,44
respiration,44
premiers,44
pourra,44
accouchee,44
lorsqu,43
enfin,43
tard,43
vite,43
ailleurs,43
contre,42
pourrait,42
chapitre,42
parents,42
presque,42
inflammation,41
mamelon,41
lorsque,41
organes,41
teter,41
mouvements,41
robe,41
croup,41
seul,40
heure,40
toile,39
afin,39
autant,39
cordon,39
forme,38
deja,38
grammes,38
jamais,38
cris,38
alimentation,38
lange,38
creche,38
simple,37
vers,37
femmes,37
enfance,37
annee,37
facilement,37
usage,37
quelque,37
trouve,36
acces,36
reste,36
dessous,36
ventre,35
devra,35
celui,35
pres,35
petites,35
longtemps,35
arrive,35
nuit,35
laisser,35
personne,35
sevrage,35
bain,35
douleur,34
bientot,34
environ,34
prend,34
premieres,34
nourriture,34
cependant,33
yeux,33
membres,33
liquide,32
chaleur,32
tenir,32
rien,32
developpement,32
celles,32
conditions,32
repos,31
hygiene,31
sorte,31
nour,31
garde,31
point,31
agit,30
toux,30
devient,30
voir,30
campagne,30
convulsions,30
protection,30
face,29
proprete,29
lequel,29
grave,29
difficile,29
tion,29
done,29
attention,29
personnes,29
accidents,29
commence,29
fant,29
dent,29
developpe,28
vient,28
