Mot,Occurences
enfant,6718
femme,4144
lait,2613
malade,2555
maladie,2135
mere,2060
jour,1913
cause,1648
quon,1595
hygiene,1522
soin,1513
petit,1510
bain,1479
jeune,1474
medecin,1457
nest,1448
quil,1435
corps,1432
partie,1424
point,1409
heure,1409
mois,1296
temps,1271
premier,1259
personne,1245
grande,1231
dire,1214
traitement,1198
grand,1133
moyen,1088
grossesse,1076
sang,1069
contre,1014
forme,996
donne,996
peau,989
donner,979
organe,933
petite,921
tuberculose,917
tete,894
aliment,872
premiere,870
puis,867
necessaire,863
mieux,856
main,842
bonne,830
sante,829
certain,829
prendre,828
condition,826
dautre,822
suite,812
jamais,811
sein,799
voir,791
possible,787
entre,786
lorsque,782
docteur,777
trouve,769
celui,768
general,766
couche,758
moment,753
produit,747
assez,730
parfois,727
lieu,726
douleur,717
bebe,704
trouble,699
nourrice,697
service,695
besoin,693
regle,692
mouvement,687
regime,681
genitale,675
effet,673
homme,671
pratique,665
certaine,661
nombre,657
fille,652
nouveau,647
generale,639
eviter,634
froid,632
bras,628
reste,627
place,624
celle,620
quantite,620
leau,618
exemple,615
lair,614
fort,604
liquide,604
part,591
travail,585
pied,581
cependant,580
resultat,579
afin,578
contraire,575
enfin,572
chaleur,570
simple,570
sorte,570
livre,569
membre,568
force,563
systeme,562
chaud,562
telle,562
grave,561
eleve,559
temperature,557
rien,554
vers,554
nourrisson,551
chose,548
page,545
presque,541
deja,540
viande,536
done,535
seul,534
deau,533
tissu,532
usage,529
suivant,529
annee,528
devient,527
facon,525
chaude,524
tres,520
question,518
vetement,514
meme,508
famille,507
froide,505
bouche,504
plusieurs,498
arrive,497
alimentation,497
raison,496
porte,492
mesure,488
matiere,487
mettre,486
exercice,485
danger,483
substance,483
facile,480
paris,479
luterus,477
corset,470
ecole,470
quelque,469
nuit,468
dent,464
matrice,464
laisser,458
bassin,458
detre,456
maniere,455
linge,455
ventre,453
semaine,453
chambre,448
voit,447
jusqua,445
rapport,444
accouchement,444
egalement,441
difficile,441
droit,441
facilement,439
nerveux,437
poids,437
rouge,434
developpement,433
fatigue,431
propre,430
sucre,427
bout,423
nurse,421
ensuite,416
pres,413
normale,409
affection,409
longtemps,407
existe,407
presente,401
deviation,399
gauche,399
naissance,399
operation,398
figure,396
aucun,396
respiration,394
france,390
proprete,390
repas,390
repos,388
maison,386
dela,386
aucune,385
seule,382
forte,382
mort,382
nourriture,381
fievre,379
mauvaise,378
rendre,378
vagin,378
position,377
tetee,376
garde,373
biberon,371
laquelle,370
selon,369
prend,368
fonction,368
jambe,367
faible,367
quelquefois,365
cour,364
frequente,362
action,362
tuberculeux,362
accident,359
utile,358
table,358
periode,353
apres,351
dessus,351
dabord,351
laccouchement,351
rare,350
compte,348
siege,348
droite,347
inflammation,347
marche,346
ville,346
salle,346
beaute,344
procede,343
atteint,342
longue,341
passe,340
pourra,338
veut,337
autant,336
face,336
tion,335
tenir,332
yeux,331
dernier,330
pain,330
massage,329
savoir,327
lallaitement,327
appareil,325
dair,324
ceinture,323
lorganisme,322
legere,321
laine,321
chapitre,320
degre,320
cete,320
personnel,319
tard,318
physique,317
cing,317
interne,315
conseil,314
terre,314
societe,314
vient,313
gros,312
grace,312
sommeil,310
compresse,309
farine,309
fagon,308
scoliose,308
haut,307
qualite,306
quant,305
digestion,305
prophylaxie,305
completement,304
long,303
pouvoir,303
matin,302
robe,300
sens,299
toile,298
objet,298
generalement,298
vache,298
principe,296
demi,295
digestif,295
nuisible,294
divers,294
inconvenient,293
duree,293
blesse,293
porter,292
indispensable,292
graisse,292
gramme,292
defaut,291
epoque,291
pourrait,291
sterilite,291
monde,290
lestomac,290
cafe,290
fruit,290
muscle,290
precaution,289
meilleur,289
tumeur,289
vite,288
loin,286
bouillie,286
leger,285
influence,285
laisse,285
dhygiene,285
pays,284
suffit,282
toilette,282
antituberculeuse,281
contact,280
consequence,280
peine,280
lange,277
source,277
genre,276
poudre,276
lorsquon,273
pauvre,273
genital,273
uterine,273
permet,272
frais,272
environ,271
nerveuse,271
acide,271
simplement,270
presence,270
lequel,269
surface,269
boisson,269
milieu,268
servir,268
libre,268
cordon,266
puisse,266
circulation,266
parmi,266
malgre,266
effort,265
campagne,263
dailleurs,262
