Mot,Occurences
femme,10154
enfant,5837
maladie,3637
jour,3430
quil,3080
point,3049
mere,2877
nest,2711
lait,2571
sante,2484
temps,2449
homme,2776
partie,2393
cause,2366
quon,2342
jeune,2286
grand,2282
moyen,2278
contre,2116
corps,2067
grande,2061
effet,2018
dire,1993
peau,1898
soin,1890
fille,1861
premier,1798
hygiene,1790
medecin,1743
sang,1688
organe,1643
celui,1636
malade,1635
force,1583
heure,1581
forme,1532
petit,1515
donne,1494
entre,1468
grossesse,1451
enfin,1439
bain,1430
premiere,1412
traitement,1411
gymnastique,1397
jamais,1396
mois,1390
quelquefois,1380
nourrice,1378
douleur,1365
rien,1353
sexe,1332
nombre,1331
personne,1331
assez,1330
bonne,1308
presque,1301
certain,1288
donner,1287
mouvement,1286
exercice,1279
fonction,1275
vers,1261
regime,1242
quelque,1231
tete,1230
lorsque,1213
besoin,1207
sein,1203
physique,1202
celle,1198
main,1180
affection,1140
mieux,1130
condition,1123
certaine,1122
petite,1117
travail,1113
lieu,1112
medicale,1088
sorte,1077
cependant,1073
lenfant,1071
prendre,1068
raison,1064
chose,1062
produit,1061
famille,1050
maniere,1050
regle,1038
meme,1028
pratique,1023
dautre,1016
histoire,1009
beaute,1003
nouveau,1001
telle,997
seul,986
grave,984
general,979
medecine,972
moment,970
plusieurs,966
reste,940
propre,922
systeme,920
fort,920
suite,917
puis,915
usage,904
trouve,897
dent,897
danger,895
simple,894
monde,892
necessaire,888
rapport,885
froid,881
voir,879
gramme,875
pied,870
epoque,855
jusqua,848
generale,848
yeux,846
influence,846
livre,834
resultat,834
contraire,832
chaleur,815
done,813
part,807
quantite,804
deja,796
suivant,794
fievre,794
developpement,787
laquelle,782
possible,781
sens,781
accident,781
detre,773
cour,766
utile,765
tres,764
philosophique,755
place,749
mort,748
porte,747
aliment,743
devient,737
deau,723
docteur,721
dabord,717
matiere,715
lair,714
matrice,711
bouche,708
morale,698
mariage,694
apres,694
vive,693
facile,692
exemple,690
amour,688
plaisir,688
degre,687
droit,683
rare,683
vient,680
pres,679
bras,679
liquide,679
muscle,679
seule,677
chapitre,677
caractere,675
habitude,675
peine,672
tissu,666
marche,664
visage,663
aucun,659
annee,658
voit,656
nerveux,654
dernier,652
rendre,651
dela,651
sentiment,650
autant,650
qualite,649
passion,647
cheveux,647
goutte,646
leau,646
societe,644
coeur,640
action,638
circonstance,638
loin,637
constitution,635
trouble,631
vingt,626
forte,623
principe,622
devoir,620
faible,620
beau,615
ventre,613
doute,613
couche,610
poudre,609
mesure,608
ordinairement,604
nouvelle,597
poitrine,597
musculaire,597
mettre,595
dailleurs,590
cing,588
longtemps,587
teinture,581
coup,580
matin,578
parfois,578
sait,575
question,574
difficile,574
presente,573
nuit,572
duree,572
eviter,572
fatigue,570
boisson,569
pays,566
douce,564
tion,564
belle,562
grace,562
temperature,559
froide,558
avantage,557
longue,556
science,555
mode,555
education,555
aucune,552
lage,552
esprit,549
chaud,549
lhygiene,548
ensuite,548
quun,546
objet,546
quune,545
conseil,545
precaution,543
france,539
quant,538
genre,533
soir,531
egalement,531
passe,528
milieu,524
semble,524
sommeil,523
long,522
selon,522
repos,522
membre,521
veritable,518
ville,511
signe,511
appareil,511
idee,509
naturelle,509
nont,508
pris,508
tard,502
volume,501
nourriture,500
arrive,499
frequente,499
nerveuse,499
rouge,498
lallaitement,498
formule,498
auteur,497
circulation,497
parmi,496
haut,495
physiologique,495
periode,495
methode,495
enceinte,492
eleve,486
pourrait,485
indispensable,482
essence,481
source,479
combien,479
respiration,479
sensibilite,477
chaude,477
afin,475
existe,474
vrai,474
acide,473
perte,472
ordinaire,472
cafe,472
bout,471
temperament,471
cesse,468
base,468
repas,466
huit,465
pauvre,462
legere,462
ouvrage,461
succes,458
terre,457
substance,454
maison,453
avee,452
couleur,452
phenomene,451
domestique,450
