Mot,Occurences
enfant,784
mere,433
jeune,309
lenfant,292
temps,281
lait,272
main,247
jour,245
femme,237
bras,228
pied,222
petit,220
livre,215
mouvement,206
maladie,189
quon,187
sein,180
premiere,172
corps,162
nourrice,156
premier,152
position,149
soin,145
donner,140
mois,138
quil,130
nourrisson,118
tete,113
nouveau,112
medecin,111
grand,108
grande,104
partie,103
petite,102
toile,100
cause,99
peau,98
gauche,98
organe,96
heure,95
moyen,94
personne,93
moment,93
necessaire,92
jambe,92
berceau,89
lallaitement,88
nest,88
assez,87
besoin,87
prendre,85
quelquefois,84
couche,84
fievre,82
place,81
sante,80
dire,80
classe,80
mettre,79
professeur,77
bonne,76
arriere,76
edition,76
point,75
dessus,74
lieu,72
droite,71
maniere,70
deau,70
nombre,69
possible,69
extension,69
homme,68
donne,68
chapitre,67
forme,67
ensuite,67
meme,67
linge,67
bain,66
remps,66
entre,65
douleur,65
epaule,65
flexion,65
biberon,63
paris,62
suite,62
apres,62
puis,62
membre,61
cordon,59
simple,59
grossesse,58
plusieurs,58
condition,58
malade,58
respiration,57
droit,57
mieux,57
leau,57
fort,56
enfin,56
quantite,56
volume,56
parfois,56
lange,56
revenir,56
presque,55
force,55
dabord,55
layette,55
sang,54
annee,54
jamais,54
exercice,54
contre,54
allaitement,53
bout,53
tres,53
hanche,53
bomme,53
naissance,52
vers,52
eviter,52
dent,52
pointe,52
physique,51
plaisir,51
seul,51
longtemps,51
bouche,51
trouve,50
jusqua,50
cartonne,50
usage,49
celui,49
face,49
ordinairement,49
fera,49
creche,49
artificiel,49
deja,48
facilement,48
grave,48
vite,48
froid,48
lorsque,47
pourrait,47
faudra,47
chaleur,46
reste,46
precaution,46
pourra,46
repa,46
gramme,46
liquide,45
tard,45
cours,45
eleve,45
demi,45
brassiere,45
maternel,45
rien,44
chose,44
parents,44
quelque,44
suivant,44
laccouchement,44
cote,44
mamelon,44
robe,44
celle,43
produit,43
porter,43
generale,43
sorte,43
accident,43
verticalement,43
certain,42
developpement,42
arrive,42
afin,42
conseil,42
laisser,42
dessous,42
convulsion,42
voir,41
ventre,41
dailleurs,41
societe,41
teter,41
croup,41
manuel,41
propre,40
pres,40
developpe,40
environ,40
resultat,39
lair,39
utile,39
prend,39
terre,39
effet,38
campagne,38
cependant,38
placer,38
habitude,38
devra,38
cris,38
genoux,38
nourriture,37
disposition,37
general,37
vient,37
france,37
yeux,37
aliment,37
centimetre,37
contraire,36
caractere,36
seconde,36
legere,36
nuit,36
difficile,36
troisieme,36
veritable,35
degre,35
devient,35
autant,35
detre,35
marche,35
bientot,35
dautre,35
facon,35
commence,35
done,35
cataplasme,35
semaine,35
tetee,35
sevrage,35
elevation,35
geographie,35
beaute,34
devoir,34
fonction,34
long,34
faculte,34
facile,34
inflammation,34
presente,34
certaine,34
quatrieme,34
muscle,34
gymnastique,34
lycee,34
figures,34
compte,33
famille,33
telle,33
appareil,33
tiede,33
froide,33
vache,33
matiere,33
toilette,33
garde,33
laccouchee,33
repos,33
pratique,32
dernier,32
frequente,32
objet,32
tion,32
travail,32
cdte,32
superieure,32
duree,32
education,32
proprete,32
diarrhee,32
laquelle,31
alimentation,31
forte,31
mode,31
ordinaire,31
longue,31
rouge,31
taille,31
passer,31
tenir,31
mesure,31
sortie,31
histoire,31
gallica,30
affection,30
servir,30
frequent,30
hygiene,30
table,30
traitement,30
lequel,30
seule,30
qualite,30
peine,30
protection,30
toux,30
tendu,30
loin,29
trouble,29
inconvenient,29
pris,29
succion,29
avee,29
